player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/madeline-dopplick-1.html,Madeline Dopplick,seattle,2018-19,G,30,29,892,10.4,.456,.524,.183,250,5.4,7.8,6.6,13.4,1.3,0.3,17.3,18.2,0.9,-0.3,0.6,.026,-1.1,-3.2,-4.3
https://www.sports-reference.com/cbb/players/kamira-sanders-1.html,Kamira Sanders,seattle,2018-19,G,26,25,890,16.6,.478,.240,.440,347,4.1,17.4,10.9,19.9,3.2,0.3,21.3,26.0,0.9,0.5,1.4,.063,-1.0,-1.1,-2.1
https://www.sports-reference.com/cbb/players/joana-alves-1.html,Joana Alves,seattle,2018-19,F-C,30,30,739,21.0,.520,.072,.272,362,7.7,18.9,13.4,16.3,1.1,3.5,18.2,31.3,1.6,0.2,1.9,.102,-0.2,-1.5,-1.8
https://www.sports-reference.com/cbb/players/carla-bieg-1.html,Carla Bieg,seattle,2018-19,G,30,11,674,9.4,.432,.481,.124,183,3.6,9.9,6.8,10.2,2.0,0.3,16.8,19.9,0.2,0.0,0.1,.008,-2.8,-2.5,-5.3
https://www.sports-reference.com/cbb/players/olivia-crawford-1.html,Olivia Crawford,seattle,2018-19,G,20,20,592,6.8,.382,.133,.533,140,5.6,10.1,7.9,17.7,1.5,0.0,25.3,17.1,-0.2,-0.1,-0.3,-0.019,-5.2,-3.1,-8.3
https://www.sports-reference.com/cbb/players/courtney-murphy-1.html,Courtney Murphy,seattle,2018-19,G,17,15,549,17.0,.596,.614,.151,181,3.0,13.8,8.5,9.4,0.9,0.7,15.2,19.2,1.4,-0.1,1.3,.094,1.5,-3.6,-2.1
https://www.sports-reference.com/cbb/players/leilani-peat-1.html,Leilani Peat,seattle,2018-19,F,26,7,437,7.5,.485,.132,.679,74,6.7,12.8,9.8,6.6,0.9,0.6,27.8,11.1,0.1,-0.1,0.0,.002,-2.9,-2.2,-5.1
https://www.sports-reference.com/cbb/players/delaney-mccann-1.html,Delaney McCann,seattle,2018-19,F,29,3,427,10.3,.466,.257,.339,119,7.1,14.5,10.9,10.2,0.8,0.7,17.6,18.0,0.4,0.0,0.4,.036,-3.5,-2.8,-6.3
https://www.sports-reference.com/cbb/players/sarah-rahon-1.html,Sarah Rahon,seattle,2018-19,G,25,9,379,6.8,.437,.688,.125,74,1.7,10.9,6.4,11.1,1.6,0.0,22.1,14.4,0.0,-0.1,-0.1,-0.007,-3.2,-1.7,-4.9
https://www.sports-reference.com/cbb/players/genessa-bedoya-1.html,Genessa Bedoya,seattle,2018-19,G,26,1,369,8.4,.401,.386,.341,61,5.5,14.5,10.1,19.9,2.7,0.3,36.2,10.9,-0.1,0.1,0.0,.003,-4.1,-0.6,-4.7
https://www.sports-reference.com/cbb/players/leilia-orji-1.html,Leilia Orji,seattle,2018-19,F-C,24,0,148,4.6,.361,.044,.489,42,12.0,18.1,15.1,4.7,1.5,5.0,23.5,24.5,-0.3,0.1,-0.2,-0.051,-10.0,-2.2,-12.2
