player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/kentoria-alexander-1.html,Kentoria Alexander,tennessee-tech,2018-19,G,33,33,994,19.0,.522,.333,.436,357,8.0,17.9,13.2,28.0,2.3,0.5,22.7,18.9,2.7,1.1,3.9,.156,0.6,0.3,0.9
https://www.sports-reference.com/cbb/players/jordan-brock-1.html,Jordan Brock,tennessee-tech,2018-19,G,33,33,982,15.2,.544,.663,.244,339,0.3,5.8,3.2,13.2,1.4,0.2,14.9,20.6,2.7,0.4,3.1,.125,0.2,-1.5,-1.3
https://www.sports-reference.com/cbb/players/abby-buckner-1.html,Abby Buckner,tennessee-tech,2018-19,G,33,33,958,12.1,.487,.670,.178,209,3.9,16.0,10.3,9.9,2.2,0.0,12.7,12.7,1.6,1.0,2.6,.109,-0.6,0.8,0.1
https://www.sports-reference.com/cbb/players/akia-harris-1.html,A'Kia Harris,tennessee-tech,2018-19,C,31,30,932,15.5,.437,.329,.314,330,4.3,8.6,6.6,30.6,2.1,0.2,18.0,20.7,2.0,0.6,2.6,.111,-0.6,-1.5,-2.1
https://www.sports-reference.com/cbb/players/kesha-brady-1.html,Kesha Brady,tennessee-tech,2018-19,G,33,2,831,17.9,.528,.477,.500,327,8.9,8.6,8.8,8.3,2.4,0.6,17.8,23.2,2.4,0.6,3.1,.147,0.8,-1.0,-0.2
https://www.sports-reference.com/cbb/players/anacia-wilkinson-1.html,Anacia Wilkinson,tennessee-tech,2018-19,F,33,4,591,28.8,.519,.036,.259,241,13.9,29.9,22.3,6.8,1.9,15.7,15.2,24.9,1.6,1.5,3.1,.210,-0.2,3.9,3.7
https://www.sports-reference.com/cbb/players/lacy-cantrell-1.html,Lacy Cantrell,tennessee-tech,2018-19,F,33,27,521,23.6,.627,.000,.507,198,9.6,19.2,14.6,7.1,1.0,2.3,14.3,19.3,2.2,0.5,2.7,.206,1.5,-0.3,1.2
https://www.sports-reference.com/cbb/players/mackenzie-coleman-1.html,Mackenzie Coleman,tennessee-tech,2018-19,F,29,3,422,17.9,.510,.138,.269,177,12.1,15.6,13.9,5.1,0.8,4.1,19.3,27.4,0.9,0.4,1.3,.120,-3.3,-1.6,-4.9
https://www.sports-reference.com/cbb/players/taylor-lamb-1.html,Taylor Lamb,tennessee-tech,2018-19,F,23,0,207,14.4,.583,.000,.622,58,3.9,13.5,9.0,3.1,1.7,1.0,19.4,17.3,0.4,0.2,0.6,.110,-1.6,0.9,-0.6
https://www.sports-reference.com/cbb/players/megan-clark-2.html,Megan Clark,tennessee-tech,2018-19,G,22,0,121,18.6,.602,.767,.167,37,6.7,3.0,4.8,13.7,0.5,1.7,5.8,14.1,0.5,0.0,0.5,.168,0.7,-2.5,-1.8
https://www.sports-reference.com/cbb/players/peace-okeke-1.html,Peace Okeke,tennessee-tech,2018-19,F,7,0,15,42.2,.517,.000,4.000,7,26.9,56.9,42.6,0.0,3.9,6.7,0.0,19.2,0.1,0.1,0.2,.413,-1.9,-1.2,-3.1
https://www.sports-reference.com/cbb/players/hannah-garrett-1.html,Hannah Garrett,tennessee-tech,2018-19,F,6,0,13,29.1,1.000,1.000,.000,3,0.0,0.0,0.0,0.0,0.0,7.8,0.0,11.4,0.1,0.0,0.1,.196,-0.3,2.4,2.1
https://www.sports-reference.com/cbb/players/riley-masters-1.html,Riley Masters,tennessee-tech,2018-19,F,5,0,10,-1.9,.000,.000,.000,1,13.5,36.5,25.6,17.0,0.0,20.2,50.0,19.8,-0.1,0.0,0.0,-0.148,-25.8,-10.3,-36.1
