player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/destinee-walker-1.html,Destinee Walker,notre-dame,2019-20,G,31,30,1098,15.6,.477,.384,.359,425,5.1,8.8,7.0,10.8,2.0,0.3,12.2,22.8,2.2,0.6,2.7,.100,2.5,1.9,4.4
https://www.sports-reference.com/cbb/players/marta-sniezek-1.html,Marta Sniezek,notre-dame,2019-20,G,30,30,1086,7.7,.507,.132,.553,205,0.8,10.1,5.7,27.1,2.5,0.3,46.5,11.6,-0.3,0.8,0.5,.019,-3.1,3.1,0.0
https://www.sports-reference.com/cbb/players/sam-brunelle-1.html,Sam Brunelle,notre-dame,2019-20,F,31,31,1050,15.1,.491,.451,.164,391,4.3,14.6,9.7,10.7,1.3,2.7,17.3,23.7,1.2,0.8,2.0,.078,2.3,1.9,4.1
https://www.sports-reference.com/cbb/players/katlyn-gilbert-1.html,Katlyn Gilbert,notre-dame,2019-20,G,31,29,1046,13.9,.427,.097,.245,407,2.8,12.1,7.7,17.2,3.1,1.2,16.8,26.7,0.3,1.0,1.4,.052,-0.1,2.9,2.8
https://www.sports-reference.com/cbb/players/anaya-peoples-1.html,Anaya Peoples,notre-dame,2019-20,G,17,10,537,20.8,.473,.085,.441,209,9.9,18.5,14.4,11.6,3.2,3.2,12.3,22.6,1.0,0.8,1.8,.136,3.2,3.9,7.1
https://www.sports-reference.com/cbb/players/mikayla-vaughn-1.html,Mikayla Vaughn,notre-dame,2019-20,C,20,20,531,24.1,.606,.000,.286,210,12.9,16.7,14.9,16.3,2.3,5.5,20.8,19.5,1.6,0.7,2.3,.171,3.9,4.7,8.6
https://www.sports-reference.com/cbb/players/kaitlin-cole-2.html,Kaitlin Cole,notre-dame,2019-20,G,31,1,411,5.0,.341,.087,.174,50,8.1,10.5,9.3,7.3,1.7,0.9,25.4,7.6,0.0,0.2,0.2,.019,-2.3,3.2,0.9
https://www.sports-reference.com/cbb/players/danielle-cosgrove-1.html,Danielle Cosgrove,notre-dame,2019-20,F,31,4,403,4.9,.367,.405,.171,92,5.3,11.0,8.3,8.9,1.2,2.6,21.0,17.7,-0.3,0.2,-0.1,-0.010,-2.9,2.0,-1.0
https://www.sports-reference.com/cbb/players/nicole-benz-1.html,Nicole Benz,notre-dame,2019-20,G,14,0,25,6.2,.600,.800,.000,4,0.0,17.3,9.0,0.0,2.1,0.0,28.6,13.1,0.0,0.0,0.0,.042,-3.8,4.4,0.6
https://www.sports-reference.com/cbb/players/catherine-murdock-1.html,Catherine Murdock,notre-dame,2019-20,G,8,0,10,-0.4,.250,.250,.000,4,35.5,21.6,28.2,39.4,0.0,9.5,50.0,37.5,-0.1,0.0,-0.1,-0.220,-8.8,-2.4,-11.2
https://www.sports-reference.com/cbb/players/kathleen-keyes-1.html,Kathleen Keyes,notre-dame,2019-20,F,8,0,10,-3.4,.500,.000,.000,2,0.0,10.8,5.6,0.0,0.0,0.0,50.0,18.7,0.0,0.0,0.0,-0.137,-8.4,-1.8,-10.3
https://www.sports-reference.com/cbb/players/margaret-murdock-1.html,Margaret Murdock,notre-dame,2019-20,G,8,0,10,-9.5,.000,1.000,.000,1,0.0,0.0,0.0,32.9,0.0,0.0,25.0,18.7,-0.1,0.0,-0.1,-0.246,-8.0,-3.8,-11.8
https://www.sports-reference.com/cbb/players/kristin-baer-1.html,Kristin Baer,notre-dame,2019-20,F,2,0,3,21.8,.500,.000,.000,2,39.4,36.0,37.6,0.0,0.0,0.0,33.3,46.9,0.0,0.0,0.0,-0.018,-2.2,-4.2,-6.4
