player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/honesty-scott-grayson-1.html,Honesty Scott-Grayson,auburn,2020-21,G,24,24,680,21.8,.482,.230,.277,319,3.3,15.3,8.7,14.7,3.9,0.8,11.6,27.8,1.8,0.4,2.2,.127,3.8,2.7,6.5
https://www.sports-reference.com/cbb/players/unique-thompson-1.html,Unique Thompson,auburn,2020-21,F,21,21,679,32.2,.532,.003,.352,367,18.2,30.2,23.6,10.3,4.0,1.4,13.4,27.5,2.9,0.7,3.6,.211,7.7,1.0,8.6
https://www.sports-reference.com/cbb/players/romi-levy-1.html,Romi Levy,auburn,2020-21,F,23,14,507,12.5,.412,.434,.097,130,5.1,17.1,10.5,13.5,3.5,2.1,17.4,16.8,0.2,0.3,0.5,.037,0.2,2.7,2.9
https://www.sports-reference.com/cbb/players/alaina-rice-1.html,Alaina Rice,auburn,2020-21,G,22,12,471,8.2,.406,.315,.208,130,6.2,7.6,6.8,17.8,2.1,0.2,25.5,18.9,-0.1,-0.1,-0.2,-0.017,-1.1,0.0,-1.1
https://www.sports-reference.com/cbb/players/aicha-coulibaly-1.html,Aicha Coulibaly,auburn,2020-21,G,23,7,436,11.5,.405,.258,.289,119,5.5,15.0,9.7,8.8,2.5,2.5,14.2,18.1,0.2,0.1,0.3,.031,-1.0,1.4,0.5
https://www.sports-reference.com/cbb/players/annie-hughes-1.html,Annie Hughes,auburn,2020-21,G,24,10,374,9.6,.430,.436,.154,75,6.4,9.6,7.8,6.1,2.7,0.6,17.7,12.6,0.2,0.0,0.2,.021,-0.8,1.4,0.7
https://www.sports-reference.com/cbb/players/keya-patton-1.html,Keya Patton,auburn,2020-21,G,16,8,359,8.5,.416,.365,.231,91,2.7,6.7,4.5,6.1,1.9,0.3,12.8,17.1,0.2,-0.1,0.1,.011,-1.4,0.3,-1.1
https://www.sports-reference.com/cbb/players/kira-lowery-1.html,Kira Lowery,auburn,2020-21,G,22,9,332,7.2,.563,.135,.622,61,1.0,8.8,4.5,17.1,2.4,0.6,45.5,12.3,-0.1,0.0,-0.2,-0.022,-3.5,0.6,-2.9
https://www.sports-reference.com/cbb/players/sania-wells-1.html,Sania Wells,auburn,2020-21,G,23,1,330,3.9,.346,.442,.295,76,2.0,5.3,3.4,10.3,1.5,0.3,14.3,17.8,-0.1,-0.1,-0.3,-0.034,-3.8,-0.3,-4.1
https://www.sports-reference.com/cbb/players/jala-jordan-1.html,Jala Jordan,auburn,2020-21,F,15,7,252,14.1,.437,.469,.195,102,7.3,16.4,11.4,9.8,1.5,4.7,15.7,27.0,0.2,0.0,0.3,.046,-0.1,0.3,0.2
https://www.sports-reference.com/cbb/players/alycia-reese-1.html,Alycia Reese,auburn,2020-21,G,16,4,222,9.2,.523,.795,.273,49,3.4,6.0,4.6,4.2,1.0,0.0,12.3,11.9,0.4,-0.1,0.2,.044,0.4,0.0,0.4
https://www.sports-reference.com/cbb/players/morgan-robinson-nwagwu-1.html,Morgan Robinson-Nwagwu,auburn,2020-21,G,14,3,150,4.6,.365,.333,.300,32,1.4,11.6,6.0,24.4,4.3,0.7,44.1,19.0,-0.4,0.1,-0.3,-0.084,-6.2,1.7,-4.5
https://www.sports-reference.com/cbb/players/carsen-mcfadden-1.html,Carsen McFadden,auburn,2020-21,G,6,0,20,17.1,.380,.000,.667,5,10.8,6.7,9.0,36.4,2.7,0.0,20.2,11.5,0.0,0.0,0.0,.062,2.8,1.4,4.2
https://www.sports-reference.com/cbb/players/kiyae-white-1.html,Kiyae' White,auburn,2020-21,F,1,0,3,-8.7,.000,.000,.000,0,36.1,88.9,59.7,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,-0.231,-11.3,-7.7,-19.0
https://www.sports-reference.com/cbb/players/riley-donahue-1.html,Riley Donahue,auburn,2020-21,G,3,0,2,49.1,1.500,1.000,.000,1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,46.5,0.0,0.0,0.0,-0.201,13.8,-2.1,11.7
