player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/taniyah-thompson-1.html,Taniyah Thompson,east-carolina,2020-21,G,22,22,668,12.6,.410,.323,.143,238,5.3,6.3,5.7,6.7,2.3,0.3,9.3,24.5,0.7,0.4,1.0,.063,1.3,-0.8,0.6
https://www.sports-reference.com/cbb/players/sierra-dacosta-1.html,Sierra DaCosta,east-carolina,2020-21,G,20,19,602,9.7,.439,.508,.281,179,3.6,10.4,6.6,13.7,2.2,0.0,21.1,20.5,0.2,0.4,0.6,.041,-0.8,-0.4,-1.2
https://www.sports-reference.com/cbb/players/lashonda-monk-1.html,Lashonda Monk,east-carolina,2020-21,G,20,20,600,19.7,.428,.373,.199,260,2.5,17.9,9.2,25.5,5.3,1.2,12.8,27.8,1.0,1.1,2.1,.137,3.7,4.2,8.0
https://www.sports-reference.com/cbb/players/dominique-claytor-1.html,Dominique Claytor,east-carolina,2020-21,F,22,18,562,10.6,.402,.010,.333,112,8.2,15.9,11.6,12.5,5.6,1.1,32.2,14.4,-0.4,1.0,0.7,.048,-2.9,4.2,1.3
https://www.sports-reference.com/cbb/players/synia-johnson-1.html,Synia Johnson,east-carolina,2020-21,G,20,6,381,11.4,.442,.358,.208,101,6.2,6.9,6.5,11.7,3.7,0.3,17.7,17.2,0.2,0.4,0.6,.064,-1.4,1.7,0.3
https://www.sports-reference.com/cbb/players/maddie-moore-1.html,Maddie Moore,east-carolina,2020-21,F,14,14,350,15.8,.477,.185,.281,140,10.8,13.9,12.2,11.4,1.4,3.7,19.0,25.0,0.5,0.3,0.8,.089,0.7,0.3,1.0
https://www.sports-reference.com/cbb/players/ryann-evans-1.html,Ryann Evans,east-carolina,2020-21,G-F,22,1,343,10.6,.468,.136,.373,75,9.7,14.6,11.9,11.8,2.5,0.6,24.9,12.5,0.3,0.4,0.6,.073,-2.0,1.2,-0.8
https://www.sports-reference.com/cbb/players/tiara-chambers-1.html,Tiara Chambers,east-carolina,2020-21,F,18,8,290,12.3,.458,.000,.655,71,13.7,18.7,15.9,5.1,1.3,7.4,23.4,15.0,0.1,0.4,0.5,.068,-3.1,1.3,-1.8
https://www.sports-reference.com/cbb/players/alexsia-rose-1.html,Alexsia Rose,east-carolina,2020-21,G,21,0,278,7.3,.352,.266,.430,72,2.7,14.0,7.6,18.5,4.1,0.4,21.5,20.2,-0.2,0.4,0.1,.021,-4.8,2.4,-2.4
https://www.sports-reference.com/cbb/players/xianna-josephs-1.html,Xianna Josephs,east-carolina,2020-21,F,21,1,129,6.4,.374,.000,.600,27,10.0,10.8,10.4,7.9,2.5,1.7,17.9,14.1,0.0,0.1,0.1,.042,-5.3,1.1,-4.2
https://www.sports-reference.com/cbb/players/justice-gee-1.html,Justice Gee,east-carolina,2020-21,G,14,1,111,13.2,.406,.387,.323,32,5.8,6.3,6.0,23.0,2.9,0.0,12.3,17.0,0.1,0.1,0.2,.082,1.0,1.3,2.3
https://www.sports-reference.com/cbb/players/morgan-moseley-1.html,Morgan Moseley,east-carolina,2020-21,G-F,12,0,49,8.1,.457,.200,.200,9,2.2,11.4,6.2,8.5,2.2,0.0,8.4,11.3,0.1,0.0,0.1,.080,-2.1,1.5,-0.7
https://www.sports-reference.com/cbb/players/katerina-tsineke-1.html,Katerina Tsineke,east-carolina,2020-21,G,8,0,30,3.8,.265,.375,.375,6,10.8,4.6,8.1,6.7,7.2,0.0,24.1,19.2,-0.1,0.1,0.0,-0.028,-7.2,4.2,-3.0
