player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/nyceara-pryor-1.html,Ny'Ceara Pryor,sacred-heart,2022-23,G,33,33,1107,30.4,.487,.168,.372,596,5.7,16.3,10.7,34.9,6.2,0.6,12.9,29.8,3.9,3.3,7.2,.261,3.5,4.3,7.8
https://www.sports-reference.com/cbb/players/olivia-tucker-1.html,Olivia Tucker,sacred-heart,2022-23,G,33,31,1054,7.3,.422,.488,.176,221,1.1,5.3,3.1,7.5,1.7,0.8,15.0,14.8,0.4,1.4,1.8,.068,-4.4,-1.2,-5.6
https://www.sports-reference.com/cbb/players/sajada-bonner-1.html,Sajada Bonner,sacred-heart,2022-23,G,32,32,1045,11.5,.459,.586,.210,309,2.6,8.6,5.4,6.0,1.6,1.4,13.7,19.7,1.1,1.6,2.7,.104,-1.7,-1.9,-3.6
https://www.sports-reference.com/cbb/players/sierra-johnson-1.html,Sierra Johnson,sacred-heart,2022-23,G,33,22,869,6.9,.433,.251,.434,199,5.1,8.4,6.6,12.3,1.9,1.4,30.4,16.7,-0.5,1.4,0.9,.041,-5.5,-1.6,-7.1
https://www.sports-reference.com/cbb/players/amelia-wood-1.html,Amelia Wood,sacred-heart,2022-23,G,33,10,682,17.2,.493,.527,.308,240,5.9,23.4,14.1,8.8,2.8,1.9,19.7,22.4,0.9,1.7,2.6,.154,-0.6,-0.2,-0.8
https://www.sports-reference.com/cbb/players/kelsey-wood-1.html,Kelsey Wood,sacred-heart,2022-23,F-C,33,14,545,17.7,.512,.000,.380,162,11.7,21.3,16.2,8.2,3.0,2.2,22.0,17.1,0.7,1.4,2.1,.153,-2.6,-0.4,-3.0
https://www.sports-reference.com/cbb/players/carly-stroemel-1.html,Carly Stroemel,sacred-heart,2022-23,F-C,31,3,460,12.3,.409,.015,.216,119,7.7,15.8,11.5,4.3,1.6,7.4,15.0,18.1,0.1,1.0,1.1,.099,-4.7,0.0,-4.7
https://www.sports-reference.com/cbb/players/ciara-brannon-1.html,Ciara Brannon,sacred-heart,2022-23,F,25,16,313,7.9,.421,.000,.305,88,15.8,10.9,13.5,4.9,0.7,3.5,26.6,19.5,-0.1,0.5,0.4,.049,-8.4,-2.9,-11.2
https://www.sports-reference.com/cbb/players/willisha-jackson-1.html,Wil'lisha Jackson,sacred-heart,2022-23,G-F,20,4,209,3.0,.355,.450,.167,44,2.4,7.1,4.6,4.9,2.2,1.1,20.8,18.7,-0.3,0.3,0.1,.010,-7.6,-2.1,-9.6
https://www.sports-reference.com/cbb/players/afia-owusu-mensah-1.html,Afia Owusu-Mensah,sacred-heart,2022-23,G,18,0,146,9.6,.462,.324,.441,38,4.8,9.4,7.0,8.5,1.5,0.0,19.6,16.7,0.1,0.2,0.3,.090,-3.0,-1.1,-4.1
https://www.sports-reference.com/cbb/players/savannah-marshall-1.html,Savannah Marshall,sacred-heart,2022-23,G,12,0,77,2.4,.333,1.000,.000,7,2.6,10.3,6.3,7.2,3.7,0.0,43.8,9.9,-0.1,0.2,0.0,.012,-8.3,0.8,-7.6
https://www.sports-reference.com/cbb/players/maya-klein-1.html,Maya Klein,sacred-heart,2022-23,G,13,0,76,3.8,.361,.778,.000,13,0.0,9.0,4.2,10.4,1.5,1.4,25.0,15.1,-0.1,0.1,0.0,.010,-7.3,-3.4,-10.7
https://www.sports-reference.com/cbb/players/kennadie-hallum-1.html,Kennadie Hallum,sacred-heart,2022-23,G,6,0,17,-9.5,.000,.500,.000,0,0.0,13.4,6.3,0.0,3.3,0.0,20.0,14.1,-0.1,0.0,-0.1,-0.129,-10.2,0.1,-10.1
