player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/patricia-anumgba-1.html,Patricia Anumgba,towson,2023-24,G,31,31,1063,17.6,.513,.397,.310,407,1.2,8.6,4.7,13.8,2.3,0.4,13.2,22.2,2.5,1.2,3.7,.138,1.3,-0.2,1.1
https://www.sports-reference.com/cbb/players/alexia-nelson-1.html,Alexia Nelson,towson,2023-24,G,31,31,994,14.8,.487,.322,.414,316,3.1,10.2,6.5,19.5,2.0,0.2,16.6,17.8,1.8,1.1,2.8,.114,-0.3,-0.3,-0.7
https://www.sports-reference.com/cbb/players/kylie-kornegay-lucas-1.html,Kylie Kornegay-Lucas,towson,2023-24,G,31,29,973,20.3,.416,.244,.216,413,4.5,22.2,13.0,24.2,4.0,3.5,15.2,27.5,1.0,2.2,3.3,.135,1.5,2.6,4.1
https://www.sports-reference.com/cbb/players/quinzia-fulmore-1.html,Quinzia Fulmore,towson,2023-24,F,28,17,573,18.3,.518,.011,.343,209,10.9,15.7,13.2,3.9,0.7,2.0,17.0,20.9,1.1,0.7,1.8,.124,0.3,-2.3,-2.0
https://www.sports-reference.com/cbb/players/india-johnston-1.html,India Johnston,towson,2023-24,G,30,1,522,18.4,.586,.555,.207,180,1.1,6.6,3.7,8.8,1.0,0.0,8.6,17.8,1.7,0.3,2.0,.157,3.1,-1.4,1.6
https://www.sports-reference.com/cbb/players/anasia-staton-1.html,Anasia Staton,towson,2023-24,F,29,3,427,8.4,.397,.420,.143,104,7.1,18.0,12.3,7.4,0.7,0.7,16.4,16.8,0.1,0.5,0.6,.054,-3.3,-1.6,-4.9
https://www.sports-reference.com/cbb/players/kayla-morris-1.html,Kayla Morris,towson,2023-24,F,20,11,350,13.9,.427,.402,.084,92,6.4,23.8,14.7,5.9,1.1,10.6,21.2,19.1,-0.1,0.7,0.7,.076,-2.6,2.4,-0.2
https://www.sports-reference.com/cbb/players/aminata-diakite-1.html,Aminata Diakite,towson,2023-24,G,25,8,298,9.3,.389,.286,.187,78,5.6,5.0,5.3,8.0,2.3,0.0,13.9,18.2,0.1,0.3,0.3,.046,-2.6,-1.2,-3.8
https://www.sports-reference.com/cbb/players/anaiah-jenkins-1.html,Anaiah Jenkins,towson,2023-24,F,24,12,265,9.9,.460,.105,.263,67,13.3,10.9,12.1,3.7,1.3,0.4,21.0,14.5,0.3,0.3,0.5,.078,-3.8,-2.1,-5.9
https://www.sports-reference.com/cbb/players/gabby-scott-1.html,Gabby Scott,towson,2023-24,G,20,1,222,10.4,.324,.390,.268,41,13.2,10.6,12.0,4.1,2.3,1.7,9.8,10.9,0.1,0.3,0.4,.074,-1.4,-1.1,-2.6
https://www.sports-reference.com/cbb/players/alina-sendar-1.html,Alina Sendar,towson,2023-24,G,20,10,213,3.2,.370,.722,.000,38,3.2,8.0,5.5,3.5,1.6,0.4,18.2,14.6,-0.1,0.2,0.1,.012,-4.7,-1.5,-6.2
https://www.sports-reference.com/cbb/players/taiye-johnson-1.html,Taiye Johnson,towson,2023-24,C,22,1,178,15.6,.531,.000,.538,54,14.3,16.8,15.5,1.1,1.6,4.8,26.9,17.8,0.2,0.3,0.5,.107,-2.7,-0.5,-3.2
https://www.sports-reference.com/cbb/players/mariah-wilson-2.html,Mariah Wilson,towson,2023-24,G,23,0,145,3.9,.309,.667,.167,26,4.0,8.9,6.3,6.3,3.5,0.0,15.3,14.9,-0.1,0.2,0.1,.020,-6.6,1.2,-5.4
https://www.sports-reference.com/cbb/players/semaya-turner-1.html,Semaya Turner,towson,2023-24,G,11,0,61,3.1,.372,.294,.059,13,6.4,12.3,9.2,3.3,2.7,0.0,28.6,19.0,-0.1,0.1,0.0,-0.017,-8.2,-0.9,-9.1
https://www.sports-reference.com/cbb/players/caydence-hadley-1.html,Caydence Hadley,towson,2023-24,F,4,0,17,-15.4,.167,.583,.000,4,11.5,0.0,6.0,0.0,0.0,0.0,14.3,38.9,-0.1,0.0,-0.1,-0.304,-16.2,-12.0,-28.2
