player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/chelsea-wooten-1.html,Chelsea Wooten,western-carolina,2023-24,G,28,28,871,9.5,.431,.705,.177,264,0.4,6.3,3.5,15.1,1.5,0.8,16.2,23.3,0.2,0.1,0.3,.013,-2.4,-4.3,-6.7
https://www.sports-reference.com/cbb/players/jada-burton-1.html,Jada Burton,western-carolina,2023-24,G,29,24,836,10.6,.472,.130,.312,197,1.9,12.2,7.4,28.7,2.5,0.8,34.7,16.7,-0.3,0.6,0.3,.016,-4.0,-2.2,-6.2
https://www.sports-reference.com/cbb/players/audrey-meyers-1.html,Audrey Meyers,western-carolina,2023-24,G-F,30,29,720,11.3,.572,.082,.369,157,4.5,9.1,6.9,7.6,0.9,0.6,18.2,12.5,1.2,0.1,1.3,.071,-2.7,-3.1,-5.7
https://www.sports-reference.com/cbb/players/lonasia-brewer-1.html,Lonasia Brewer,western-carolina,2023-24,F,30,18,708,21.1,.524,.012,.161,278,11.0,16.8,14.1,22.8,1.2,2.4,19.8,24.2,1.4,0.6,2.0,.110,1.0,-2.9,-1.9
https://www.sports-reference.com/cbb/players/zanoria-cruz-1.html,Zanoria Cruz,western-carolina,2023-24,G-F,30,13,660,13.1,.535,.199,.536,234,5.1,11.3,8.4,14.6,1.2,1.2,25.8,23.8,0.7,0.3,0.9,.057,-3.0,-3.9,-6.9
https://www.sports-reference.com/cbb/players/tyja-beans-1.html,Tyja Beans,western-carolina,2023-24,F,25,18,649,13.3,.488,.099,.128,177,9.0,12.0,10.6,10.6,2.1,0.9,19.8,18.0,0.6,0.4,1.0,.062,-2.6,-2.8,-5.4
https://www.sports-reference.com/cbb/players/reagan-trumm-1.html,Reagan Trumm,western-carolina,2023-24,G,24,2,352,3.1,.392,.764,.056,55,1.0,5.4,3.3,7.0,1.0,0.3,19.6,13.4,-0.2,0.0,-0.2,-0.023,-6.1,-4.8,-10.8
https://www.sports-reference.com/cbb/players/nicole-azar-1.html,Nicole Azar,western-carolina,2023-24,G,19,7,347,6.7,.391,.731,.346,67,4.1,11.5,8.1,2.4,1.9,1.1,12.5,15.4,0.0,0.2,0.2,.021,-5.2,-3.8,-9.0
https://www.sports-reference.com/cbb/players/tyra-robinson-1.html,Tyra Robinson,western-carolina,2023-24,F,29,4,220,10.7,.446,.010,.255,90,8.7,14.4,11.7,6.5,0.8,3.2,19.1,33.0,-0.1,0.1,0.0,.008,-7.4,-3.7,-11.1
https://www.sports-reference.com/cbb/players/mya-love-1.html,Mya Love,western-carolina,2023-24,G,15,3,184,11.4,.423,.132,.529,74,7.8,12.6,10.3,19.7,1.3,0.5,19.8,29.7,0.0,0.1,0.1,.024,-6.2,-6.3,-12.5
https://www.sports-reference.com/cbb/players/ewa-kielar-1.html,Ewa Kielar,western-carolina,2023-24,F,21,3,156,7.6,.433,.000,.231,27,7.6,17.6,12.9,6.8,2.3,1.9,32.7,14.1,-0.1,0.2,0.0,.009,-9.0,-2.2,-11.1
https://www.sports-reference.com/cbb/players/bailey-trumm-1.html,Bailey Trumm,western-carolina,2023-24,G,15,0,124,11.9,.529,.882,.000,20,1.0,11.9,6.8,17.9,0.9,0.0,5.6,7.5,0.2,0.0,0.3,.085,-3.0,-3.8,-6.8
https://www.sports-reference.com/cbb/players/tamori-plantin-1.html,Tamori Plantin,western-carolina,2023-24,F,19,1,121,5.0,.384,.000,.386,39,10.8,16.6,13.9,6.1,1.0,1.6,18.7,27.2,-0.1,0.1,-0.1,-0.017,-11.4,-5.1,-16.5
https://www.sports-reference.com/cbb/players/erin-stack-1.html,Erin Stack,western-carolina,2023-24,F,7,0,51,-3.7,.091,.545,.000,2,0.0,18.6,9.9,0.0,1.2,3.9,8.3,12.1,-0.2,0.0,-0.1,-0.095,-10.1,-3.4,-13.5
