player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/kennedy-harris-3.html,Kennedy Harris,george-mason,2025-26,G,20,20,667,16.8,.471,.419,.181,252,1.6,7.4,4.3,16.2,3.2,0.7,11.9,23.8,1.2,1.2,2.4,.144,2.4,2.4,4.8
https://www.sports-reference.com/cbb/players/zahirah-walton-1.html,Zahirah Walton,george-mason,2025-26,F,19,19,662,26.1,.539,.195,.507,336,5.0,13.1,8.8,13.4,2.7,2.7,12.2,28.2,2.6,1.3,3.9,.235,5.9,2.6,8.5
https://www.sports-reference.com/cbb/players/louis-volker-1.html,Louis Volker,george-mason,2025-26,F,20,20,552,14.8,.533,.368,.105,149,9.4,11.9,10.6,5.9,1.8,3.8,19.1,15.2,0.9,1.0,1.9,.137,1.0,1.7,2.6
https://www.sports-reference.com/cbb/players/jada-brown-3.html,Jada Brown,george-mason,2025-26,G,19,15,472,12.5,.486,.508,.131,127,2.4,8.1,5.1,15.5,2.4,0.0,16.2,15.9,0.7,0.8,1.4,.120,0.3,2.0,2.2
https://www.sports-reference.com/cbb/players/maliyah-johnson-1.html,Maliyah Johnson,george-mason,2025-26,F,19,11,462,11.6,.449,.232,.239,147,7.4,17.0,11.9,12.6,0.9,1.4,21.0,21.0,0.3,0.8,1.1,.093,-1.3,0.5,-0.7
https://www.sports-reference.com/cbb/players/mary-amoateng-1.html,Mary Amoateng,george-mason,2025-26,G,20,4,437,19.7,.513,.361,.479,155,2.6,11.9,7.0,22.7,5.8,0.0,18.9,20.0,0.9,1.1,2.0,.187,1.5,6.4,7.9
https://www.sports-reference.com/cbb/players/hawa-komara-1.html,Hawa Komara,george-mason,2025-26,F,11,10,296,11.5,.329,.000,.244,55,15.0,14.0,14.6,8.6,2.3,0.0,9.1,9.1,0.3,0.6,0.9,.119,0.8,1.5,2.3
https://www.sports-reference.com/cbb/players/page-greenburg-1.html,Page Greenburg,george-mason,2025-26,G,19,0,192,16.5,.478,.623,.131,56,1.6,15.0,8.0,8.6,2.7,1.7,3.0,16.9,0.4,0.4,0.8,.173,2.1,3.0,5.1
https://www.sports-reference.com/cbb/players/makayla-johnson-3.html,Makayla Johnson,george-mason,2025-26,G,17,0,155,5.6,.417,.639,.139,33,2.0,11.2,6.3,10.8,2.2,0.0,26.7,16.4,-0.1,0.3,0.2,.044,-3.8,1.3,-2.4
https://www.sports-reference.com/cbb/players/sara-blair-1.html,Sara Blair,george-mason,2025-26,C,10,1,57,19.0,.581,.000,1.000,14,18.2,26.3,22.0,3.4,1.0,5.8,16.2,10.5,0.1,0.1,0.3,.193,0.9,1.0,1.9
https://www.sports-reference.com/cbb/players/sanyiah-littlejohn-short-1.html,Sanyiah Littlejohn-Short,george-mason,2025-26,G,11,0,50,8.2,.343,.143,.381,17,0.0,11.5,5.5,16.7,2.3,4.4,13.9,28.0,-0.1,0.1,0.0,.028,-5.7,0.9,-4.7
https://www.sports-reference.com/cbb/players/trinity-massenberg-1.html,Trinity Massenberg,george-mason,2025-26,F,7,0,33,1.9,.375,.000,.000,7,15.7,17.5,16.5,0.0,0.0,0.0,33.3,17.6,0.0,0.1,0.0,.004,-7.8,-2.8,-10.6
https://www.sports-reference.com/cbb/players/leah-keyes-1.html,Leah Keyes,george-mason,2025-26,F,10,0,23,-1.1,.333,.333,.000,3,4.5,5.0,4.7,15.6,2.5,0.0,40.0,10.6,0.0,0.0,0.0,.022,-12.0,1.8,-10.2
https://www.sports-reference.com/cbb/players/matilde-motta-1.html,Matilde Motta,george-mason,2025-26,G,6,0,15,11.8,.400,.000,.000,4,13.8,23.1,18.2,0.0,0.0,0.0,16.7,19.4,0.0,0.0,0.0,.072,-4.7,-3.0,-7.7
