player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/bailey-flavell-1.html,Bailey Flavell,hawaii,2025-26,G,20,20,594,17.4,.518,.367,.415,264,2.4,12.0,7.5,16.0,1.5,0.7,19.4,28.6,1.2,0.9,2.1,.139,1.0,-0.5,0.4
https://www.sports-reference.com/cbb/players/imani-perez-1.html,Imani Perez,hawaii,2025-26,F,19,15,474,23.0,.625,.442,.305,134,6.6,21.7,14.6,12.5,1.8,8.0,14.2,13.4,1.5,1.2,2.6,.222,4.1,4.1,8.2
https://www.sports-reference.com/cbb/players/saniyah-neverson-1.html,Saniyah Neverson,hawaii,2025-26,F,20,20,471,19.6,.540,.271,.286,155,8.6,11.9,10.4,7.5,1.5,3.9,9.0,17.6,1.4,0.8,2.2,.187,2.5,1.5,4.0
https://www.sports-reference.com/cbb/players/keiara-curtis-1.html,Keiara Curtis,hawaii,2025-26,G,20,5,428,17.1,.554,.452,.217,178,3.1,12.4,8.0,20.0,2.0,1.3,22.4,26.0,0.9,0.7,1.6,.150,1.7,1.1,2.8
https://www.sports-reference.com/cbb/players/teyahna-bond-1.html,Teyahna Bond,hawaii,2025-26,G,20,9,357,2.7,.373,.363,.150,82,3.0,6.8,5.0,26.9,0.8,0.9,38.7,19.5,-0.7,0.4,-0.3,-0.036,-4.9,-1.9,-6.8
https://www.sports-reference.com/cbb/players/kyra-webb-1.html,Kyra Webb,hawaii,2025-26,G,20,1,354,13.0,.493,.269,.237,99,8.4,14.4,11.6,7.8,2.9,3.7,25.8,19.7,0.1,0.8,0.8,.095,-3.0,2.3,-0.8
https://www.sports-reference.com/cbb/players/ritorya-tamilo-1.html,Ritorya Tamilo,hawaii,2025-26,C,18,4,267,19.4,.511,.100,.571,91,9.9,19.9,15.2,8.5,1.9,8.1,20.5,21.0,0.4,0.7,1.1,.164,-0.9,3.7,2.8
https://www.sports-reference.com/cbb/players/jade-peacock-1.html,Jade Peacock,hawaii,2025-26,G,19,7,266,7.0,.352,.532,.065,50,4.0,13.6,9.1,13.2,1.3,4.1,22.0,15.4,-0.2,0.5,0.3,.040,-2.9,1.9,-1.0
https://www.sports-reference.com/cbb/players/rebecca-moors-1.html,Rebecca Moors,hawaii,2025-26,F,18,12,185,5.6,.443,.240,.080,26,5.2,13.2,9.4,7.6,1.6,0.6,29.8,10.0,0.0,0.3,0.3,.057,-4.0,2.1,-1.9
https://www.sports-reference.com/cbb/players/izzy-forsyth-1.html,Izzy Forsyth,hawaii,2025-26,G,19,0,178,7.1,.416,.789,.158,34,3.4,9.5,6.6,6.8,1.3,0.6,16.4,13.7,0.1,0.2,0.3,.067,-2.4,0.4,-2.0
https://www.sports-reference.com/cbb/players/kira-may-filemu-1.html,Kira-May Filemu,hawaii,2025-26,G,11,0,156,7.6,.434,.654,.038,42,5.4,5.4,5.4,5.8,1.1,4.9,20.9,21.4,-0.1,0.2,0.2,.039,-0.8,0.7,-0.2
https://www.sports-reference.com/cbb/players/jovi-lefotu-1.html,Jovi Lefotu,hawaii,2025-26,G,9,6,124,3.6,.374,.103,.205,36,4.8,13.7,9.5,19.1,1.4,0.0,29.6,24.5,-0.2,0.2,0.0,-0.007,-8.9,-1.8,-10.6
https://www.sports-reference.com/cbb/players/danijela-kujovic-1.html,Danijela Kujovic,hawaii,2025-26,F,13,1,121,7.9,.502,.524,.190,23,4.9,9.6,7.4,6.9,1.9,4.5,32.4,14.0,0.0,0.2,0.2,.055,-1.7,2.8,1.1
https://www.sports-reference.com/cbb/players/ella-collins-1.html,Ella Collins,hawaii,2025-26,G,6,0,27,-6.0,.294,.300,.400,7,4.4,11.8,8.3,7.7,2.1,0.0,33.5,33.1,-0.2,0.0,-0.1,-0.165,-14.6,-4.6,-19.2
https://www.sports-reference.com/cbb/players/fiamma-serra-1.html,Fiamma Serra,hawaii,2025-26,F,5,0,23,10.5,.400,.000,.000,4,10.4,13.8,12.2,0.0,5.0,0.0,28.6,15.2,0.0,0.1,0.0,.053,2.2,4.1,6.3
