player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/nia-marshall-1.html,Nia Marshall,cornell,2016-17,F,27,27,33.2,5.7,14.2,.401,0.1,0.4,.333,5.6,13.8,.403,.406,3.8,5.9,.646,1.9,5.0,6.9,1.9,1.7,0.8,3.0,2.8,15.3
https://www.sports-reference.com/cbb/players/megan-leduc-1.html,Megan LeDuc,cornell,2016-17,G,27,27,34.9,4.1,9.7,.425,2.0,4.8,.415,2.1,4.9,.435,.529,1.9,2.5,.746,0.6,3.6,4.2,3.5,1.6,0.2,2.3,2.7,12.1
https://www.sports-reference.com/cbb/players/kerri-moran-1.html,Kerri Moran,cornell,2016-17,G,27,27,34.1,3.2,9.0,.360,0.8,2.3,.349,2.4,6.6,.363,.405,1.9,2.3,.825,1.3,2.9,4.1,4.0,1.3,0.3,2.1,2.0,9.2
https://www.sports-reference.com/cbb/players/nicholle-aston-1.html,Nicholle Aston,cornell,2016-17,F,27,27,25.9,3.7,7.8,.474,0.0,0.0,.000,3.7,7.8,.476,.474,1.2,1.9,.660,2.0,3.5,5.5,1.5,0.4,0.4,1.9,2.1,8.6
https://www.sports-reference.com/cbb/players/samantha-widmann-1.html,Samantha Widmann,cornell,2016-17,G-F,26,0,16.0,2.0,4.5,.453,0.1,0.5,.250,1.9,4.0,.476,.466,1.5,2.5,.625,1.2,1.8,3.0,0.5,1.0,0.3,1.3,1.9,5.7
https://www.sports-reference.com/cbb/players/taylor-depalma-1.html,Taylor DePalma,cornell,2016-17,G,25,25,16.6,1.1,3.6,.311,0.8,2.4,.322,0.4,1.2,.290,.417,0.2,0.5,.417,0.4,0.2,0.7,0.8,0.3,0.0,0.5,0.7,3.2
https://www.sports-reference.com/cbb/players/janee-dennis-1.html,Janee Dennis,cornell,2016-17,G,19,0,6.8,0.9,2.2,.439,0.6,1.5,.393,0.4,0.7,.538,.573,0.2,0.3,.667,0.3,0.5,0.8,0.3,0.1,0.2,0.4,0.6,2.7
https://www.sports-reference.com/cbb/players/caroline-shelquist-1.html,Caroline Shelquist,cornell,2016-17,G,23,0,5.6,0.8,2.2,.353,0.7,1.8,.381,0.1,0.4,.222,.510,0.0,0.1,.500,0.3,0.3,0.5,0.0,0.0,0.0,0.3,0.3,2.3
https://www.sports-reference.com/cbb/players/danielle-jorgenson-2.html,Danielle Jorgenson,cornell,2016-17,G,9,0,7.8,0.9,2.3,.381,0.2,0.8,.286,0.7,1.6,.429,.429,0.2,0.3,.667,0.4,0.7,1.1,0.2,0.4,0.3,1.2,1.0,2.2
https://www.sports-reference.com/cbb/players/maddy-reed-1.html,Maddy Reed,cornell,2016-17,F,27,0,15.1,0.6,1.9,.333,0.0,0.0,,0.6,1.9,.333,.333,0.3,0.6,.529,0.9,2.0,2.9,0.9,0.4,0.4,1.0,1.6,1.6
https://www.sports-reference.com/cbb/players/marie-hatch-1.html,Marie Hatch,cornell,2016-17,G,24,2,11.7,0.5,1.8,.286,0.0,0.4,.111,0.5,1.4,.333,.298,0.5,0.7,.688,0.7,1.1,1.8,0.6,0.7,0.2,0.5,0.8,1.5
https://www.sports-reference.com/cbb/players/christine-ehland-1.html,Christine Ehland,cornell,2016-17,F,17,0,4.5,0.5,0.8,.571,0.0,0.0,,0.5,0.8,.571,.571,0.2,0.3,.800,0.5,0.6,1.1,0.1,0.1,0.1,0.5,0.5,1.2
https://www.sports-reference.com/cbb/players/reena-olsen-1.html,Reena Olsen,cornell,2016-17,F,10,0,3.1,0.1,0.6,.167,0.0,0.0,,0.1,0.6,.167,.167,0.2,0.2,1.000,0.5,0.6,1.1,0.2,0.0,0.0,0.4,0.7,0.4
https://www.sports-reference.com/cbb/players/samantha-clement-1.html,Samantha Clement,cornell,2016-17,G,7,0,1.9,0.0,0.1,.000,0.0,0.1,.000,0.0,0.0,,.000,0.3,0.3,1.000,0.0,0.4,0.4,0.0,0.1,0.0,0.0,0.0,0.3
https://www.sports-reference.com/cbb/players/jseeica-willerson-1.html,Jessica Willerson,cornell,2016-17,F,7,0,2.7,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,.000,0.0,0.0,,0.0,0.1,0.1,0.0,0.3,0.1,0.4,0.6,0.0
https://www.sports-reference.com/cbb/players/dylan-higgins-1.html,Dylan Higgins,cornell,2016-17,G,3,0,2.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cbb/players/stephanie-umeh-1.html,Stephanie Umeh,cornell,2016-17,F,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.0
