player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/kristian-hudson-1.html,Kristian Hudson,florida-international,2016-17,G,28,28,37.0,4.1,12.1,.340,0.8,2.6,.315,3.3,9.5,.347,.374,3.1,4.1,.765,0.5,4.1,4.6,4.4,1.7,0.2,4.6,2.2,12.2
https://www.sports-reference.com/cbb/players/janka-hegedus-1.html,Janka Hegedus,florida-international,2016-17,G,27,27,28.4,4.4,9.6,.462,0.2,0.9,.250,4.2,8.7,.483,.473,1.7,2.3,.758,1.7,3.3,4.9,1.2,0.7,0.1,2.6,2.9,10.9
https://www.sports-reference.com/cbb/players/tianah-alvarado-1.html,Tianah Alvarado,florida-international,2016-17,G,17,2,20.1,3.3,8.8,.373,0.7,2.9,.245,2.6,5.9,.436,.413,1.9,2.9,.660,1.4,3.0,4.4,0.5,1.4,0.4,1.8,2.4,9.2
https://www.sports-reference.com/cbb/players/alexis-gordon-1.html,Alexis Gordon,florida-international,2016-17,G,28,25,31.9,3.1,9.9,.319,2.1,6.3,.333,1.0,3.5,.293,.426,0.7,0.8,.870,0.1,1.8,1.9,1.5,0.8,0.2,2.3,1.2,9.1
https://www.sports-reference.com/cbb/players/kayla-rogers-1.html,Kayla Rogers,florida-international,2016-17,G,27,1,24.7,2.1,6.4,.324,0.5,1.9,.255,1.6,4.5,.352,.361,2.5,3.6,.698,0.3,1.4,1.8,2.1,0.9,0.0,3.2,2.6,7.1
https://www.sports-reference.com/cbb/players/kiandrea-pound-1.html,Kiandre'a Pound,florida-international,2016-17,F,28,25,22.1,2.4,6.2,.391,0.1,0.5,.308,2.3,5.8,.398,.402,0.7,1.1,.645,2.0,3.1,5.1,0.5,1.0,0.5,1.7,1.9,5.7
https://www.sports-reference.com/cbb/players/sydney-fields-1.html,Sydney Fields,florida-international,2016-17,F,28,2,17.9,1.1,2.4,.470,0.0,0.0,,1.1,2.4,.470,.470,0.5,1.2,.382,1.0,2.0,3.0,0.4,0.5,0.6,1.0,2.7,2.7
https://www.sports-reference.com/cbb/players/soraya-page-1.html,Soraya Page,florida-international,2016-17,F,3,0,13.0,0.7,3.0,.222,0.3,1.0,.333,0.3,2.0,.167,.278,0.7,0.7,1.000,1.0,0.7,1.7,0.0,0.0,0.0,1.7,1.3,2.3
https://www.sports-reference.com/cbb/players/nikolina-todorovic-1.html,Nikolina Todorovic,florida-international,2016-17,G,27,24,16.2,0.6,1.8,.327,0.3,0.9,.320,0.3,0.9,.333,.408,0.0,0.1,.000,0.4,1.1,1.6,0.7,0.3,0.0,0.6,0.7,1.5
https://www.sports-reference.com/cbb/players/amari-hawkins-1.html,Amari Hawkins,florida-international,2016-17,G,24,6,15.5,0.5,1.4,.324,0.0,0.0,,0.5,1.4,.324,.324,0.3,0.4,.600,0.7,1.3,2.0,0.7,0.6,0.1,1.0,1.7,1.2
https://www.sports-reference.com/cbb/players/aajah-hawkins-1.html,Aajah Hawkins,florida-international,2016-17,G,7,0,3.4,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,.333,0.0,0.0,,0.9,0.1,1.0,0.0,0.0,0.0,0.3,0.3,0.3
https://www.sports-reference.com/cbb/players/jade-cheek-1.html,Jade Cheek,florida-international,2016-17,G,1,0,8.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
