player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/tierra-huntsman-1.html,Tierra Huntsman,gardner-webb,2016-17,G,31,30,1067,23.0,.527,.408,.418,442,1.4,13.4,7.4,17.3,3.5,0.5,13.5,24.0,3.9,1.6,5.5,.205,1.6,0.7,2.3
https://www.sports-reference.com/cbb/players/alexus-hill-1.html,Alexus Hill,gardner-webb,2016-17,G,31,29,935,12.5,.434,.212,.212,287,5.1,9.0,7.0,16.5,1.2,0.7,15.7,20.2,1.3,0.7,2.0,.087,-2.5,-2.3,-4.8
https://www.sports-reference.com/cbb/players/kiera-currie-1.html,Kiera Currie,gardner-webb,2016-17,G-F,31,28,819,13.2,.470,.530,.173,179,9.8,14.5,12.2,5.7,1.3,1.3,14.2,12.8,1.3,0.8,2.2,.107,0.4,-1.1,-0.7
https://www.sports-reference.com/cbb/players/kyasia-stanford-1.html,Ky'Asia Stanford,gardner-webb,2016-17,G,31,6,613,12.2,.437,.007,.472,159,3.9,10.5,7.2,14.4,3.3,0.2,20.2,17.6,0.5,0.8,1.3,.083,-4.4,0.2,-4.3
https://www.sports-reference.com/cbb/players/carley-plentovich-1.html,Carley Plentovich,gardner-webb,2016-17,G,21,18,508,16.0,.537,.500,.121,149,3.4,8.4,5.9,17.1,2.3,0.0,17.7,16.6,1.3,0.5,1.7,.137,-2.3,-1.6,-3.9
https://www.sports-reference.com/cbb/players/evelyn-adebayo-1.html,Evelyn Adebayo,gardner-webb,2016-17,F,27,7,485,16.0,.438,.174,.362,161,15.7,22.3,19.0,5.9,1.7,2.9,20.5,22.5,0.5,0.8,1.3,.106,-4.5,-1.9,-6.4
https://www.sports-reference.com/cbb/players/celia-tibbs-1.html,Celia Tibbs,gardner-webb,2016-17,C,31,17,458,9.6,.469,.011,.489,105,10.6,20.0,15.3,1.8,0.8,5.2,27.9,16.7,0.0,0.6,0.7,.059,-7.8,-0.8,-8.6
https://www.sports-reference.com/cbb/players/charlisa-jenkins-1.html,Charlisa Jenkins,gardner-webb,2016-17,C,30,12,378,23.1,.479,.000,.286,161,17.7,36.8,27.4,0.7,1.1,2.8,15.3,28.3,0.8,0.8,1.6,.165,-3.8,-2.3,-6.1
https://www.sports-reference.com/cbb/players/lovely-locklear-1.html,Lovely Locklear,gardner-webb,2016-17,G,28,6,359,10.7,.446,.170,.523,105,6.2,10.1,8.2,15.2,4.9,0.9,32.5,22.5,-0.2,0.6,0.4,.042,-6.6,-0.7,-7.4
https://www.sports-reference.com/cbb/players/savannah-plentovich-1.html,Savannah Plentovich,gardner-webb,2016-17,G,28,0,322,14.6,.490,.341,.463,108,3.7,11.2,7.5,26.3,3.2,1.0,29.1,21.7,0.4,0.4,0.8,.097,-4.6,-2.0,-6.7
https://www.sports-reference.com/cbb/players/morgan-ackermann-1.html,Morgan Ackermann,gardner-webb,2016-17,F,23,0,128,27.5,.579,.873,.109,57,4.1,7.0,5.6,11.9,0.9,1.7,4.9,23.6,0.7,0.1,0.8,.252,8.5,-1.5,7.0
https://www.sports-reference.com/cbb/players/morgan-pointer-1.html,Morgan Pointer,gardner-webb,2016-17,F,22,1,126,19.4,.576,.343,.400,47,12.5,16.4,14.5,11.0,0.0,1.7,19.4,20.3,0.4,0.1,0.5,.170,-0.9,-2.2,-3.1
