player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/bri-mitchell-1.html,Bri Mitchell,southeast-missouri-state,2016-17,G,30,30,977,22.5,.453,.134,.305,510,5.4,10.9,8.1,30.0,1.8,0.1,11.5,27.8,3.7,0.2,3.9,.161,2.0,-1.7,0.2
https://www.sports-reference.com/cbb/players/adrianna-murphy-1.html,Adrianna Murphy,southeast-missouri-state,2016-17,G,30,30,817,17.9,.418,.240,.096,269,8.0,15.1,11.5,35.7,4.4,0.2,28.3,16.9,1.2,0.8,2.0,.100,-1.8,1.1,-0.7
https://www.sports-reference.com/cbb/players/hannah-noe-1.html,Hannah Noe,southeast-missouri-state,2016-17,G,29,21,705,14.7,.522,.736,.194,270,1.1,5.8,3.4,9.0,0.9,0.1,13.4,22.2,2.0,-0.2,1.8,.103,-1.4,-3.5,-4.9
https://www.sports-reference.com/cbb/players/mandy-madden-1.html,Mandy Madden,southeast-missouri-state,2016-17,F,30,27,606,15.5,.524,.007,.231,157,10.1,18.4,14.2,4.8,1.2,5.4,20.4,14.0,1.0,0.4,1.4,.092,-2.6,-0.4,-3.0
https://www.sports-reference.com/cbb/players/deja-jones-1.html,Deja Jones,southeast-missouri-state,2016-17,F,27,9,586,20.4,.613,.007,.540,211,16.2,15.8,16.0,4.0,1.5,1.2,20.8,17.1,1.9,0.2,2.1,.143,-1.5,-2.2,-3.6
https://www.sports-reference.com/cbb/players/ashton-luttrull-1.html,Ashton Luttrull,southeast-missouri-state,2016-17,G,29,2,532,19.8,.533,.695,.219,200,4.0,13.9,8.9,11.2,2.3,2.3,13.1,20.3,1.7,0.3,2.0,.148,1.2,-0.6,0.5
https://www.sports-reference.com/cbb/players/olivia-hackmann-1.html,Olivia Hackmann,southeast-missouri-state,2016-17,G,19,18,502,25.0,.493,.304,.110,234,7.9,20.4,14.0,6.4,2.3,2.2,7.7,27.1,1.8,0.4,2.2,.175,2.9,-0.9,2.0
https://www.sports-reference.com/cbb/players/lakyn-gulley-1.html,Lakyn Gulley,southeast-missouri-state,2016-17,G,28,2,309,20.8,.601,.904,.000,100,1.8,15.2,8.4,5.9,2.7,1.3,9.6,16.9,1.0,0.2,1.2,.158,3.5,-0.5,3.0
https://www.sports-reference.com/cbb/players/dolapo-balogun-1.html,Dolapo Balogun,southeast-missouri-state,2016-17,F,22,2,279,12.0,.590,.000,.458,73,13.4,16.8,15.1,4.8,0.6,1.1,30.8,13.7,0.4,0.1,0.5,.068,-4.6,-1.9,-6.5
https://www.sports-reference.com/cbb/players/iyanna-mccurdy-1.html,Iyanna McCurdy,southeast-missouri-state,2016-17,G,30,0,251,8.2,.436,.000,.377,70,7.2,8.9,8.0,4.8,1.8,0.4,21.3,18.7,0.1,0.0,0.1,.021,-6.8,-2.6,-9.4
https://www.sports-reference.com/cbb/players/kaley-leyhue-1.html,Kaley Leyhue,southeast-missouri-state,2016-17,G,15,9,235,8.3,.417,.607,.131,53,4.3,12.5,8.3,6.3,0.7,0.0,11.0,14.1,0.3,0.0,0.3,.043,-3.7,-3.1,-6.8
https://www.sports-reference.com/cbb/players/jessie-harshberger-1.html,Jessie Harshberger,southeast-missouri-state,2016-17,G-F,18,0,112,8.1,.429,.000,.074,27,10.1,13.6,11.8,7.5,2.0,1.8,26.4,15.4,0.0,0.1,0.1,.028,-8.0,-1.3,-9.4
https://www.sports-reference.com/cbb/players/hilma-mededovic-1.html,Hilma Mededovic,southeast-missouri-state,2016-17,F,12,0,91,10.2,.474,.042,.208,25,8.7,16.8,12.7,7.7,1.8,1.1,25.4,17.7,0.1,0.0,0.1,.043,-8.1,-1.1,-9.2
https://www.sports-reference.com/cbb/players/latrese-saine-1.html,LaTrese Saine,southeast-missouri-state,2016-17,C,2,0,23,18.3,.549,.000,.667,9,4.9,10.2,7.5,0.0,0.0,4.3,7.8,25.4,0.1,0.0,0.1,.094,-4.0,-1.2,-5.2
