player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/emanye-robertson-1.html,Emanye Robertson,tennessee-martin,2016-17,G,30,30,948,15.8,.514,.096,.375,340,2.0,10.0,5.9,26.5,3.4,0.3,26.4,20.8,1.3,-0.3,1.0,.044,-1.3,-1.7,-3.0
https://www.sports-reference.com/cbb/players/ashton-feldhaus-1.html,Ashton Feldhaus,tennessee-martin,2016-17,F,30,23,921,15.9,.503,.433,.173,312,2.4,18.0,10.0,10.4,1.2,0.3,12.6,20.2,1.7,-0.5,1.2,.054,0.6,-3.2,-2.5
https://www.sports-reference.com/cbb/players/kendall-spray-1.html,Kendall Spray,tennessee-martin,2016-17,G,30,24,872,19.5,.578,.713,.091,324,1.8,9.8,5.7,6.9,2.0,0.2,7.7,20.3,2.8,-0.6,2.2,.101,3.2,-2.6,0.6
https://www.sports-reference.com/cbb/players/ansley-eubank-1.html,Ansley Eubank,tennessee-martin,2016-17,G,30,19,695,11.3,.429,.297,.250,166,6.1,10.0,8.0,18.5,3.1,2.0,25.5,13.6,0.5,-0.2,0.3,.019,-1.6,-0.7,-2.3
https://www.sports-reference.com/cbb/players/myah-taylor-1.html,Myah Taylor,tennessee-martin,2016-17,F,29,13,679,22.8,.581,.568,.301,311,4.9,13.5,9.1,7.2,1.6,1.4,11.4,24.8,2.6,-0.4,2.2,.130,3.9,-3.3,0.6
https://www.sports-reference.com/cbb/players/janekia-mason-1.html,Janekia Mason,tennessee-martin,2016-17,F,30,24,625,23.1,.567,.058,.253,287,10.6,19.9,15.1,15.7,1.3,1.0,17.1,23.8,2.2,-0.2,1.9,.124,1.5,-2.8,-1.2
https://www.sports-reference.com/cbb/players/breanna-boggs-1.html,Breanna Boggs,tennessee-martin,2016-17,F,30,4,341,7.2,.403,.036,.253,86,7.6,17.3,12.4,9.7,1.8,3.7,26.8,18.2,-0.2,-0.1,-0.3,-0.032,-6.1,-1.3,-7.4
https://www.sports-reference.com/cbb/players/emily-eubank-1.html,Emily Eubank,tennessee-martin,2016-17,G,23,1,269,6.7,.346,.070,.561,73,10.1,8.4,9.3,17.8,2.0,1.6,26.5,17.9,0.0,-0.2,-0.2,-0.032,-4.2,-2.4,-6.6
https://www.sports-reference.com/cbb/players/jessy-ward-1.html,Jessy Ward,tennessee-martin,2016-17,G,11,6,233,18.9,.606,.671,.129,81,1.0,7.0,3.9,14.6,0.9,0.0,8.6,17.1,0.8,-0.2,0.6,.098,2.1,-2.8,-0.6
https://www.sports-reference.com/cbb/players/shy-copney-1.html,Shy Copney,tennessee-martin,2016-17,G-F,13,4,181,11.5,.428,.413,.079,61,8.5,23.0,15.5,14.2,3.0,0.0,23.4,23.1,0.0,0.0,0.0,.004,-4.3,-2.1,-6.3
https://www.sports-reference.com/cbb/players/lindsay-chrise-1.html,Lindsay Chrise,tennessee-martin,2016-17,F,23,2,153,8.7,.396,.100,.200,31,7.7,9.9,8.8,6.9,1.4,4.8,15.4,12.4,0.1,-0.1,0.0,-0.001,-2.9,-1.4,-4.2
https://www.sports-reference.com/cbb/players/teddy-vincent-1.html,Teddy Vincent,tennessee-martin,2016-17,G,22,0,117,2.0,.429,.800,.000,28,2.0,7.5,4.7,6.3,0.9,0.9,27.1,20.1,-0.1,-0.1,-0.3,-0.089,-5.8,-4.6,-10.5
https://www.sports-reference.com/cbb/players/tanaisha-hill-1.html,Ta'Naisha Hill,tennessee-martin,2016-17,G,5,0,41,-2.0,.469,.556,.889,12,8.7,3.1,6.0,4.3,4.0,0.0,48.4,29.6,-0.2,0.0,-0.2,-0.183,-7.6,-4.5,-12.1
