player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/yaktavia-hickson-1.html,Yaktavia Hickson,tennessee-tech,2016-17,G,30,29,30.2,5.9,13.5,.435,1.3,4.1,.323,4.5,9.4,.484,.484,3.8,4.5,.846,1.2,2.8,4.0,1.6,1.0,0.3,3.1,3.3,16.9
https://www.sports-reference.com/cbb/players/treyvonna-brooks-1.html,Treyvonna Brooks,tennessee-tech,2016-17,F,30,30,30.3,4.7,9.5,.490,0.4,1.3,.333,4.2,8.2,.514,.512,1.3,1.9,.672,2.4,3.9,6.3,1.9,1.2,1.2,2.0,3.2,11.1
https://www.sports-reference.com/cbb/players/hannah-goolsby-1.html,Hannah Goolsby,tennessee-tech,2016-17,G,30,27,31.2,3.1,9.7,.315,1.6,4.8,.331,1.5,4.9,.299,.397,1.3,1.7,.750,0.8,3.6,4.5,2.1,0.8,0.3,2.0,2.1,9.0
https://www.sports-reference.com/cbb/players/akia-harris-1.html,A'Kia Harris,tennessee-tech,2016-17,C,30,29,30.1,2.7,8.5,.320,0.6,2.2,.277,2.1,6.4,.335,.355,2.0,2.9,.698,1.0,2.2,3.2,4.0,1.4,0.0,3.1,2.0,8.1
https://www.sports-reference.com/cbb/players/asia-harper-1.html,Asia Harper,tennessee-tech,2016-17,F,30,14,24.4,2.1,4.4,.485,0.0,0.0,.000,2.1,4.4,.489,.485,1.0,1.6,.592,1.6,2.1,3.7,1.1,0.3,0.2,1.7,2.1,5.2
https://www.sports-reference.com/cbb/players/lindsey-jennings-1.html,Lindsey Jennings,tennessee-tech,2016-17,G,30,16,26.2,1.7,4.9,.347,0.2,0.9,.269,1.5,4.0,.364,.371,1.4,2.2,.646,1.5,2.6,4.1,2.2,1.0,0.2,2.5,2.7,5.0
https://www.sports-reference.com/cbb/players/anacia-wilkinson-1.html,Anacia Wilkinson,tennessee-tech,2016-17,F,28,4,12.4,1.8,3.8,.462,0.0,0.1,.000,1.8,3.7,.471,.462,0.4,0.8,.524,1.4,2.2,3.6,0.6,0.3,1.1,1.0,1.6,3.9
https://www.sports-reference.com/cbb/players/kandace-newry-1.html,Kandace Newry,tennessee-tech,2016-17,G,28,1,14.4,0.9,3.1,.284,0.4,1.3,.286,0.5,1.9,.283,.341,0.1,0.3,.333,0.8,1.3,2.1,1.1,0.4,0.3,1.0,1.6,2.3
https://www.sports-reference.com/cbb/players/brittany-cooper-1.html,Brittany Cooper,tennessee-tech,2016-17,F,14,0,5.9,0.7,1.9,.385,0.0,0.0,,0.7,1.9,.385,.385,0.1,0.3,.500,0.4,0.6,0.9,0.1,0.1,0.0,0.4,1.4,1.6
https://www.sports-reference.com/cbb/players/makenzie-iles-1.html,Makenzie Iles,tennessee-tech,2016-17,G,14,0,3.5,0.1,0.6,.250,0.0,0.4,.000,0.1,0.2,.667,.250,0.0,0.0,,0.0,0.1,0.1,0.3,0.1,0.0,0.4,0.3,0.3
