player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/dionna-white-1.html,Dionna White,georgetown,2017-18,G,32,31,35.6,6.9,17.7,.393,1.4,4.8,.303,5.5,12.9,.426,.434,3.3,4.2,.805,2.3,4.3,6.5,3.1,2.8,0.6,3.1,2.6,18.7
https://www.sports-reference.com/cbb/players/cynthia-petke-1.html,Cynthia Petke,georgetown,2017-18,F,32,32,36.0,5.6,12.9,.433,0.8,2.7,.279,4.8,10.2,.474,.462,2.4,3.6,.667,3.6,6.6,10.2,1.3,1.6,0.3,1.6,1.9,14.3
https://www.sports-reference.com/cbb/players/mikayla-venson-1.html,Mikayla Venson,georgetown,2017-18,G,30,30,35.1,4.4,10.2,.433,1.7,4.4,.383,2.7,5.8,.471,.516,2.6,3.3,.780,0.3,1.8,2.0,2.8,0.8,0.1,2.1,2.5,13.2
https://www.sports-reference.com/cbb/players/morgan-smith-2.html,Morgan Smith,georgetown,2017-18,F,32,4,22.9,2.0,5.5,.360,0.1,0.7,.095,1.9,4.8,.396,.366,1.2,2.0,.569,1.9,1.7,3.6,0.5,0.8,0.2,0.9,1.9,5.2
https://www.sports-reference.com/cbb/players/yazmine-belk-1.html,Yazmine Belk,georgetown,2017-18,C,32,31,22.4,2.1,5.3,.391,0.0,0.0,.000,2.1,5.3,.393,.391,0.6,0.8,.760,2.6,3.6,6.2,0.6,0.9,1.6,1.2,2.3,4.7
https://www.sports-reference.com/cbb/players/didi-burton-1.html,DiDi Burton,georgetown,2017-18,G,32,30,30.1,1.8,5.7,.319,0.3,1.3,.200,1.6,4.4,.352,.341,0.4,0.9,.433,0.8,1.9,2.7,4.1,1.8,0.0,1.4,2.4,4.3
https://www.sports-reference.com/cbb/players/tatiana-thompson-1.html,Tatiana Thompson,georgetown,2017-18,F,32,1,15.3,1.6,5.1,.309,0.4,1.6,.255,1.2,3.5,.333,.349,0.6,1.0,.594,0.7,1.3,1.9,0.3,0.3,0.0,0.9,1.3,4.1
https://www.sports-reference.com/cbb/players/marvellous-osagie-erese-1.html,Marvellous Osagie-Erese,georgetown,2017-18,G,10,0,4.9,0.2,1.1,.182,0.0,0.3,.000,0.2,0.8,.250,.182,0.6,0.8,.750,0.1,0.7,0.8,0.2,0.3,0.0,0.4,1.1,1.0
https://www.sports-reference.com/cbb/players/breonna-mayfield-1.html,Breonna Mayfield,georgetown,2017-18,C,15,1,4.5,0.3,1.1,.250,0.0,0.0,,0.3,1.1,.250,.250,0.1,0.3,.500,0.3,0.7,0.9,0.0,0.0,0.3,0.3,0.5,0.7
https://www.sports-reference.com/cbb/players/lexi-kimball-1.html,Lexi Kimball,georgetown,2017-18,G,8,0,3.0,0.0,1.0,.000,0.0,0.4,.000,0.0,0.6,.000,.000,0.3,0.3,1.000,0.0,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.3
https://www.sports-reference.com/cbb/players/sari-cureton-1.html,Sari Cureton,georgetown,2017-18,F,5,0,2.0,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
