player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/tyler-phelion-1.html,Tyler Phelion,jacksonville-state,2017-18,F,31,11,20.8,3.5,7.6,.451,0.4,1.1,.314,3.1,6.5,.475,.475,1.9,2.7,.714,2.0,3.3,5.3,0.8,0.8,1.7,1.9,1.9,9.2
https://www.sports-reference.com/cbb/players/taylor-hawks-1.html,Taylor Hawks,jacksonville-state,2017-18,G,31,23,21.2,2.5,7.1,.361,1.2,3.2,.374,1.4,3.9,.350,.445,2.0,2.5,.797,0.4,2.0,2.4,2.8,0.9,0.1,2.0,1.3,8.3
https://www.sports-reference.com/cbb/players/rayven-pearson-1.html,Rayven Pearson,jacksonville-state,2017-18,F,31,20,21.1,3.2,7.4,.426,0.0,0.1,.000,3.2,7.4,.430,.426,1.3,2.2,.582,2.9,5.4,8.3,1.2,0.7,1.1,1.8,2.0,7.6
https://www.sports-reference.com/cbb/players/gretchen-morrison-1.html,Gretchen Morrison,jacksonville-state,2017-18,G,31,31,24.5,2.0,5.9,.337,1.8,5.1,.363,0.2,0.9,.185,.492,0.5,0.8,.654,0.2,1.3,1.5,0.6,0.5,0.1,0.8,1.0,6.4
https://www.sports-reference.com/cbb/players/chloe-long-1.html,Chloe Long,jacksonville-state,2017-18,F,31,1,17.5,2.0,4.5,.450,0.0,0.1,.000,2.0,4.5,.457,.450,1.0,2.3,.437,2.0,3.6,5.6,0.9,0.4,0.8,1.5,2.1,5.1
https://www.sports-reference.com/cbb/players/kiana-johnson-2.html,Kiana Johnson,jacksonville-state,2017-18,G,31,23,19.2,2.0,5.4,.373,0.4,1.5,.277,1.6,3.8,.412,.413,0.6,1.3,.475,0.7,1.9,2.6,0.8,0.5,0.2,0.9,1.9,5.0
https://www.sports-reference.com/cbb/players/tasha-magruder-1.html,Tasha Magruder,jacksonville-state,2017-18,F,31,30,21.2,2.1,4.5,.457,0.0,0.0,,2.1,4.5,.457,.457,0.2,1.2,.189,2.0,3.2,5.2,1.7,0.8,0.9,1.5,2.1,4.4
https://www.sports-reference.com/cbb/players/morgan-towells-1.html,Morgan Towells,jacksonville-state,2017-18,G,29,0,14.4,1.3,4.6,.295,0.6,2.1,.274,0.8,2.4,.314,.360,0.9,1.2,.750,0.5,0.8,1.3,0.6,0.5,0.1,0.7,1.1,4.2
https://www.sports-reference.com/cbb/players/kiandria-patterson-1.html,Kiandria Patterson,jacksonville-state,2017-18,G,30,8,14.5,1.4,4.8,.283,0.7,2.6,.256,0.7,2.2,.313,.352,0.4,0.5,.800,0.4,0.6,0.9,0.8,0.2,0.1,1.0,1.0,3.8
https://www.sports-reference.com/cbb/players/brianna-perry-1.html,Brianna Perry,jacksonville-state,2017-18,G,23,8,8.8,1.2,3.7,.314,0.3,1.4,.219,0.9,2.3,.370,.355,0.7,0.9,.800,0.2,0.7,0.9,1.0,0.5,0.0,1.2,0.8,3.3
https://www.sports-reference.com/cbb/players/leah-strain-1.html,Leah Strain,jacksonville-state,2017-18,G,30,0,13.1,0.9,3.3,.280,0.4,1.6,.224,0.6,1.7,.333,.335,1.0,1.5,.644,0.3,1.1,1.4,1.3,0.3,0.1,1.5,1.2,3.2
https://www.sports-reference.com/cbb/players/mckenna-lawrence-1.html,McKenna Lawrence,jacksonville-state,2017-18,G,17,0,7.2,0.8,2.2,.342,0.5,1.7,.310,0.2,0.5,.444,.461,0.2,0.4,.667,0.2,0.5,0.8,0.3,0.2,0.0,0.5,0.5,2.3
https://www.sports-reference.com/cbb/players/jayla-walker-1.html,Jayla Walker,jacksonville-state,2017-18,G,18,0,7.8,0.7,2.4,.273,0.3,1.4,.200,0.4,1.1,.368,.330,0.2,0.3,.800,0.4,1.2,1.6,0.6,0.4,0.3,0.3,0.6,1.8
