player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/abby-oconnor-1.html,Abby O'Connor,loyola-il,2017-18,G-F,30,30,31.7,3.9,10.0,.390,0.6,2.0,.288,3.3,8.0,.415,.418,2.2,2.5,.867,1.2,4.4,5.6,1.4,1.0,1.2,2.4,2.2,10.5
https://www.sports-reference.com/cbb/players/jessica-cerda-1.html,Jessica Cerda,loyola-il,2017-18,G,29,23,25.5,3.5,10.0,.352,2.4,6.8,.359,1.1,3.2,.337,.474,0.6,0.8,.773,0.1,2.1,2.2,1.4,0.8,0.2,1.7,1.2,10.1
https://www.sports-reference.com/cbb/players/kailyn-strawbridge-1.html,Kailyn Strawbridge,loyola-il,2017-18,G,26,26,30.8,2.9,8.5,.339,1.0,4.1,.234,1.9,4.4,.439,.396,1.3,1.6,.810,0.7,2.2,2.8,2.7,0.7,0.0,3.2,2.0,8.0
https://www.sports-reference.com/cbb/players/ellie-rice-1.html,Ellie Rice,loyola-il,2017-18,G,26,7,25.6,2.6,7.4,.349,1.1,3.0,.354,1.5,4.3,.345,.422,1.2,1.5,.750,0.5,3.1,3.7,1.2,0.6,0.2,2.1,1.9,7.4
https://www.sports-reference.com/cbb/players/katie-salmon-1.html,Katie Salmon,loyola-il,2017-18,G-F,30,25,22.7,2.8,6.0,.475,0.3,1.0,.345,2.5,5.0,.500,.503,0.8,1.0,.767,0.8,3.2,4.0,0.7,0.5,0.3,1.5,1.4,6.8
https://www.sports-reference.com/cbb/players/tiara-wallace-1.html,Tiara Wallace,loyola-il,2017-18,G,30,14,23.6,1.7,4.8,.359,0.0,0.5,.071,1.7,4.4,.389,.362,1.4,2.4,.583,0.4,3.3,3.7,2.1,1.3,0.4,2.3,1.6,4.9
https://www.sports-reference.com/cbb/players/brandi-segars-1.html,Brandi Segars,loyola-il,2017-18,G-F,24,0,8.8,1.3,3.2,.421,0.0,0.2,.000,1.3,3.0,.451,.421,0.5,0.9,.500,0.5,0.9,1.5,0.3,0.2,0.0,1.0,1.7,3.1
https://www.sports-reference.com/cbb/players/kat-nolan-1.html,Kat Nolan,loyola-il,2017-18,F-C,28,5,15.7,1.0,3.0,.349,0.0,0.5,.077,1.0,2.5,.400,.355,0.8,1.0,.821,1.4,2.3,3.7,0.6,0.3,0.6,0.7,2.3,2.9
https://www.sports-reference.com/cbb/players/alexis-meyer-1.html,Alexis Meyer,loyola-il,2017-18,G-F,28,5,11.6,0.7,1.5,.463,0.0,0.0,,0.7,1.5,.463,.463,0.4,0.7,.579,0.7,1.3,1.9,0.4,0.2,0.0,0.8,0.7,1.8
https://www.sports-reference.com/cbb/players/lee-williams-4.html,Lee Williams,loyola-il,2017-18,G-F,10,1,6.8,0.3,1.3,.231,0.0,0.0,,0.3,1.3,.231,.231,0.5,0.5,1.000,0.5,0.9,1.4,0.0,0.2,0.0,0.2,0.3,1.1
https://www.sports-reference.com/cbb/players/lauren-segars-1.html,Lauren Segars,loyola-il,2017-18,G,24,14,16.1,0.4,2.2,.173,0.0,0.4,.111,0.3,1.8,.186,.183,0.2,0.5,.455,0.4,1.8,2.2,0.8,0.7,0.1,1.8,0.9,1.0
https://www.sports-reference.com/cbb/players/citiana-negatu-1.html,Citiana Negatu,loyola-il,2017-18,G-F,4,0,5.8,0.3,0.8,.333,0.0,0.3,.000,0.3,0.5,.500,.333,0.0,0.5,.000,0.0,0.0,0.0,0.0,0.3,0.3,0.8,0.3,0.5
