player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/liza-fruendt-1.html,Liza Fruendt,missouri-state,2017-18,G,33,33,28.1,5.5,14.3,.386,2.1,6.6,.321,3.4,7.7,.441,.460,2.2,2.7,.789,0.7,3.3,3.9,1.8,1.0,0.1,1.7,1.4,15.3
https://www.sports-reference.com/cbb/players/alexa-willard-1.html,Alexa Willard,missouri-state,2017-18,G,33,33,25.6,4.3,9.0,.481,1.0,2.5,.386,3.4,6.5,.519,.535,1.2,1.4,.889,1.0,1.2,2.2,0.9,0.3,0.2,1.5,1.4,10.8
https://www.sports-reference.com/cbb/players/aubrey-buckley-1.html,Aubrey Buckley,missouri-state,2017-18,F,33,33,25.6,3.3,8.4,.399,0.2,1.0,.235,3.1,7.3,.421,.413,3.5,5.2,.678,2.5,3.7,6.2,0.8,1.3,0.2,1.2,2.7,10.4
https://www.sports-reference.com/cbb/players/danielle-gitzen-1.html,Danielle Gitzen,missouri-state,2017-18,G,30,29,26.8,3.2,6.5,.495,0.2,0.9,.259,3.0,5.6,.533,.513,2.2,3.1,.717,1.3,3.2,4.4,2.3,1.9,0.1,1.5,2.0,8.9
https://www.sports-reference.com/cbb/players/brice-calip-1.html,Brice Calip,missouri-state,2017-18,G,33,30,26.2,2.6,6.6,.390,0.4,1.2,.325,2.2,5.4,.404,.420,1.7,2.5,.691,1.3,2.9,4.2,2.5,1.1,0.3,1.7,1.8,7.2
https://www.sports-reference.com/cbb/players/audrey-holt-1.html,Audrey Holt,missouri-state,2017-18,F,7,6,17.6,1.4,3.0,.476,0.1,0.3,.500,1.3,2.7,.474,.500,0.7,0.7,1.000,1.4,1.1,2.6,1.6,0.3,0.3,1.6,1.4,3.7
https://www.sports-reference.com/cbb/players/abby-hipp-1.html,Abby Hipp,missouri-state,2017-18,F,33,0,14.0,1.5,2.8,.538,0.1,0.3,.273,1.4,2.4,.575,.555,0.5,0.8,.640,0.9,1.6,2.5,1.1,0.4,0.2,0.8,1.2,3.5
https://www.sports-reference.com/cbb/players/emily-gartner-1.html,Emily Gartner,missouri-state,2017-18,C,32,0,9.8,1.4,3.2,.447,0.0,0.1,.000,1.4,3.2,.455,.447,0.4,0.9,.414,0.8,2.3,3.2,0.6,0.3,0.5,0.8,0.8,3.3
https://www.sports-reference.com/cbb/players/elle-ruffridge-1.html,Elle Ruffridge,missouri-state,2017-18,G,33,0,13.5,1.0,3.7,.262,0.6,2.2,.257,0.4,1.5,.271,.340,0.6,0.7,.875,0.8,1.0,1.8,0.9,0.3,0.0,0.9,1.0,3.2
https://www.sports-reference.com/cbb/players/shameka-ealy-1.html,Shameka Ealy,missouri-state,2017-18,F,33,0,12.4,1.2,4.0,.311,0.5,1.9,.270,0.7,2.1,.348,.375,0.2,0.2,.875,0.9,2.2,3.1,0.4,0.4,0.6,0.8,1.7,3.2
https://www.sports-reference.com/cbb/players/lee-ann-polowy-1.html,Lee Ann Polowy,missouri-state,2017-18,G,33,1,14.2,0.9,2.6,.337,0.8,2.3,.333,0.1,0.3,.364,.483,0.2,0.3,.700,0.6,1.3,1.9,0.5,0.4,0.0,0.7,1.1,2.7
https://www.sports-reference.com/cbb/players/bri-ellis-1.html,Bri Ellis,missouri-state,2017-18,G,12,0,2.1,0.3,0.6,.429,0.3,0.5,.500,0.0,0.1,.000,.643,0.3,0.3,.750,0.1,0.4,0.5,0.0,0.2,0.0,0.1,0.1,1.0
https://www.sports-reference.com/cbb/players/sydney-schultz-1.html,Sydney Schultz,missouri-state,2017-18,F,21,0,4.4,0.2,0.8,.250,0.0,0.0,,0.2,0.8,.250,.250,0.1,0.1,1.000,0.1,0.5,0.6,0.1,0.0,0.0,0.2,0.2,0.5
