player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/amber-vidal-1.html,Amber Vidal,nebraska-omaha,2017-18,G,28,23,898,18.0,.513,.298,.258,376,0.9,8.2,4.6,26.5,1.6,0.3,18.0,24.9,2.2,-0.3,1.9,.085,0.3,-2.7,-2.4
https://www.sports-reference.com/cbb/players/jess-walter-1.html,Jess Walter,nebraska-omaha,2017-18,G,26,26,782,11.0,.435,.450,.316,267,2.8,12.4,7.7,14.9,1.8,0.6,20.1,24.5,0.2,-0.1,0.1,.006,-4.5,-3.0,-7.5
https://www.sports-reference.com/cbb/players/courtney-vaccher-1.html,Courtney Vaccher,nebraska-omaha,2017-18,C,28,28,738,25.2,.655,.000,.449,244,11.6,22.9,17.4,7.6,1.4,3.7,10.7,14.4,3.1,0.3,3.4,.186,2.8,-0.5,2.4
https://www.sports-reference.com/cbb/players/claire-killian-1.html,Claire Killian,nebraska-omaha,2017-18,G,28,16,662,15.0,.498,.442,.214,223,5.1,10.3,7.7,10.8,3.4,1.0,20.7,22.4,0.7,0.2,0.9,.053,-3.3,-0.9,-4.2
https://www.sports-reference.com/cbb/players/ellie-brecht-1.html,Ellie Brecht,nebraska-omaha,2017-18,G,18,18,589,16.1,.536,.743,.076,173,3.8,13.5,8.7,10.2,2.0,0.4,13.6,17.3,1.3,0.0,1.3,.085,-0.3,-1.6,-1.9
https://www.sports-reference.com/cbb/players/kalen-phillips-1.html,Kalen Phillips,nebraska-omaha,2017-18,G,28,12,480,10.0,.431,.337,.288,117,7.9,11.3,9.6,12.8,2.9,0.9,23.8,16.0,0.2,0.1,0.3,.023,-4.8,-0.9,-5.7
https://www.sports-reference.com/cbb/players/alicia-mountain-1.html,Alicia Mountain,nebraska-omaha,2017-18,G,25,10,424,8.6,.407,.247,.233,85,7.1,8.6,7.9,14.9,2.5,0.8,27.0,13.0,0.1,0.0,0.0,.005,-5.8,-1.2,-7.0
https://www.sports-reference.com/cbb/players/emily-petersen-1.html,Emily Petersen,nebraska-omaha,2017-18,G,27,0,277,6.5,.390,.879,.037,79,0.9,8.2,4.6,10.5,1.1,2.4,16.2,23.2,-0.1,-0.1,-0.2,-0.034,-3.1,-2.5,-5.6
https://www.sports-reference.com/cbb/players/jay-bridgeman-1.html,Jay Bridgeman,nebraska-omaha,2017-18,F,12,2,200,24.0,.550,.288,.492,77,9.1,22.1,15.7,16.3,2.6,4.0,18.9,22.2,0.5,0.1,0.6,.127,2.1,1.2,3.3
https://www.sports-reference.com/cbb/players/romekia-wallace-1.html,Romekia Wallace,nebraska-omaha,2017-18,F,27,0,200,11.2,.460,.000,.545,55,12.4,29.0,20.8,5.1,2.1,2.3,31.9,20.2,-0.1,0.2,0.0,.008,-7.4,-2.0,-9.3
https://www.sports-reference.com/cbb/players/sara-echelberry-1.html,Sara Echelberry,nebraska-omaha,2017-18,G-F,26,0,191,2.6,.364,.175,.350,40,8.9,22.5,15.8,8.2,0.6,3.0,31.0,17.6,-0.3,0.0,-0.3,-0.053,-10.9,-1.1,-12.0
https://www.sports-reference.com/cbb/players/emily-dewey-1.html,Emily Dewey,nebraska-omaha,2017-18,F,15,5,159,8.7,.424,.073,.439,46,10.6,19.9,15.3,10.6,1.5,0.0,27.7,21.4,-0.1,0.0,-0.1,-0.022,-6.0,-2.7,-8.7
