player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/indiya-benjamin-1.html,Indiya Benjamin,youngstown-state,2017-18,G,32,32,1053,13.7,.470,.475,.146,376,2.1,8.2,5.3,36.9,1.3,0.5,23.3,21.9,1.7,0.4,2.0,.077,-0.4,-1.9,-2.3
https://www.sports-reference.com/cbb/players/nikki-arbanas-1.html,Nikki Arbanas,youngstown-state,2017-18,G,31,31,982,12.0,.536,.744,.139,239,2.4,5.3,3.9,10.1,1.7,0.1,15.0,15.0,1.7,0.3,2.0,.080,0.2,-0.1,0.1
https://www.sports-reference.com/cbb/players/chelsea-olson-1.html,Chelsea Olson,youngstown-state,2017-18,G,32,21,825,16.3,.521,.598,.276,251,4.8,16.9,11.1,14.3,1.4,3.2,18.0,18.8,1.5,0.7,2.3,.110,0.5,0.8,1.3
https://www.sports-reference.com/cbb/players/sarah-cash-1.html,Sarah Cash,youngstown-state,2017-18,F,31,22,663,30.5,.595,.036,.456,330,11.4,16.4,14.0,12.9,2.0,4.1,13.0,27.5,3.2,0.7,3.9,.238,4.9,1.2,6.1
https://www.sports-reference.com/cbb/players/mckenah-peters-1.html,McKenah Peters,youngstown-state,2017-18,G,32,3,479,13.5,.529,.674,.311,150,4.9,16.4,10.9,7.2,1.4,0.0,19.3,21.1,0.7,0.3,1.0,.086,-0.8,-0.7,-1.5
https://www.sports-reference.com/cbb/players/mary-dunn-2.html,Mary Dunn,youngstown-state,2017-18,F,32,12,418,29.0,.556,.029,.335,192,11.8,26.3,19.4,10.4,1.2,7.0,11.7,28.1,1.5,0.6,2.1,.205,0.1,0.7,0.8
https://www.sports-reference.com/cbb/players/kelley-wright-1.html,Kelley Wright,youngstown-state,2017-18,G,29,3,406,10.0,.390,.629,.258,93,7.1,15.6,11.5,13.2,2.8,1.6,18.7,16.0,0.2,0.5,0.6,.061,-3.8,1.5,-2.3
https://www.sports-reference.com/cbb/players/natalie-myers-2.html,Natalie Myers,youngstown-state,2017-18,F,31,7,387,10.4,.482,.760,.107,72,3.6,20.6,12.4,5.7,1.1,1.7,14.2,12.5,0.3,0.3,0.7,.072,-1.9,0.4,-1.6
https://www.sports-reference.com/cbb/players/anne-secrest-1.html,Anne Secrest,youngstown-state,2017-18,F,32,17,342,9.6,.478,.014,.290,80,9.3,23.7,16.8,8.0,1.9,1.9,30.8,17.5,-0.1,0.4,0.4,.043,-5.8,1.3,-4.5
https://www.sports-reference.com/cbb/players/alison-smolinski-1.html,Alison Smolinski,youngstown-state,2017-18,G,16,11,281,13.8,.480,.636,.009,94,2.9,7.2,5.2,12.6,2.6,1.2,14.0,24.1,0.3,0.2,0.5,.074,-1.4,-0.8,-2.2
https://www.sports-reference.com/cbb/players/melinda-trimmer-1.html,Melinda Trimmer,youngstown-state,2017-18,G,31,0,225,10.1,.496,.455,.500,59,0.6,12.9,7.0,17.5,1.6,0.5,27.8,17.7,0.2,0.1,0.3,.053,-4.2,-0.9,-5.1
https://www.sports-reference.com/cbb/players/morgan-brunner-1.html,Morgan Brunner,youngstown-state,2017-18,G,27,0,197,9.7,.458,.815,.123,58,2.8,13.5,8.4,9.9,1.8,0.0,19.8,22.9,0.0,0.1,0.2,.033,-3.0,-1.0,-4.0
https://www.sports-reference.com/cbb/players/morgan-olson-1.html,Morgan Olson,youngstown-state,2017-18,F,23,1,86,5.6,.531,.125,.250,19,8.0,23.5,16.1,4.8,0.7,0.0,35.8,17.1,0.0,0.1,0.1,.023,-10.0,-1.2,-11.2
https://www.sports-reference.com/cbb/players/josie-fisher-1.html,Josie Fisher,youngstown-state,2017-18,G,14,0,77,9.1,.377,.143,.286,14,1.8,18.1,10.3,36.0,4.7,0.0,53.1,11.6,0.0,0.1,0.1,.048,-14.8,1.7,-13.1
https://www.sports-reference.com/cbb/players/alexus-burkhart-1.html,Alexus Burkhart,youngstown-state,2017-18,G,8,0,30,9.1,.556,.778,.000,7,0.0,21.1,11.0,0.0,2.0,0.0,25.0,21.1,0.0,0.0,0.0,.027,-14.7,-1.8,-16.5
