player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/darby-maggard-1.html,Darby Maggard,belmont,2018-19,G,33,33,34.2,5.8,13.4,.433,3.4,8.3,.411,2.4,5.1,.470,.561,2.0,2.1,.929,0.1,2.0,2.1,4.2,0.5,0.0,1.5,0.5,17.0
https://www.sports-reference.com/cbb/players/ellie-harmeyer-1.html,Ellie Harmeyer,belmont,2018-19,F,33,33,29.4,5.3,11.3,.473,1.4,4.4,.326,3.9,6.9,.566,.536,4.4,5.5,.800,2.8,6.1,8.9,1.0,0.7,0.3,2.0,2.4,16.5
https://www.sports-reference.com/cbb/players/maddie-wright-1.html,Maddie Wright,belmont,2018-19,F,33,32,25.2,3.8,7.6,.496,0.8,2.5,.309,3.0,5.2,.585,.546,1.1,1.6,.692,2.2,3.9,6.1,1.2,0.6,0.4,1.8,2.5,9.4
https://www.sports-reference.com/cbb/players/jenny-roy-1.html,Jenny Roy,belmont,2018-19,G,33,33,33.5,3.4,7.1,.485,0.9,2.6,.353,2.5,4.5,.561,.549,1.4,3.2,.425,2.2,5.5,7.7,5.7,1.4,0.4,2.1,2.5,9.1
https://www.sports-reference.com/cbb/players/maura-muensterman-1.html,Maura Muensterman,belmont,2018-19,G,33,31,24.3,3.2,7.7,.423,2.1,5.5,.387,1.1,2.2,.514,.561,0.3,0.5,.647,0.9,2.1,3.1,1.1,0.5,0.2,1.1,1.7,8.9
https://www.sports-reference.com/cbb/players/conley-chinn-1.html,Conley Chinn,belmont,2018-19,F,33,0,14.6,2.0,4.6,.425,0.6,2.1,.294,1.4,2.6,.529,.490,0.4,0.8,.500,0.8,2.2,2.9,0.5,0.5,0.2,0.6,1.9,4.9
https://www.sports-reference.com/cbb/players/jamilyn-kinney-1.html,Jamilyn Kinney,belmont,2018-19,G,33,0,15.6,1.2,3.1,.379,0.8,2.5,.321,0.4,0.7,.591,.505,0.7,0.8,.846,0.0,1.2,1.3,1.3,0.5,0.1,0.7,0.9,3.8
https://www.sports-reference.com/cbb/players/allison-luly-1.html,Allison Luly,belmont,2018-19,F,15,0,10.1,1.1,1.5,.696,0.0,0.1,.000,1.1,1.5,.727,.696,0.6,1.1,.529,1.2,1.9,3.1,0.1,0.1,0.3,0.6,1.9,2.7
https://www.sports-reference.com/cbb/players/macie-culbertson-1.html,Macie Culbertson,belmont,2018-19,G,17,0,10.5,0.9,2.1,.429,0.2,0.9,.200,0.7,1.2,.600,.471,0.5,0.8,.643,0.5,1.9,2.4,0.8,0.5,0.4,0.6,0.4,2.5
https://www.sports-reference.com/cbb/players/maddie-cook-1.html,Maddie Cook,belmont,2018-19,G-F,31,1,11.1,0.9,2.5,.368,0.1,0.3,.375,0.8,2.2,.368,.388,0.5,0.8,.583,0.3,1.4,1.6,0.6,0.4,0.2,1.3,1.0,2.4
https://www.sports-reference.com/cbb/players/grace-smith-1.html,Grace Smith,belmont,2018-19,G,13,0,3.8,0.2,0.7,.333,0.2,0.6,.250,0.1,0.1,1.000,.444,0.0,0.0,,0.0,0.5,0.5,0.2,0.3,0.1,0.2,0.4,0.6
https://www.sports-reference.com/cbb/players/hannah-harmeyer-1.html,Hannah Harmeyer,belmont,2018-19,G,17,1,2.6,0.1,0.5,.222,0.1,0.5,.250,0.0,0.1,.000,.333,0.2,0.4,.500,0.0,0.1,0.1,0.1,0.1,0.0,0.5,0.2,0.5
https://www.sports-reference.com/cbb/players/caitlyn-yost-1.html,Caitlyn Yost,belmont,2018-19,G,3,0,5.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
https://www.sports-reference.com/cbb/players/paris-lawson-1.html,Paris Lawson,belmont,2018-19,G,1,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
