player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/angel-golden-1.html,Angel Golden,bethune-cookman,2018-19,G,32,32,37.3,6.7,18.6,.357,3.0,9.6,.312,3.7,9.0,.406,.438,3.6,4.3,.820,0.7,2.9,3.5,1.1,1.6,0.2,1.7,1.6,19.9
https://www.sports-reference.com/cbb/players/kiana-williams-2.html,Kiana Williams,bethune-cookman,2018-19,G,12,7,30.5,4.4,11.0,.402,0.3,1.9,.174,4.1,9.1,.450,.417,2.9,4.5,.648,1.3,4.3,5.5,4.2,1.8,0.3,4.2,2.8,12.1
https://www.sports-reference.com/cbb/players/chasimmie-brown-1.html,Chasimmie Brown,bethune-cookman,2018-19,F,32,32,28.8,3.7,8.0,.459,0.0,0.0,,3.7,8.0,.459,.459,2.9,4.8,.597,2.5,6.1,8.5,0.8,0.8,1.1,3.0,3.3,10.3
https://www.sports-reference.com/cbb/players/amaya-scott-1.html,Amaya Scott,bethune-cookman,2018-19,F,32,31,32.4,3.2,8.0,.401,0.0,0.2,.000,3.2,7.9,.409,.401,2.1,3.7,.576,2.5,3.7,6.2,1.4,1.2,0.7,2.5,2.9,8.6
https://www.sports-reference.com/cbb/players/ashanti-hunt-1.html,Ashanti Hunt,bethune-cookman,2018-19,G,2,2,35.0,1.5,4.0,.375,0.0,1.0,.000,1.5,3.0,.500,.375,5.5,7.0,.786,0.0,4.5,4.5,3.5,1.5,2.0,3.5,4.0,8.5
https://www.sports-reference.com/cbb/players/camary-harris-1.html,Camary Harris,bethune-cookman,2018-19,G,31,14,19.6,1.7,4.8,.360,0.5,1.6,.340,1.2,3.2,.370,.417,1.4,1.8,.750,0.5,2.1,2.6,1.7,0.8,0.0,1.8,1.5,5.4
https://www.sports-reference.com/cbb/players/armani-walker-1.html,Armani Walker,bethune-cookman,2018-19,G,32,14,22.7,1.6,3.9,.416,0.0,0.3,.111,1.6,3.6,.440,.420,1.0,2.0,.516,0.7,2.3,3.0,2.2,1.3,0.1,2.0,2.2,4.3
https://www.sports-reference.com/cbb/players/kindell-fincher-1.html,Kindell Fincher,bethune-cookman,2018-19,G,26,2,14.0,1.1,4.1,.271,0.7,2.5,.273,0.4,1.6,.268,.355,0.5,0.8,.636,0.8,1.4,2.2,0.5,0.2,0.2,0.7,1.2,3.5
https://www.sports-reference.com/cbb/players/tania-white-1.html,Tania White,bethune-cookman,2018-19,F,32,6,15.3,1.0,3.0,.340,0.4,1.3,.317,0.6,1.8,.357,.407,0.7,1.0,.710,0.7,1.4,2.1,1.0,0.6,0.1,1.4,1.2,3.2
https://www.sports-reference.com/cbb/players/briana-hardee-1.html,Briana Hardee,bethune-cookman,2018-19,G,3,0,12.0,1.3,3.0,.444,0.0,0.0,,1.3,3.0,.444,.444,0.0,0.7,.000,1.3,1.0,2.3,0.3,0.7,0.0,0.7,1.0,2.7
https://www.sports-reference.com/cbb/players/amani-ball-1.html,Amani Ball,bethune-cookman,2018-19,F,25,18,16.7,0.9,2.3,.397,0.4,1.3,.333,0.5,1.0,.480,.491,0.3,0.6,.500,0.9,1.9,2.8,0.5,0.4,0.3,0.8,1.6,2.6
https://www.sports-reference.com/cbb/players/alyssa-jones-1.html,Alyssa Jones,bethune-cookman,2018-19,F-C,26,0,7.3,0.4,1.4,.306,0.0,0.0,,0.4,1.4,.306,.306,0.3,0.4,.900,0.5,1.2,1.8,0.1,0.2,0.4,0.3,1.5,1.2
https://www.sports-reference.com/cbb/players/jayla-powers-1.html,Jayla Powers,bethune-cookman,2018-19,C,5,0,5.0,0.0,0.4,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.0,0.4,.000,0.4,0.2,0.6,0.0,0.0,0.0,0.4,0.6,0.0
