player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/kaila-charles-1.html,Kaila Charles,maryland,2018-19,G,34,34,29.6,6.5,13.4,.486,0.0,0.4,.071,6.5,13.0,.499,.487,4.0,5.0,.805,2.7,4.0,6.7,2.3,1.3,0.7,3.1,2.6,17.0
https://www.sports-reference.com/cbb/players/taylor-mikesell-1.html,Taylor Mikesell,maryland,2018-19,G,34,34,34.7,4.7,11.1,.422,2.8,6.8,.411,1.9,4.3,.438,.548,1.3,1.5,.860,0.3,3.2,3.5,3.3,0.8,0.2,2.6,1.2,13.4
https://www.sports-reference.com/cbb/players/stephanie-jones-3.html,Stephanie Jones,maryland,2018-19,F,34,34,26.6,5.3,9.0,.590,0.0,0.1,.333,5.3,8.9,.593,.592,2.2,2.8,.771,2.6,3.5,6.0,0.9,1.1,0.7,1.3,2.7,12.8
https://www.sports-reference.com/cbb/players/shakira-austin-1.html,Shakira Austin,maryland,2018-19,C,34,21,23.5,3.2,7.4,.432,0.0,0.0,,3.2,7.4,.432,.432,2.0,4.2,.479,2.9,6.6,9.5,1.1,1.1,2.6,1.7,2.2,8.4
https://www.sports-reference.com/cbb/players/blair-watson-1.html,Blair Watson,maryland,2018-19,G,34,32,27.6,2.9,6.8,.426,1.8,4.9,.361,1.1,1.9,.594,.557,0.7,0.9,.862,0.9,3.1,4.0,2.3,1.4,0.4,1.6,2.3,8.3
https://www.sports-reference.com/cbb/players/brianna-fraser-1.html,Brianna Fraser,maryland,2018-19,F,32,2,16.0,2.9,5.9,.497,0.0,0.0,,2.9,5.9,.497,.497,1.5,2.5,.613,1.4,2.7,4.1,0.7,0.5,0.5,1.8,2.0,7.4
https://www.sports-reference.com/cbb/players/channise-lewis-1.html,Channise Lewis,maryland,2018-19,G,34,13,26.3,1.6,4.1,.384,0.4,1.6,.264,1.1,2.5,.459,.435,0.7,1.0,.676,0.2,2.1,2.4,5.4,0.8,0.1,1.9,1.3,4.2
https://www.sports-reference.com/cbb/players/sara-vujacic-1.html,Sara Vujacic,maryland,2018-19,G,31,0,11.6,1.0,2.9,.352,0.5,1.7,.315,0.5,1.2,.405,.445,0.4,0.4,1.000,0.4,0.8,1.2,0.6,0.4,0.1,0.5,1.1,3.0
https://www.sports-reference.com/cbb/players/olivia-owens-1.html,Olivia Owens,maryland,2018-19,C,16,0,4.2,0.7,1.3,.550,0.0,0.0,,0.7,1.3,.550,.550,0.1,0.3,.400,0.5,0.8,1.3,0.1,0.1,0.1,0.5,1.5,1.5
https://www.sports-reference.com/cbb/players/sarah-myers-1.html,Sarah Myers,maryland,2018-19,G,22,0,6.2,0.2,1.0,.238,0.1,0.4,.222,0.1,0.5,.250,.286,0.3,0.5,.700,0.4,0.7,1.1,0.7,0.4,0.0,0.3,0.2,0.9
