player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/yasmine-robinson-bacote-1.html,Yasmine Robinson-Bacote,pepperdine,2018-19,F,34,34,32.6,8.0,17.6,.455,0.8,2.3,.351,7.2,15.3,.470,.477,4.1,5.8,.712,2.2,5.6,7.8,1.9,1.1,0.6,2.1,2.2,20.9
https://www.sports-reference.com/cbb/players/barbara-sitanggan-1.html,Barbara Sitanggan,pepperdine,2018-19,G,34,34,32.5,2.9,8.2,.350,0.5,1.5,.308,2.4,6.7,.360,.379,4.9,5.8,.848,1.5,4.3,5.8,5.2,1.7,0.0,1.4,2.0,11.1
https://www.sports-reference.com/cbb/players/paige-fecske-1.html,Paige Fecske,pepperdine,2018-19,G,6,5,26.5,3.2,9.8,.322,1.2,4.2,.280,2.0,5.7,.353,.381,2.0,2.7,.750,0.5,1.2,1.7,1.5,0.8,0.0,2.5,1.8,9.5
https://www.sports-reference.com/cbb/players/deezha-battle-1.html,Deezha Battle,pepperdine,2018-19,G,34,9,22.5,3.4,8.7,.384,1.4,3.8,.367,2.0,5.0,.396,.463,0.4,0.6,.714,0.6,1.6,2.2,2.0,0.6,0.1,1.4,1.2,8.5
https://www.sports-reference.com/cbb/players/malia-bambrick-1.html,Malia Bambrick,pepperdine,2018-19,G,34,33,25.9,3.2,8.4,.383,1.1,2.9,.378,2.1,5.6,.386,.448,0.5,0.6,.762,0.9,2.3,3.2,1.8,0.7,0.0,1.2,1.3,8.0
https://www.sports-reference.com/cbb/players/rose-pflug-1.html,Rose Pflug,pepperdine,2018-19,G,34,3,16.8,2.4,6.4,.369,1.2,2.9,.412,1.2,3.5,.333,.461,0.5,0.8,.607,0.4,1.0,1.4,0.9,0.4,0.1,1.1,1.1,6.4
https://www.sports-reference.com/cbb/players/megan-house-1.html,Megan House,pepperdine,2018-19,C,34,21,21.4,1.9,4.2,.458,0.0,0.0,,1.9,4.2,.458,.458,0.8,1.4,.609,3.0,3.1,6.1,0.3,0.6,1.1,0.8,2.8,4.7
https://www.sports-reference.com/cbb/players/mia-satie-1.html,Mia Satie,pepperdine,2018-19,G,34,17,16.8,1.1,2.9,.360,0.1,0.3,.222,1.0,2.7,.374,.370,1.0,1.3,.791,1.6,2.6,4.2,0.5,1.0,0.1,0.9,1.7,3.2
https://www.sports-reference.com/cbb/players/monique-andriuolo-1.html,Monique Andriuolo,pepperdine,2018-19,F,32,1,7.9,1.1,3.0,.375,0.1,0.4,.286,1.0,2.6,.390,.396,0.5,0.7,.727,0.6,0.7,1.3,0.2,0.3,0.3,0.7,1.1,2.9
https://www.sports-reference.com/cbb/players/skye-lindsay-1.html,Skye Lindsay,pepperdine,2018-19,F-C,34,10,13.9,1.2,2.6,.467,0.0,0.0,,1.2,2.6,.467,.467,0.4,0.9,.517,1.5,2.0,3.5,0.3,0.4,0.6,0.7,2.5,2.9
https://www.sports-reference.com/cbb/players/keyari-sleezer-1.html,Keyari Sleezer,pepperdine,2018-19,G,15,0,6.7,0.8,2.5,.324,0.1,0.9,.154,0.7,1.6,.417,.351,0.1,0.1,.500,0.6,0.9,1.5,0.1,0.1,0.1,0.5,0.9,1.8
https://www.sports-reference.com/cbb/players/ashleen-quirke-1.html,Ashleen Quirke,pepperdine,2018-19,F,21,3,6.2,0.7,1.7,.429,0.0,0.0,,0.7,1.7,.429,.429,0.1,0.3,.333,0.3,0.9,1.1,0.1,0.1,0.2,0.9,1.5,1.5
