player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/mary-gedaka-1.html,Mary Gedaka,villanova,2018-19,F,32,32,34.1,6.2,9.4,.663,0.3,0.8,.440,5.9,8.6,.684,.682,1.7,2.7,.624,1.3,5.4,6.8,2.8,1.0,0.7,2.0,2.1,14.4
https://www.sports-reference.com/cbb/players/kelly-jekot-1.html,Kelly Jekot,villanova,2018-19,G,30,30,34.6,5.2,11.4,.458,2.3,5.7,.404,2.9,5.7,.512,.558,1.0,1.5,.682,1.1,3.5,4.6,2.5,0.6,0.6,1.6,1.5,13.8
https://www.sports-reference.com/cbb/players/adrianna-hahn-1.html,Adrianna Hahn,villanova,2018-19,G,32,30,33.2,4.2,9.8,.427,2.7,6.6,.408,1.5,3.2,.466,.564,0.8,1.1,.771,0.3,2.3,2.6,3.3,1.1,0.0,1.6,2.1,11.9
https://www.sports-reference.com/cbb/players/jannah-tucker-1.html,Jannah Tucker,villanova,2018-19,F,31,31,32.6,3.5,9.9,.359,2.7,7.5,.359,0.8,2.3,.361,.497,0.2,0.5,.500,0.6,2.4,3.0,1.6,1.0,0.5,1.2,1.7,10.0
https://www.sports-reference.com/cbb/players/emily-esposito-1.html,Emily Esposito,villanova,2018-19,G,32,2,18.1,2.1,5.5,.377,0.8,2.5,.304,1.3,3.0,.438,.446,0.2,0.3,.455,0.4,1.7,2.1,1.0,0.2,0.2,0.6,0.6,5.0
https://www.sports-reference.com/cbb/players/bridget-herlihy-1.html,Bridget Herlihy,villanova,2018-19,F,32,23,18.6,1.6,4.9,.316,0.5,2.7,.200,1.0,2.3,.452,.370,0.5,0.7,.762,0.7,3.3,4.0,2.0,0.4,1.3,1.4,2.3,4.2
https://www.sports-reference.com/cbb/players/grace-stant-1.html,Grace Stant,villanova,2018-19,F,15,10,18.3,0.9,3.2,.271,0.8,2.9,.273,0.1,0.3,.250,.396,0.3,0.5,.625,0.5,1.9,2.5,1.2,0.3,0.5,0.7,2.0,2.9
https://www.sports-reference.com/cbb/players/brianna-herlihy-1.html,Brianna Herlihy,villanova,2018-19,F,30,0,10.6,1.0,2.0,.492,0.3,0.8,.400,0.7,1.2,.556,.574,0.4,0.8,.542,0.8,2.1,2.9,0.7,0.2,0.4,0.8,1.0,2.8
https://www.sports-reference.com/cbb/players/samantha-carangi-1.html,Samantha Carangi,villanova,2018-19,G,1,0,4.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
https://www.sports-reference.com/cbb/players/raven-james-2.html,Raven James,villanova,2018-19,G,32,1,9.1,0.6,2.2,.275,0.3,1.0,.250,0.3,1.2,.297,.333,0.3,0.6,.500,0.1,0.6,0.8,0.9,0.4,0.1,0.8,1.3,1.8
https://www.sports-reference.com/cbb/players/cameron-onken-1.html,Cameron Onken,villanova,2018-19,G,28,1,8.5,0.3,1.4,.179,0.1,0.9,.160,0.1,0.5,.214,.231,0.1,0.5,.231,0.6,1.0,1.6,0.3,0.1,0.0,0.3,0.6,0.8
https://www.sports-reference.com/cbb/players/grace-lange-1.html,Grace Lange,villanova,2018-19,F,9,0,2.2,0.1,0.8,.143,0.1,0.4,.250,0.0,0.3,.000,.214,0.0,0.2,.000,0.1,0.3,0.4,0.1,0.0,0.0,0.0,0.2,0.3
