player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/theresa-onwuka-1.html,Theresa Onwuka,buffalo,2019-20,G,31,31,1087,24.3,.543,.112,.364,445,9.9,13.2,11.6,10.9,3.8,1.0,14.5,20.6,3.9,1.4,5.3,.194,3.3,2.4,5.6
https://www.sports-reference.com/cbb/players/dyaisha-fair-1.html,Dyaisha Fair,buffalo,2019-20,G,30,26,1082,25.7,.468,.378,.272,640,6.0,12.3,9.1,23.4,4.1,0.3,14.9,34.9,3.9,1.4,5.2,.193,5.3,1.6,6.9
https://www.sports-reference.com/cbb/players/hanna-hall-1.html,Hanna Hall,buffalo,2019-20,G,31,30,997,10.0,.444,.667,.236,264,2.5,9.0,5.7,17.4,1.6,0.2,21.3,15.9,1.2,0.5,1.7,.067,-1.8,0.0,-1.8
https://www.sports-reference.com/cbb/players/marissa-hamilton-1.html,Marissa Hamilton,buffalo,2019-20,F,31,20,702,9.3,.418,.643,.214,150,4.8,14.1,9.4,9.0,1.0,2.5,19.8,13.8,0.5,0.5,1.0,.055,-1.2,0.8,-0.3
https://www.sports-reference.com/cbb/players/adebola-adeyeye-1.html,Adebola Adeyeye,buffalo,2019-20,F,31,23,612,18.1,.557,.007,.350,191,17.3,19.9,18.6,4.2,1.3,2.4,18.9,15.0,1.6,0.7,2.3,.150,-0.6,0.1,-0.5
https://www.sports-reference.com/cbb/players/loren-christie-1.html,Loren Christie,buffalo,2019-20,F,27,8,464,4.5,.375,.622,.214,83,5.0,17.9,11.5,4.5,0.7,1.8,24.5,14.1,-0.2,0.4,0.2,.015,-4.9,0.0,-4.9
https://www.sports-reference.com/cbb/players/keowa-walters-1.html,Keowa Walters,buffalo,2019-20,F,30,1,420,21.6,.606,.009,.310,152,16.4,21.7,19.1,3.5,1.3,3.2,21.3,17.9,1.3,0.5,1.8,.169,0.5,0.1,0.6
https://www.sports-reference.com/cbb/players/elea-gaba-1.html,Elea Gaba,buffalo,2019-20,C,26,12,357,15.1,.530,.009,.269,120,9.1,12.1,10.6,4.7,1.2,2.9,18.1,19.0,0.8,0.3,1.0,.115,-2.5,0.4,-2.1
https://www.sports-reference.com/cbb/players/jessika-schiffer-1.html,Jessika Schiffer,buffalo,2019-20,G,26,4,316,6.5,.388,.820,.040,78,1.8,7.4,4.6,11.6,2.4,0.0,20.3,18.5,0.0,0.2,0.2,.025,-2.9,0.7,-2.3
https://www.sports-reference.com/cbb/players/aireal-dickson-1.html,Aireal Dickson,buffalo,2019-20,G,19,0,172,-1.8,.270,.216,.108,24,3.9,5.2,4.5,6.9,3.4,0.6,35.1,15.9,-0.4,0.1,-0.3,-0.070,-9.4,1.3,-8.1
https://www.sports-reference.com/cbb/players/oceane-kounkou-1.html,Oceane Kounkou,buffalo,2019-20,G,9,0,26,-8.4,.000,.700,.000,0,0.0,0.0,0.0,0.0,6.2,4.0,0.0,17.6,-0.1,0.0,-0.1,-0.162,-12.3,2.2,-10.1
https://www.sports-reference.com/cbb/players/zena-elias-1.html,Zena Elias,buffalo,2019-20,C,6,0,9,7.3,.606,.000,.500,3,0.0,61.6,30.9,0.0,0.0,0.0,28.8,17.6,0.0,0.0,0.0,.169,-13.5,2.6,-10.9
