player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/lauren-francillon-1.html,Lauren Francillon,fairleigh-dickinson,2019-20,F,26,13,24.3,5.2,10.9,.481,0.7,1.6,.415,4.6,9.3,.492,.511,0.9,1.5,.632,2.2,4.8,7.0,1.2,0.8,1.4,2.8,2.5,12.0
https://www.sports-reference.com/cbb/players/madison-stanley-1.html,Madison Stanley,fairleigh-dickinson,2019-20,F,18,14,28.8,4.1,9.8,.415,0.8,2.1,.368,3.3,7.7,.428,.455,1.8,2.2,.846,0.9,3.4,4.3,2.4,0.6,1.1,2.3,2.7,10.7
https://www.sports-reference.com/cbb/players/rachael-niles-1.html,Rachael Niles,fairleigh-dickinson,2019-20,G,30,29,34.0,2.7,8.6,.313,1.5,5.2,.290,1.2,3.5,.346,.400,1.8,2.2,.806,0.7,4.6,5.3,2.4,1.0,0.1,2.0,2.4,8.7
https://www.sports-reference.com/cbb/players/maria-roters-1.html,Maria Roters,fairleigh-dickinson,2019-20,G,29,24,27.0,3.0,7.2,.419,0.6,2.3,.269,2.4,4.9,.490,.462,1.0,1.4,.683,1.9,2.9,4.8,2.1,1.0,0.3,2.0,2.8,7.7
https://www.sports-reference.com/cbb/players/lindsey-mack-1.html,Lindsey Mack,fairleigh-dickinson,2019-20,G,30,27,28.7,2.3,7.4,.309,1.7,5.8,.289,0.6,1.7,.380,.422,0.3,0.4,.667,0.6,2.3,2.9,1.2,0.2,0.4,1.4,1.6,6.5
https://www.sports-reference.com/cbb/players/aniya-bell-1.html,Aniya Bell,fairleigh-dickinson,2019-20,G,29,0,14.3,2.0,5.1,.385,0.0,0.7,.050,1.9,4.4,.438,.389,1.2,1.7,.714,1.1,1.9,3.0,0.7,0.5,0.1,1.2,1.0,5.2
https://www.sports-reference.com/cbb/players/elise-graham-1.html,Elise Graham,fairleigh-dickinson,2019-20,G,7,4,20.9,2.0,6.0,.333,0.6,1.6,.364,1.4,4.4,.323,.381,0.4,0.4,1.000,0.7,1.0,1.7,1.1,0.4,0.1,1.6,2.4,5.0
https://www.sports-reference.com/cbb/players/sierra-deangelo-1.html,Sierra DeAngelo,fairleigh-dickinson,2019-20,F,25,1,9.2,1.4,3.4,.424,0.3,1.0,.308,1.1,2.4,.475,.471,0.8,1.0,.800,0.7,1.2,1.9,0.4,0.2,0.1,0.6,0.8,4.0
https://www.sports-reference.com/cbb/players/celia-carbonell-1.html,Celia Carbonell,fairleigh-dickinson,2019-20,G,29,6,17.1,1.2,3.3,.365,0.8,2.2,.381,0.4,1.1,.333,.490,0.1,0.2,.667,0.6,1.1,1.7,0.9,0.5,0.0,1.2,1.1,3.4
https://www.sports-reference.com/cbb/players/jayde-boyd-1.html,Jayde Boyd,fairleigh-dickinson,2019-20,G,22,6,16.2,0.8,2.9,.281,0.5,1.2,.370,0.4,1.7,.216,.359,0.5,0.7,.625,0.8,1.8,2.6,0.8,0.3,0.1,1.5,1.7,2.5
https://www.sports-reference.com/cbb/players/courtney-blankenship-1.html,Courtney Blankenship,fairleigh-dickinson,2019-20,F,25,20,16.3,0.7,2.3,.310,0.2,0.8,.200,0.6,1.5,.368,.345,0.6,0.9,.652,0.5,2.5,3.0,1.1,0.2,0.6,1.3,1.9,2.2
https://www.sports-reference.com/cbb/players/makayla-thompson-1.html,Makayla Thompson,fairleigh-dickinson,2019-20,G,10,3,5.3,0.6,1.8,.333,0.1,0.2,.500,0.5,1.6,.313,.361,0.4,0.6,.667,0.1,0.5,0.6,0.4,0.3,0.0,0.7,1.0,1.7
https://www.sports-reference.com/cbb/players/madeline-selvaggi-1.html,Madeline Selvaggi,fairleigh-dickinson,2019-20,G,14,3,11.0,0.4,1.4,.263,0.1,0.4,.200,0.3,1.0,.286,.289,0.2,0.6,.333,0.6,0.8,1.4,0.7,0.6,0.0,1.1,1.0,1.0
