player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/tatum-barber-1.html,Tatum Barber,georgia-southern,2019-20,G,30,17,26.5,4.1,9.8,.423,1.2,4.0,.303,2.9,5.8,.506,.485,2.8,3.6,.771,1.3,4.4,5.7,1.2,1.1,0.2,3.5,2.6,12.3
https://www.sports-reference.com/cbb/players/alexis-brown-3.html,Alexis Brown,georgia-southern,2019-20,G,30,22,23.9,3.6,8.9,.406,1.4,3.9,.368,2.2,5.0,.436,.487,2.8,3.2,.874,1.0,3.7,4.7,2.1,1.2,0.1,2.1,2.1,11.4
https://www.sports-reference.com/cbb/players/nikki-mcdonald-1.html,Nikki McDonald,georgia-southern,2019-20,G,30,8,22.7,3.2,8.3,.380,0.5,2.1,.242,2.7,6.3,.426,.410,1.4,1.7,.843,2.2,3.4,5.6,0.3,0.9,0.1,1.6,1.7,8.3
https://www.sports-reference.com/cbb/players/hailey-dias-allen-1.html,Hailey Dias-Allen,georgia-southern,2019-20,F,30,7,18.6,3.1,7.1,.435,0.0,0.6,.056,3.1,6.5,.469,.437,1.1,1.6,.723,0.7,2.2,2.9,0.4,0.6,0.7,1.5,2.2,7.4
https://www.sports-reference.com/cbb/players/jaiden-hamilton-1.html,Jaiden Hamilton,georgia-southern,2019-20,G,30,21,23.6,2.5,6.4,.398,1.2,3.6,.333,1.3,2.8,.482,.492,0.8,1.4,.548,1.2,1.4,2.6,0.9,0.6,0.0,1.1,1.6,7.0
https://www.sports-reference.com/cbb/players/mya-burns-1.html,Mya Burns,georgia-southern,2019-20,G,30,19,18.7,1.8,5.1,.349,0.6,1.8,.340,1.2,3.3,.354,.408,1.1,1.8,.642,1.7,1.9,3.6,0.9,0.8,0.5,1.5,2.6,5.3
https://www.sports-reference.com/cbb/players/tsubasa-nisbet-1.html,Tsubasa Nisbet,georgia-southern,2019-20,F,25,16,12.1,1.5,3.7,.402,0.2,0.8,.250,1.3,2.9,.444,.429,0.2,0.4,.444,1.2,1.6,2.8,1.0,0.4,0.0,1.4,1.7,3.3
https://www.sports-reference.com/cbb/players/amira-atwater-1.html,Amira Atwater,georgia-southern,2019-20,G,30,10,17.6,1.2,3.7,.333,0.2,0.9,.179,1.1,2.8,.386,.356,0.6,1.1,.563,0.2,1.1,1.3,2.6,0.8,0.1,2.1,0.8,3.2
https://www.sports-reference.com/cbb/players/nakol-franks-1.html,Nakol Franks,georgia-southern,2019-20,G-F,18,1,9.3,0.9,3.3,.283,0.4,2.1,.211,0.5,1.2,.409,.350,0.4,0.5,.889,0.5,0.6,1.1,0.6,0.2,0.1,0.3,0.4,2.8
https://www.sports-reference.com/cbb/players/sarah-moore-1.html,Sarah Moore,georgia-southern,2019-20,C,26,5,11.8,1.2,3.4,.360,0.0,0.0,.000,1.2,3.4,.364,.360,0.3,0.7,.368,1.6,1.8,3.4,0.4,0.3,0.5,1.3,1.9,2.7
https://www.sports-reference.com/cbb/players/janya-love-hill-1.html,Ja'Nya Love-Hill,georgia-southern,2019-20,G,10,0,10.6,0.6,2.3,.261,0.1,0.4,.250,0.5,1.9,.263,.283,0.8,1.9,.421,0.0,0.8,0.8,0.8,0.5,0.0,1.7,1.4,2.1
https://www.sports-reference.com/cbb/players/jordan-strange-1.html,Jordan Strange,georgia-southern,2019-20,G,30,8,12.2,0.6,2.2,.269,0.2,1.1,.182,0.4,1.1,.353,.313,0.5,0.6,.789,0.3,1.0,1.3,0.7,0.5,0.0,0.8,1.1,1.9
https://www.sports-reference.com/cbb/players/victoria-stavropoulos-1.html,Victoria Stavropoulos,georgia-southern,2019-20,F,26,16,8.2,0.7,1.7,.386,0.2,0.7,.353,0.4,1.0,.407,.455,0.2,0.3,.500,0.6,0.8,1.5,0.5,0.2,0.1,0.4,0.9,1.7
https://www.sports-reference.com/cbb/players/latia-fils-aime-1.html,La'Tia Fils-Aime',georgia-southern,2019-20,F,11,0,6.5,0.7,2.2,.333,0.0,0.0,,0.7,2.2,.333,.333,0.2,0.2,1.000,1.2,1.5,2.6,0.3,0.5,0.3,1.2,1.4,1.6
