player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/mya-hollingshed-1.html,Mya Hollingshed,colorado,2020-21,F,23,23,755,24.9,.531,.244,.313,332,7.2,23.5,15.4,12.2,2.0,4.4,13.7,25.7,2.6,1.2,3.8,.203,5.1,3.3,8.4
https://www.sports-reference.com/cbb/players/frida-formann-1.html,Frida Formann,colorado,2020-21,G,23,19,674,18.2,.545,.631,.187,264,3.7,9.4,6.6,15.6,2.0,2.3,18.6,24.0,1.8,0.6,2.4,.144,5.3,2.3,7.6
https://www.sports-reference.com/cbb/players/lesila-finau-1.html,Lesila Finau,colorado,2020-21,G,23,15,577,12.9,.495,.327,.309,139,2.5,15.5,9.0,20.6,3.8,2.2,30.4,15.7,0.3,0.9,1.2,.085,-0.2,4.7,4.6
https://www.sports-reference.com/cbb/players/peanut-tuitele-1.html,Peanut Tuitele,colorado,2020-21,F,23,22,575,17.8,.512,.209,.301,182,8.8,15.3,12.1,11.9,2.2,3.1,17.1,18.4,1.2,0.7,2.0,.138,3.4,3.7,7.1
https://www.sports-reference.com/cbb/players/aubrey-knight-1.html,Aubrey Knight,colorado,2020-21,G,21,13,503,14.8,.519,.144,.299,129,12.9,14.2,13.6,9.2,2.6,1.3,23.5,14.4,0.8,0.6,1.4,.113,2.0,3.2,5.3
https://www.sports-reference.com/cbb/players/charlotte-whittaker-1.html,Charlotte Whittaker,colorado,2020-21,F,23,1,337,11.2,.454,.117,.360,114,7.7,11.2,9.4,7.1,1.2,1.5,15.6,22.9,0.5,0.3,0.7,.088,-2.3,1.2,-1.2
https://www.sports-reference.com/cbb/players/jaylyn-sherrod-1.html,Jaylyn Sherrod,colorado,2020-21,G,12,12,321,18.1,.453,.204,.583,130,3.2,13.3,8.3,25.1,5.3,1.2,21.2,27.3,0.4,0.6,1.0,.122,0.9,5.2,6.1
https://www.sports-reference.com/cbb/players/tayanna-jones-1.html,Tayanna Jones,colorado,2020-21,G,17,9,273,13.2,.486,.322,.356,68,5.2,14.3,9.8,10.3,2.6,2.3,20.7,16.0,0.3,0.3,0.6,.095,1.8,4.2,6.0
https://www.sports-reference.com/cbb/players/kylee-blacksten-1.html,Kylee Blacksten,colorado,2020-21,F,20,1,184,5.6,.426,.405,.310,40,3.5,16.2,9.9,7.5,1.3,0.0,23.7,17.2,0.0,0.2,0.1,.027,-3.7,1.0,-2.7
https://www.sports-reference.com/cbb/players/zuzanna-kulinska-1.html,Zuzanna Kulinska,colorado,2020-21,G,21,0,176,16.8,.601,.370,.556,44,8.1,8.1,8.1,12.3,2.7,0.0,12.8,11.1,0.5,0.2,0.7,.154,3.2,3.8,7.0
https://www.sports-reference.com/cbb/players/annika-jank-1.html,Annika Jank,colorado,2020-21,F,18,0,124,1.7,.153,.286,.190,10,9.4,13.6,11.5,0.0,2.4,3.1,14.9,10.9,-0.2,0.2,-0.1,-0.023,-2.7,1.1,-1.6
https://www.sports-reference.com/cbb/players/madison-buford-1.html,Madison Buford,colorado,2020-21,G,13,0,73,1.5,.275,.261,.391,17,7.1,8.9,8.0,10.3,4.0,3.5,22.7,24.2,-0.2,0.1,-0.1,-0.038,-9.0,1.2,-7.8
https://www.sports-reference.com/cbb/players/allysa-lafontaine-1.html,Allysa Lafontaine,colorado,2020-21,G,7,0,38,20.4,.451,.231,.231,12,6.8,6.8,6.8,12.2,3.1,3.3,0.0,19.0,0.1,0.0,0.2,.160,0.7,2.3,2.9
https://www.sports-reference.com/cbb/players/raanee-smith-1.html,Raanee Smith,colorado,2020-21,G-F,3,0,7,-13.1,.000,.000,.000,0,0.0,37.1,18.6,24.3,0.0,0.0,33.3,21.5,0.0,0.0,0.0,-0.220,-15.0,-1.1,-16.1
https://www.sports-reference.com/cbb/players/maura-singer-1.html,Maura Singer,colorado,2020-21,C,1,0,1,0.0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,,,
