player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/lianna-tillman-1.html,Lianna Tillman,pacific,2020-21,G,22,22,739,11.9,.457,.357,.070,209,3.0,6.5,4.7,24.6,2.4,0.3,22.6,17.0,0.7,0.5,1.1,.061,0.3,0.7,1.0
https://www.sports-reference.com/cbb/players/valerie-higgins-1.html,Valerie Higgins,pacific,2020-21,G,22,22,721,33.6,.572,.125,.581,364,8.5,29.5,19.0,19.5,6.5,2.6,15.5,24.5,3.3,1.9,5.2,.288,6.0,5.9,11.9
https://www.sports-reference.com/cbb/players/sam-ashby-1.html,Sam Ashby,pacific,2020-21,G-F,22,19,553,10.9,.513,.722,.139,150,1.4,11.9,6.6,10.2,2.5,0.6,23.0,17.8,0.4,0.5,0.9,.062,-0.6,1.4,0.9
https://www.sports-reference.com/cbb/players/brooklyn-mcdavid-1.html,Brooklyn McDavid,pacific,2020-21,F,22,21,526,20.3,.464,.000,.265,249,14.4,12.5,13.4,8.3,2.6,1.1,12.2,28.7,1.2,0.5,1.7,.131,0.7,-0.4,0.4
https://www.sports-reference.com/cbb/players/kaylin-randhawa-1.html,Kaylin Randhawa,pacific,2020-21,G,19,0,420,13.8,.501,.508,.443,145,2.4,9.5,6.0,14.3,2.0,0.3,17.4,20.1,0.8,0.3,1.1,.104,-1.2,0.2,-1.0
https://www.sports-reference.com/cbb/players/erica-adams-1.html,Erica Adams,pacific,2020-21,G,18,12,354,10.1,.523,.333,.141,82,4.0,12.0,8.0,7.2,1.3,0.3,18.6,13.6,0.4,0.2,0.6,.073,-0.4,0.6,0.1
https://www.sports-reference.com/cbb/players/savannah-whitehead-1.html,Savannah Whitehead,pacific,2020-21,F,22,7,307,7.0,.458,.000,.431,68,6.7,14.3,10.5,7.5,2.5,0.4,31.4,15.7,-0.1,0.3,0.2,.023,-4.7,1.2,-3.5
https://www.sports-reference.com/cbb/players/rosie-schweizer-1.html,Rosie Schweizer,pacific,2020-21,G-F,21,1,279,11.7,.439,.382,.348,95,11.0,18.0,14.5,7.2,1.8,1.2,20.0,21.9,0.2,0.3,0.5,.070,-2.4,0.0,-2.4
https://www.sports-reference.com/cbb/players/liz-smith-2.html,Liz Smith,pacific,2020-21,G,19,0,201,1.6,.497,.738,.214,48,3.2,10.9,7.0,15.1,1.1,0.6,45.1,19.8,-0.4,0.1,-0.3,-0.057,-4.3,-1.0,-5.2
https://www.sports-reference.com/cbb/players/josephine-millard-1.html,Josephine Millard,pacific,2020-21,G,12,3,133,4.4,.367,.211,.158,19,5.8,13.6,9.7,8.1,0.8,0.8,25.5,9.7,0.0,0.1,0.0,.014,-3.1,0.5,-2.6
https://www.sports-reference.com/cbb/players/cassidy-johnson-1.html,Cassidy Johnson,pacific,2020-21,C,19,0,127,11.2,.437,.115,.212,46,8.1,16.2,12.2,3.6,0.0,2.6,13.6,24.6,0.1,0.1,0.2,.060,-4.2,-1.5,-5.7
https://www.sports-reference.com/cbb/players/jordan-cruz-1.html,Jordan Cruz,pacific,2020-21,G,4,3,86,5.0,.461,.810,.286,20,0.0,12.0,6.0,6.6,1.3,0.0,22.7,16.9,0.0,0.0,0.1,.027,-3.8,0.6,-3.2
https://www.sports-reference.com/cbb/players/madelene-ennis-1.html,Madelene Ennis,pacific,2020-21,F,7,0,16,1.2,.339,.000,1.000,2,0.0,24.2,12.1,0.0,3.5,0.0,25.3,11.7,0.0,0.0,0.0,-0.014,-7.6,3.1,-4.5
https://www.sports-reference.com/cbb/players/mia-fleming-mullins-1.html,Mia Fleming-Mullins,pacific,2020-21,G,2,0,4,-20.5,.000,.000,.000,0,32.1,0.0,16.1,0.0,0.0,0.0,50.0,23.6,0.0,0.0,0.0,-0.323,-13.7,-7.6,-21.4
