player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/denijsha-wilson-1.html,Denijsha Wilson,south-carolina-upstate,2020-21,G,23,22,31.8,4.2,10.4,.402,1.1,3.1,.361,3.0,7.3,.419,.456,3.0,3.9,.778,0.9,2.7,3.7,2.3,1.2,0.0,3.7,1.8,12.5
https://www.sports-reference.com/cbb/players/molly-coleman-1.html,Molly Coleman,south-carolina-upstate,2020-21,F,23,18,29.4,4.6,8.3,.555,0.0,0.0,,4.6,8.3,.555,.555,1.7,3.3,.506,2.2,4.0,6.2,1.0,0.6,1.1,1.8,2.0,10.9
https://www.sports-reference.com/cbb/players/mckinley-brooks-sumpter-1.html,McKinley Brooks-Sumpter,south-carolina-upstate,2020-21,G,17,15,28.5,4.2,11.8,.355,0.3,1.1,.263,3.9,10.6,.365,.368,2.0,3.4,.596,1.6,4.3,5.9,2.3,1.0,0.0,2.8,2.5,10.6
https://www.sports-reference.com/cbb/players/dakota-mccaughan-1.html,Dakota McCaughan,south-carolina-upstate,2020-21,G,19,8,25.4,2.3,7.8,.297,1.8,6.1,.293,0.5,1.7,.313,.412,0.4,0.5,.778,0.1,2.2,2.3,2.4,1.2,0.2,2.1,1.5,6.8
https://www.sports-reference.com/cbb/players/jada-logan-1.html,Jada Logan,south-carolina-upstate,2020-21,G,18,12,28.9,2.3,6.6,.356,0.0,0.4,.000,2.3,6.1,.382,.356,1.6,2.2,.718,1.9,4.4,6.4,2.6,0.9,0.2,2.3,1.3,6.2
https://www.sports-reference.com/cbb/players/molly-mccutcheon-1.html,Molly McCutcheon,south-carolina-upstate,2020-21,G,1,1,33.0,2.0,7.0,.286,2.0,6.0,.333,0.0,1.0,.000,.429,0.0,0.0,,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,6.0
https://www.sports-reference.com/cbb/players/marnicha-prudent-1.html,Marnicha Prudent,south-carolina-upstate,2020-21,F,14,6,17.8,1.9,5.3,.351,0.0,0.0,,1.9,5.3,.351,.351,1.9,2.7,.711,1.5,3.4,4.9,0.9,0.4,0.0,1.8,2.7,5.6
https://www.sports-reference.com/cbb/players/michaela-gibbons-1.html,Michaela Gibbons,south-carolina-upstate,2020-21,F,16,7,21.0,1.4,6.2,.232,0.9,3.9,.222,0.6,2.3,.250,.303,1.0,1.2,.842,0.6,2.4,3.1,0.6,0.4,0.3,1.3,2.0,4.8
https://www.sports-reference.com/cbb/players/anda-kuzmina-1.html,Anda Kuzmina,south-carolina-upstate,2020-21,G,18,13,23.1,1.7,5.3,.326,0.9,3.5,.254,0.8,1.8,.469,.411,0.3,0.7,.500,0.2,3.3,3.5,1.5,0.5,0.3,1.6,1.8,4.7
https://www.sports-reference.com/cbb/players/lillian-flantos-1.html,Lillian Flantos,south-carolina-upstate,2020-21,F,17,4,16.0,1.3,2.8,.468,0.0,0.0,,1.3,2.8,.468,.468,0.1,0.7,.167,1.1,1.6,2.6,0.3,0.5,0.0,1.0,1.8,2.7
https://www.sports-reference.com/cbb/players/maya-timberlake-1.html,Maya Timberlake,south-carolina-upstate,2020-21,G-F,19,9,18.3,1.2,3.1,.397,0.0,0.0,,1.2,3.1,.397,.397,0.3,0.6,.417,0.4,1.9,2.3,0.9,0.4,0.0,1.4,1.6,2.7
https://www.sports-reference.com/cbb/players/barrett-herring-1.html,Barrett Herring,south-carolina-upstate,2020-21,C,4,0,5.0,0.8,1.8,.429,0.0,0.0,,0.8,1.8,.429,.429,0.3,0.8,.333,0.8,0.3,1.0,0.3,0.0,0.5,0.5,1.3,1.8
https://www.sports-reference.com/cbb/players/gift-sampson-1.html,Gift Sampson,south-carolina-upstate,2020-21,F,5,0,6.0,0.8,2.0,.400,0.0,0.0,,0.8,2.0,.400,.400,0.2,0.4,.500,0.4,1.0,1.4,0.0,0.0,0.0,0.8,0.2,1.8
