player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/gabi-haack-1.html,Gabi Haack,bradley,2021-22,G,10,10,34.9,5.5,13.0,.423,3.1,7.5,.413,2.4,5.5,.436,.542,3.0,3.8,.789,1.6,3.4,5.0,2.8,0.6,0.2,2.0,1.3,17.1
https://www.sports-reference.com/cbb/players/caroline-waite-1.html,Caroline Waite,bradley,2021-22,G,25,20,32.4,4.4,13.1,.339,2.9,8.4,.343,1.6,4.7,.333,.450,1.3,1.6,.780,0.3,1.6,1.9,1.5,0.6,0.1,1.6,1.8,13.0
https://www.sports-reference.com/cbb/players/tatum-koenig-1.html,Tatum Koenig,bradley,2021-22,G,28,28,34.5,3.8,9.9,.386,1.5,4.6,.331,2.3,5.3,.435,.464,2.8,3.5,.798,0.6,2.8,3.3,3.6,1.1,0.2,2.6,2.6,12.0
https://www.sports-reference.com/cbb/players/sierra-morrow-1.html,Sierra Morrow,bradley,2021-22,F-C,25,20,25.2,2.6,5.7,.451,0.3,1.1,.286,2.2,4.6,.491,.479,1.0,1.8,.522,1.6,3.8,5.4,0.7,0.6,1.6,1.5,1.8,6.4
https://www.sports-reference.com/cbb/players/abbie-draper-1.html,Abbie Draper,bradley,2021-22,F,26,15,23.7,2.0,5.8,.351,0.5,1.8,.277,1.5,4.0,.385,.394,1.2,1.7,.698,1.4,2.3,3.7,0.9,0.4,0.7,1.5,2.3,5.7
https://www.sports-reference.com/cbb/players/chloe-rice-1.html,Chloe Rice,bradley,2021-22,G,27,13,21.4,1.4,5.1,.268,0.6,2.6,.239,0.7,2.5,.299,.330,1.6,2.2,.746,0.2,2.3,2.5,1.7,0.7,0.0,1.5,2.1,5.0
https://www.sports-reference.com/cbb/players/isis-fitch-1.html,Isis Fitch,bradley,2021-22,F,26,5,15.0,1.9,5.2,.368,0.2,0.9,.261,1.7,4.3,.389,.390,0.8,1.5,.579,0.8,1.9,2.7,0.4,0.4,0.1,0.7,1.4,4.9
https://www.sports-reference.com/cbb/players/daija-powell-1.html,Daija Powell,bradley,2021-22,F,21,13,14.4,2.0,5.2,.391,0.0,0.0,,2.0,5.2,.391,.391,0.6,1.3,.444,0.9,2.5,3.3,0.6,0.2,0.2,1.1,1.1,4.7
https://www.sports-reference.com/cbb/players/nika-dorsey-1.html,Nika Dorsey,bradley,2021-22,G,14,2,12.7,1.0,2.9,.350,0.1,0.5,.286,0.9,2.4,.364,.375,0.7,1.4,.526,0.5,2.0,2.5,1.3,0.2,0.0,1.6,0.6,2.9
https://www.sports-reference.com/cbb/players/diamond-cannon-1.html,Diamond Cannon,bradley,2021-22,G,5,0,2.6,0.6,1.2,.500,0.4,0.8,.500,0.2,0.4,.500,.667,0.2,0.4,.500,0.2,0.4,0.6,0.2,0.0,0.0,0.0,0.4,1.8
https://www.sports-reference.com/cbb/players/tete-danso-1.html,Tete Danso,bradley,2021-22,F,28,11,13.9,0.6,1.4,.410,0.0,0.0,,0.6,1.4,.410,.410,0.2,0.4,.455,1.4,2.8,4.2,0.7,0.7,1.0,1.0,2.2,1.3
https://www.sports-reference.com/cbb/players/callie-ziebell-1.html,Callie Ziebell,bradley,2021-22,C,23,0,5.4,0.5,1.6,.306,0.0,0.2,.250,0.4,1.4,.313,.319,0.2,0.3,.667,0.8,1.1,1.9,0.1,0.0,0.0,0.3,1.0,1.2
https://www.sports-reference.com/cbb/players/aannah-interrante-1.html,Aannah Interrante,bradley,2021-22,G,14,2,5.1,0.4,1.1,.313,0.2,0.9,.250,0.1,0.3,.500,.406,0.0,0.0,,0.1,0.2,0.4,0.1,0.0,0.0,0.4,0.1,0.9
https://www.sports-reference.com/cbb/players/sasha-koenig-1.html,Sasha Koenig,bradley,2021-22,G,15,0,5.9,0.3,1.1,.235,0.2,0.9,.231,0.1,0.3,.250,.324,0.0,0.0,,0.1,0.5,0.5,0.3,0.3,0.1,0.5,0.5,0.7
https://www.sports-reference.com/cbb/players/veronika-roberts-1.html,Veronika Roberts,bradley,2021-22,F,22,1,5.3,0.2,0.7,.267,0.0,0.0,.000,0.2,0.6,.286,.267,0.0,0.0,,0.2,1.0,1.2,0.1,0.0,0.1,0.6,0.8,0.4
https://www.sports-reference.com/cbb/players/katy-wade-2.html,Katy Wade,bradley,2021-22,G,8,0,0.8,0.0,0.1,.000,0.0,0.1,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.0
