player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/octavia-jett-wilson-1.html,Octavia Jett-Wilson,charlotte,2021-22,G,32,32,34.1,6.0,15.5,.387,1.5,4.5,.338,4.5,11.0,.407,.436,5.5,6.8,.819,1.2,3.4,4.6,1.5,1.2,0.5,2.3,1.6,19.1
https://www.sports-reference.com/cbb/players/mikayla-boykin-1.html,Mikayla Boykin,charlotte,2021-22,G,30,30,31.6,4.9,12.1,.401,1.6,4.7,.336,3.3,7.5,.442,.466,1.9,2.3,.826,1.4,4.2,5.5,2.5,1.8,0.6,2.1,2.0,13.2
https://www.sports-reference.com/cbb/players/jada-mcmillian-1.html,Jada McMillian,charlotte,2021-22,G,32,32,34.6,3.4,7.8,.444,0.0,0.7,.048,3.4,7.1,.480,.446,1.7,2.7,.647,0.5,2.7,3.2,3.9,0.8,0.2,2.9,2.0,8.6
https://www.sports-reference.com/cbb/players/molina-williams-1.html,Molina Williams,charlotte,2021-22,F,31,31,26.8,2.5,6.0,.425,0.5,1.5,.292,2.1,4.5,.471,.462,1.4,2.2,.618,1.3,3.4,4.7,0.7,0.7,0.5,1.3,2.8,6.9
https://www.sports-reference.com/cbb/players/keke-mckinney-1.html,KeKe McKinney,charlotte,2021-22,F,32,32,32.1,2.3,6.1,.376,0.4,1.5,.245,1.9,4.5,.421,.407,1.1,1.4,.761,2.4,5.6,8.1,1.3,0.9,2.2,1.9,2.3,6.0
https://www.sports-reference.com/cbb/players/jacee-busick-1.html,Jacee Busick,charlotte,2021-22,G,32,2,20.9,1.1,3.5,.304,0.4,1.8,.250,0.6,1.8,.357,.366,0.8,0.9,.800,1.2,2.8,4.0,0.8,0.3,0.3,1.0,1.8,3.3
https://www.sports-reference.com/cbb/players/angel-middleton-1.html,Angel Middleton,charlotte,2021-22,C,14,0,5.5,1.3,2.0,.643,0.0,0.0,,1.3,2.0,.643,.643,0.5,1.2,.412,0.4,1.4,1.8,0.0,0.1,0.5,0.6,1.2,3.1
https://www.sports-reference.com/cbb/players/dazia-lawrence-1.html,Dazia Lawrence,charlotte,2021-22,G,24,0,9.8,1.1,2.7,.406,0.3,0.5,.462,0.8,2.1,.392,.453,0.5,0.9,.619,0.6,0.8,1.4,0.3,0.5,0.1,1.0,1.3,3.0
https://www.sports-reference.com/cbb/players/kameron-roach-1.html,Kameron Roach,charlotte,2021-22,G,25,1,11.4,0.8,2.8,.290,0.4,1.6,.275,0.4,1.2,.310,.370,0.2,0.6,.400,0.2,1.0,1.2,0.6,0.5,0.1,1.0,1.0,2.3
https://www.sports-reference.com/cbb/players/aylesha-wade-1.html,Aylesha Wade,charlotte,2021-22,G,12,0,4.9,0.5,1.5,.333,0.2,0.7,.250,0.3,0.8,.400,.389,0.5,1.2,.429,0.3,0.8,1.1,0.2,0.3,0.1,0.8,0.8,1.7
https://www.sports-reference.com/cbb/players/mya-mcgraw-1.html,Mya McGraw,charlotte,2021-22,F,18,0,6.1,0.5,1.4,.360,0.0,0.1,.000,0.5,1.3,.375,.360,0.3,0.7,.500,0.6,0.7,1.3,0.0,0.1,0.2,0.4,0.6,1.3
https://www.sports-reference.com/cbb/players/cali-konek-1.html,Cali Konek,charlotte,2021-22,G,11,0,4.8,0.4,1.7,.211,0.0,1.4,.000,0.4,0.4,1.000,.211,0.0,0.0,,0.0,0.2,0.2,0.1,0.0,0.0,0.5,0.4,0.7
https://www.sports-reference.com/cbb/players/tamia-davis-1.html,Tamia Davis,charlotte,2021-22,G,10,0,5.0,0.2,1.0,.200,0.1,0.9,.111,0.1,0.1,1.000,.250,0.0,0.0,,0.1,0.6,0.7,0.1,0.0,0.0,0.3,0.3,0.5
