player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/delicia-washington-1.html,Delicia Washington,clemson,2021-22,G,30,29,31.8,7.0,15.1,.461,0.8,2.3,.353,6.2,12.8,.481,.488,2.5,3.4,.735,1.3,5.1,6.4,3.0,2.1,0.1,2.7,2.1,17.2
https://www.sports-reference.com/cbb/players/amari-robinson-1.html,Amari Robinson,clemson,2021-22,F,30,30,29.5,4.0,9.6,.418,0.2,1.4,.143,3.8,8.2,.465,.429,2.8,3.4,.806,2.7,3.3,6.1,0.9,0.8,0.4,2.3,2.3,11.0
https://www.sports-reference.com/cbb/players/daisha-bradford-1.html,Daisha Bradford,clemson,2021-22,G,29,18,27.3,3.7,8.9,.409,1.1,3.2,.359,2.5,5.8,.437,.473,1.1,1.5,.705,1.2,2.3,3.5,2.4,1.3,0.2,2.8,2.4,9.5
https://www.sports-reference.com/cbb/players/gabby-elliott-1.html,Gabby Elliott,clemson,2021-22,G,12,10,26.2,3.9,11.0,.356,1.1,3.9,.277,2.8,7.1,.400,.405,0.5,0.9,.545,0.8,2.0,2.8,1.4,1.1,0.3,2.3,2.3,9.4
https://www.sports-reference.com/cbb/players/kiara-lewis-1.html,Kiara Lewis,clemson,2021-22,G,14,13,28.2,3.0,9.1,.328,0.3,1.4,.200,2.7,7.7,.352,.344,2.9,4.4,.672,0.6,2.6,3.3,2.1,1.8,0.3,2.4,1.9,9.2
https://www.sports-reference.com/cbb/players/hannah-hank-1.html,Hannah Hank,clemson,2021-22,F,31,24,22.5,1.6,4.4,.363,0.7,2.5,.276,0.9,1.9,.475,.441,0.6,0.9,.655,1.6,2.7,4.3,1.0,1.5,0.5,1.3,2.6,4.5
https://www.sports-reference.com/cbb/players/eno-inyang-1.html,Eno Inyang,clemson,2021-22,C,27,0,13.7,1.4,3.1,.458,0.0,0.0,,1.4,3.1,.458,.458,1.6,2.2,.712,2.1,1.7,3.8,0.2,0.6,1.0,1.2,2.3,4.4
https://www.sports-reference.com/cbb/players/kionna-gaines-1.html,Kionna Gaines,clemson,2021-22,G,27,1,10.9,1.3,4.1,.315,0.1,0.4,.273,1.2,3.7,.320,.329,1.0,1.8,.551,0.7,1.2,1.9,0.3,0.2,0.1,0.9,0.4,3.7
https://www.sports-reference.com/cbb/players/latrese-saine-1.html,LaTrese Saine,clemson,2021-22,C,22,8,13.6,1.3,3.0,.418,0.0,0.0,,1.3,3.0,.418,.418,0.8,1.3,.621,1.6,1.5,3.0,0.1,0.5,1.2,1.4,2.3,3.4
https://www.sports-reference.com/cbb/players/madi-ott-1.html,Madi Ott,clemson,2021-22,G,30,19,18.7,1.0,3.1,.312,0.6,2.3,.257,0.4,0.8,.478,.409,0.5,0.6,.882,0.2,0.9,1.1,0.6,0.5,0.0,0.9,1.4,3.0
https://www.sports-reference.com/cbb/players/weronika-hipp-1.html,Weronika Hipp,clemson,2021-22,G,29,1,9.8,0.5,1.8,.269,0.3,1.2,.222,0.2,0.6,.375,.346,0.4,0.6,.611,0.1,0.4,0.4,0.5,0.2,0.0,0.6,0.6,1.6
https://www.sports-reference.com/cbb/players/sydney-standifer-1.html,Sydney Standifer,clemson,2021-22,G,27,2,5.8,0.5,1.7,.277,0.4,1.4,.263,0.1,0.3,.333,.383,0.2,0.2,.833,0.1,0.2,0.3,0.2,0.1,0.0,0.4,0.3,1.5
https://www.sports-reference.com/cbb/players/makayla-elmore-1.html,MaKayla Elmore,clemson,2021-22,F,27,0,7.3,0.3,1.4,.189,0.1,0.9,.167,0.1,0.5,.231,.243,0.1,0.2,.800,0.2,0.9,1.1,0.1,0.3,0.2,0.4,0.5,0.8
https://www.sports-reference.com/cbb/players/skylar-blackstock-1.html,Skylar Blackstock,clemson,2021-22,F,12,0,3.3,0.1,0.3,.250,0.0,0.1,.000,0.1,0.3,.333,.250,0.0,0.0,,0.3,0.4,0.7,0.3,0.3,0.0,0.4,0.4,0.2
