player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/jenna-annecchiarico-1.html,Jenna Annecchiarico,college-of-charleston,2021-22,G,31,31,34.5,5.4,15.0,.360,1.4,4.3,.321,4.0,10.6,.376,.406,4.5,5.1,.880,1.3,3.5,4.7,6.3,2.9,0.2,3.3,2.5,16.6
https://www.sports-reference.com/cbb/players/peyton-martin-1.html,Peyton Martin,college-of-charleston,2021-22,F,6,6,31.0,5.2,12.7,.408,0.0,0.0,,5.2,12.7,.408,.408,2.3,4.5,.519,5.5,4.5,10.0,0.5,1.7,1.2,2.8,1.8,12.7
https://www.sports-reference.com/cbb/players/arynn-eady-1.html,Arynn Eady,college-of-charleston,2021-22,F,31,29,30.5,5.2,8.8,.592,0.0,0.0,,5.2,8.8,.592,.592,1.6,2.4,.689,3.5,5.8,9.3,0.6,2.0,2.0,2.1,3.1,12.0
https://www.sports-reference.com/cbb/players/latrice-perkins-1.html,Latrice Perkins,college-of-charleston,2021-22,G,31,29,27.6,5.1,11.1,.464,0.6,2.5,.250,4.5,8.6,.524,.491,1.1,1.4,.750,2.0,2.4,4.4,1.8,1.7,0.3,1.4,2.2,11.9
https://www.sports-reference.com/cbb/players/anika-mcgarity-1.html,Anika McGarity,college-of-charleston,2021-22,G-F,28,26,32.4,4.1,9.7,.423,2.6,7.3,.365,1.5,2.5,.594,.559,0.5,0.6,.765,0.8,2.0,2.8,1.2,1.1,0.3,1.4,2.0,11.3
https://www.sports-reference.com/cbb/players/tyler-collins-2.html,Tyler Collins,college-of-charleston,2021-22,G,31,18,23.9,2.9,8.5,.340,1.1,3.9,.289,1.8,4.6,.382,.406,1.8,2.3,.778,0.5,2.0,2.5,2.1,0.5,0.0,1.5,1.5,8.7
https://www.sports-reference.com/cbb/players/grace-abercrombie-1.html,Grace Abercrombie,college-of-charleston,2021-22,G,27,2,16.7,2.2,7.3,.305,1.3,4.8,.269,0.9,2.5,.373,.393,1.4,1.9,.731,0.9,2.3,3.2,0.5,0.9,0.5,1.3,0.7,7.1
https://www.sports-reference.com/cbb/players/anani-humphrey-1.html,Anani Humphrey,college-of-charleston,2021-22,G-F,3,0,7.3,1.3,2.7,.500,0.0,0.0,,1.3,2.7,.500,.500,0.0,0.0,,1.3,0.0,1.3,0.3,0.7,0.0,0.3,0.3,2.7
https://www.sports-reference.com/cbb/players/chelsea-wooten-1.html,Chelsea Wooten,college-of-charleston,2021-22,G,13,0,8.1,1.1,3.2,.333,0.5,1.8,.250,0.6,1.4,.444,.405,0.1,0.2,.333,0.2,0.5,0.7,0.5,0.4,0.1,0.4,0.5,2.7
https://www.sports-reference.com/cbb/players/elise-pearson-1.html,Elise Pearson,college-of-charleston,2021-22,G,4,0,4.0,0.8,1.3,.600,0.5,1.0,.500,0.3,0.3,1.000,.800,0.0,0.0,,0.5,0.5,1.0,0.3,0.0,0.0,0.0,0.5,2.0
https://www.sports-reference.com/cbb/players/zoe-mccrary-1.html,Zoe McCrary,college-of-charleston,2021-22,F,24,1,13.2,0.7,2.0,.354,0.0,0.0,.000,0.7,2.0,.362,.354,0.5,1.0,.542,1.5,2.0,3.5,0.3,0.4,0.5,0.6,0.8,2.0
https://www.sports-reference.com/cbb/players/madison-taylor-1.html,Madison Taylor,college-of-charleston,2021-22,G,27,13,13.1,0.7,2.6,.257,0.4,1.9,.192,0.3,0.7,.444,.329,0.2,0.2,1.000,0.6,1.4,2.0,1.1,1.3,0.1,0.3,1.4,1.9
https://www.sports-reference.com/cbb/players/bria-mcclure-1.html,Bria McClure,college-of-charleston,2021-22,G,16,0,6.3,0.6,3.2,.196,0.1,1.5,.042,0.6,1.7,.333,.206,0.0,0.1,.000,0.1,0.7,0.8,0.4,0.4,0.0,0.3,0.4,1.3
https://www.sports-reference.com/cbb/players/nia-covington-1.html,Nia Covington,college-of-charleston,2021-22,G-F,19,0,6.1,0.4,1.3,.333,0.0,0.0,,0.4,1.3,.333,.333,0.5,0.7,.692,0.7,0.9,1.6,0.3,0.5,0.1,0.6,0.7,1.3
https://www.sports-reference.com/cbb/players/tyler-gray-1.html,Tyler Gray,college-of-charleston,2021-22,G,11,0,5.1,0.3,1.3,.214,0.0,0.3,.000,0.3,1.0,.273,.214,0.4,0.9,.400,0.4,0.3,0.6,0.3,0.4,0.0,0.5,0.5,0.9
https://www.sports-reference.com/cbb/players/amira-williams-1.html,Amira Williams,college-of-charleston,2021-22,G-F,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
