player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/jalyn-holcomb-1.html,Jalyn Holcomb,lipscomb,2021-22,G,22,14,28.1,3.6,9.4,.386,1.9,5.1,.366,1.8,4.3,.411,.486,1.0,1.3,.793,0.4,3.5,3.9,1.8,0.7,0.1,2.2,2.1,10.2
https://www.sports-reference.com/cbb/players/blythe-pearson-1.html,Blythe Pearson,lipscomb,2021-22,G,30,30,28.4,3.0,7.7,.392,1.8,5.0,.358,1.2,2.7,.457,.509,0.7,0.8,.833,0.7,5.3,6.0,1.0,0.7,0.6,2.0,2.6,8.5
https://www.sports-reference.com/cbb/players/dorie-harrison-1.html,Dorie Harrison,lipscomb,2021-22,C,15,13,17.9,3.0,7.2,.417,0.1,0.2,.333,2.9,7.0,.419,.421,1.7,2.8,.619,1.9,3.7,5.7,0.3,0.3,1.0,1.9,2.3,7.8
https://www.sports-reference.com/cbb/players/jordan-peete-1.html,Jordan Peete,lipscomb,2021-22,G,30,30,28.3,2.8,6.7,.420,1.0,3.1,.319,1.8,3.5,.509,.495,0.9,1.5,.591,0.2,1.1,1.3,0.9,0.9,0.2,1.9,3.0,7.5
https://www.sports-reference.com/cbb/players/casey-collier-1.html,Casey Collier,lipscomb,2021-22,G,27,26,30.4,2.6,7.2,.359,0.4,1.9,.240,2.1,5.4,.400,.390,1.7,2.5,.701,1.1,3.8,4.9,3.4,1.2,0.1,3.3,2.6,7.4
https://www.sports-reference.com/cbb/players/bella-vinson-1.html,Bella Vinson,lipscomb,2021-22,G-F,30,15,24.2,2.4,6.0,.394,1.1,3.6,.299,1.3,2.4,.534,.483,1.2,1.5,.841,0.8,2.2,3.0,0.8,0.5,0.5,1.1,1.6,7.0
https://www.sports-reference.com/cbb/players/maddie-cook-1.html,Maddie Cook,lipscomb,2021-22,G-F,30,17,21.9,3.1,7.5,.420,0.0,0.4,.091,3.1,7.1,.437,.422,0.7,1.1,.618,1.3,3.4,4.7,2.0,0.5,0.5,2.0,1.8,7.0
https://www.sports-reference.com/cbb/players/sydney-shelton-1.html,Sydney Shelton,lipscomb,2021-22,G,28,4,23.7,2.2,7.0,.318,1.3,4.1,.302,1.0,2.8,.342,.408,1.2,1.5,.791,0.1,2.5,2.6,0.9,0.4,0.1,1.1,1.1,6.9
https://www.sports-reference.com/cbb/players/katherine-weakley-1.html,Katherine Weakley,lipscomb,2021-22,G,8,0,9.8,1.3,3.9,.323,1.0,2.9,.348,0.3,1.0,.250,.452,0.5,0.8,.667,0.1,1.5,1.6,0.5,0.1,0.1,0.1,0.3,4.0
https://www.sports-reference.com/cbb/players/hilary-james-1.html,Hilary James,lipscomb,2021-22,G,6,0,9.5,1.7,3.2,.526,0.3,1.0,.333,1.3,2.2,.615,.579,0.2,0.3,.500,0.2,1.3,1.5,1.2,0.2,0.0,0.8,1.0,3.8
https://www.sports-reference.com/cbb/players/nicole-hemphill-1.html,Nicole Hemphill,lipscomb,2021-22,F,25,1,8.7,0.8,1.8,.413,0.0,0.0,,0.8,1.8,.413,.413,0.7,0.8,.810,0.7,0.8,1.5,0.2,0.1,0.3,0.6,1.6,2.2
https://www.sports-reference.com/cbb/players/diana-saleh-1.html,Diana Saleh,lipscomb,2021-22,C,22,0,7.0,0.7,1.4,.516,0.0,0.0,.000,0.7,1.4,.533,.516,0.2,0.4,.556,0.5,1.3,1.8,0.1,0.1,0.4,0.5,0.8,1.7
https://www.sports-reference.com/cbb/players/baylee-jones-1.html,Baylee Jones,lipscomb,2021-22,G-F,9,0,3.4,0.3,1.1,.300,0.0,0.6,.000,0.3,0.6,.600,.300,0.0,0.0,,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.2,0.7
https://www.sports-reference.com/cbb/players/taylor-hammack-1.html,Taylor Hammack,lipscomb,2021-22,G-F,5,0,5.4,0.0,1.2,.000,0.0,0.6,.000,0.0,0.6,.000,.000,0.0,0.0,,0.2,1.2,1.4,0.4,0.0,0.2,0.0,1.0,0.0
