player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/jazz-bond-1.html,Jazz Bond,north-florida,2021-22,F,29,28,30.1,5.4,11.8,.460,2.0,5.2,.387,3.4,6.6,.518,.545,2.3,2.8,.805,1.5,6.2,7.8,1.6,1.0,2.4,1.8,1.7,15.1
https://www.sports-reference.com/cbb/players/rhetta-moore-1.html,Rhetta Moore,north-florida,2021-22,G,29,29,33.9,4.5,10.6,.423,2.0,5.6,.356,2.5,5.0,.500,.518,1.1,1.3,.865,0.7,4.6,5.2,3.2,1.7,0.2,2.0,1.9,12.1
https://www.sports-reference.com/cbb/players/emma-broermann-1.html,Emma Broermann,north-florida,2021-22,F,30,30,20.5,3.8,6.4,.602,0.0,0.3,.000,3.8,6.1,.632,.602,1.7,2.8,.602,2.1,3.6,5.7,0.6,0.5,0.8,1.9,3.0,9.3
https://www.sports-reference.com/cbb/players/summah-evans-1.html,Summah Evans,north-florida,2021-22,F,27,10,18.8,2.6,6.7,.389,0.7,2.6,.257,1.9,4.1,.473,.439,1.0,1.2,.788,0.7,2.3,3.0,0.9,1.1,0.5,1.3,1.5,6.8
https://www.sports-reference.com/cbb/players/jaida-bond-1.html,Jaida Bond,north-florida,2021-22,G,28,22,24.0,2.5,6.9,.358,1.1,3.9,.273,1.4,3.0,.470,.435,0.6,0.8,.739,0.3,2.1,2.4,1.0,0.9,0.2,1.9,1.8,6.6
https://www.sports-reference.com/cbb/players/tatiana-thompson-1.html,Tatiana Thompson,north-florida,2021-22,F,21,0,14.0,2.4,5.6,.427,0.4,1.2,.308,2.0,4.3,.462,.462,0.6,1.0,.650,0.5,2.2,2.8,0.4,0.3,0.0,1.4,1.8,5.8
https://www.sports-reference.com/cbb/players/nubia-benedith-1.html,Nubia Benedith,north-florida,2021-22,G,28,0,16.8,1.2,2.9,.425,0.4,1.4,.289,0.8,1.5,.548,.494,1.2,1.6,.773,0.1,0.8,0.9,1.0,0.5,0.0,1.6,1.4,4.0
https://www.sports-reference.com/cbb/players/kaila-rougier-1.html,Kaila Rougier,north-florida,2021-22,G,22,1,12.7,1.5,3.9,.372,0.1,0.6,.231,1.3,3.3,.397,.390,0.3,0.5,.583,0.3,1.2,1.5,1.0,0.5,0.1,1.5,1.6,3.4
https://www.sports-reference.com/cbb/players/tiffany-tolbert-1.html,Tiffany Tolbert,north-florida,2021-22,G,20,6,12.0,1.4,3.3,.424,0.2,0.6,.273,1.3,2.8,.455,.447,0.3,0.5,.667,0.0,0.7,0.7,0.9,0.5,0.1,1.2,1.1,3.3
https://www.sports-reference.com/cbb/players/ally-knights-1.html,Ally Knights,north-florida,2021-22,G,29,24,24.7,0.9,2.9,.301,0.4,1.8,.226,0.4,1.0,.433,.373,0.7,0.9,.808,0.3,2.1,2.4,4.5,1.2,0.0,2.4,2.1,2.9
https://www.sports-reference.com/cbb/players/britnay-gore-1.html,Britnay Gore,north-florida,2021-22,F,21,0,5.2,0.8,1.6,.500,0.0,0.0,,0.8,1.6,.500,.500,0.5,0.6,.833,0.8,1.2,2.0,0.1,0.3,0.2,0.8,1.5,2.1
https://www.sports-reference.com/cbb/players/erin-jones-2.html,Erin Jones,north-florida,2021-22,G,22,0,12.1,0.5,1.8,.275,0.2,1.1,.167,0.3,0.7,.438,.325,0.1,0.1,1.000,0.2,1.6,1.8,0.7,0.4,0.4,0.9,0.7,1.3
https://www.sports-reference.com/cbb/players/tia-robinson-1.html,Tia Robinson,north-florida,2021-22,G,5,0,3.4,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.0,0.0,0.6,0.0,0.4
