player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/jaylin-powell-1.html,Jaylin Powell,south-alabama,2021-22,F,25,18,27.0,4.0,10.6,.377,2.1,5.9,.361,1.9,4.7,.398,.477,1.9,2.7,.691,1.1,3.6,4.6,1.1,0.8,0.0,2.4,2.3,12.0
https://www.sports-reference.com/cbb/players/zena-elias-1.html,Zena Elias,south-alabama,2021-22,C,2,2,23.0,3.0,6.0,.500,0.0,0.5,.000,3.0,5.5,.545,.500,3.5,5.0,.700,5.5,4.0,9.5,0.5,1.0,1.0,1.0,1.5,9.5
https://www.sports-reference.com/cbb/players/dee-haymer-1.html,Dee Haymer,south-alabama,2021-22,G,25,22,28.2,3.2,8.7,.362,0.6,2.8,.232,2.5,6.0,.423,.399,2.0,2.6,.785,0.6,3.1,3.7,1.9,1.3,0.1,2.5,2.6,9.0
https://www.sports-reference.com/cbb/players/mahogany-vaught-1.html,Mahogany Vaught,south-alabama,2021-22,G,26,22,30.0,3.3,9.1,.360,1.0,2.9,.342,2.3,6.2,.369,.415,0.8,2.2,.386,0.7,3.3,4.0,3.3,1.6,0.3,2.9,1.9,8.4
https://www.sports-reference.com/cbb/players/nadia-howard-1.html,Nadia Howard,south-alabama,2021-22,G,26,19,22.7,3.2,7.8,.402,0.4,1.9,.200,2.8,5.9,.468,.426,1.7,2.7,.623,1.0,1.7,2.7,0.7,1.4,0.1,1.0,1.9,8.3
https://www.sports-reference.com/cbb/players/destiny-samuel-1.html,Destiny Samuel,south-alabama,2021-22,F,19,7,20.7,2.3,6.9,.326,0.7,3.2,.230,1.5,3.7,.408,.379,0.7,1.3,.583,0.6,3.0,3.6,1.2,0.6,0.6,1.9,1.8,6.0
https://www.sports-reference.com/cbb/players/tyrielle-williams-1.html,Tyrielle Williams,south-alabama,2021-22,G,24,7,23.7,1.8,5.3,.336,0.6,2.5,.250,1.2,2.8,.412,.395,1.0,1.4,.735,0.4,2.0,2.4,2.0,1.1,0.0,2.2,1.3,5.3
https://www.sports-reference.com/cbb/players/kiana-anderson-1.html,Kiana Anderson,south-alabama,2021-22,F,26,19,18.6,1.9,4.2,.459,0.0,0.1,.000,1.9,4.1,.472,.459,0.8,1.8,.435,1.5,2.5,3.9,0.4,1.2,0.8,1.2,2.8,4.6
https://www.sports-reference.com/cbb/players/janelle-jones-1.html,Janelle Jones,south-alabama,2021-22,G,25,7,13.3,1.2,4.1,.301,0.5,1.8,.273,0.8,2.4,.322,.359,0.4,1.0,.417,1.1,0.8,1.9,0.4,0.5,0.1,0.7,1.0,3.4
https://www.sports-reference.com/cbb/players/jordan-rosier-1.html,Jordan Rosier,south-alabama,2021-22,G,20,0,10.2,1.2,4.0,.288,0.8,2.8,.291,0.4,1.3,.280,.388,0.3,0.3,.833,0.6,0.9,1.4,0.2,0.2,0.1,0.3,0.6,3.4
https://www.sports-reference.com/cbb/players/casey-ferguson-1.html,Casey Ferguson,south-alabama,2021-22,F,25,7,16.3,1.2,3.3,.354,0.8,2.5,.306,0.4,0.8,.500,.470,0.1,0.2,.600,0.4,1.6,2.0,0.6,0.5,0.1,0.6,1.6,3.2
https://www.sports-reference.com/cbb/players/trinity-garrett-1.html,Trinity Garrett,south-alabama,2021-22,G,9,0,6.8,0.2,1.1,.200,0.0,0.2,.000,0.2,0.9,.250,.200,0.8,1.4,.538,0.3,0.2,0.6,0.2,0.2,0.0,0.9,0.9,1.2
