player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/lauren-heard-2.html,Lauren Heard,texas-christian,2021-22,G,28,28,33.4,4.4,12.7,.349,0.6,1.9,.346,3.8,10.8,.350,.375,5.3,7.4,.723,1.3,4.6,5.9,3.9,1.5,0.1,4.3,2.6,14.8
https://www.sports-reference.com/cbb/players/okako-adika-1.html,Okako Adika,texas-christian,2021-22,G-F,28,27,25.5,3.5,8.2,.424,1.6,4.3,.375,1.9,3.9,.477,.522,1.5,1.7,.896,1.6,3.5,5.0,1.4,0.8,0.1,1.8,3.1,10.1
https://www.sports-reference.com/cbb/players/michelle-berry-1.html,Michelle Berry,texas-christian,2021-22,F,27,23,29.9,2.5,7.8,.319,0.9,3.7,.242,1.6,4.1,.387,.376,0.7,1.0,.769,1.0,4.2,5.2,1.6,0.8,0.1,1.4,1.6,6.6
https://www.sports-reference.com/cbb/players/tavy-diggs-1.html,Tavy Diggs,texas-christian,2021-22,F,26,4,14.3,2.5,5.5,.444,0.1,0.5,.154,2.4,5.0,.473,.451,1.0,1.8,.543,0.7,2.5,3.2,1.2,0.9,0.2,1.7,1.3,6.0
https://www.sports-reference.com/cbb/players/yummy-morris-1.html,Yummy Morris,texas-christian,2021-22,F,28,7,16.2,2.1,5.0,.418,0.0,0.0,,2.1,5.0,.418,.418,0.9,1.4,.684,1.1,2.1,3.2,1.5,0.5,0.5,1.8,2.0,5.1
https://www.sports-reference.com/cbb/players/aja-holmes-1.html,Aja Holmes,texas-christian,2021-22,G,26,3,17.9,1.5,4.4,.333,1.2,3.6,.319,0.3,0.8,.400,.465,0.6,0.9,.652,0.1,0.8,0.9,0.2,0.1,0.1,0.2,0.3,4.7
https://www.sports-reference.com/cbb/players/kayla-mokwuah-1.html,Kayla Mokwuah,texas-christian,2021-22,C,27,9,11.0,2.3,3.9,.575,0.0,0.0,,2.3,3.9,.575,.575,0.2,0.7,.278,0.7,1.7,2.4,0.6,0.3,0.7,1.5,1.9,4.7
https://www.sports-reference.com/cbb/players/aahliyah-jackson-1.html,Aahliyah Jackson,texas-christian,2021-22,G,24,20,25.5,1.1,3.6,.310,0.5,2.1,.235,0.6,1.5,.417,.379,0.8,1.1,.731,0.4,2.3,2.8,1.5,0.8,0.2,1.1,2.4,3.5
https://www.sports-reference.com/cbb/players/tara-manumaleuga-1.html,Tara Manumaleuga,texas-christian,2021-22,G,25,9,15.6,1.0,4.4,.227,0.4,2.6,.167,0.6,1.8,.318,.277,0.4,0.7,.588,0.2,1.0,1.2,1.2,0.8,0.2,1.3,0.5,2.8
https://www.sports-reference.com/cbb/players/patricia-morris-1.html,Patricia Morris,texas-christian,2021-22,F,28,10,8.7,0.9,1.9,.481,0.0,0.0,,0.9,1.9,.481,.481,0.5,0.9,.625,0.8,1.1,2.0,0.2,0.0,0.3,0.9,1.6,2.4
https://www.sports-reference.com/cbb/players/caroline-germond-1.html,Caroline Germond,texas-christian,2021-22,G,20,0,11.5,0.5,2.0,.250,0.3,1.1,.238,0.3,1.0,.263,.313,0.1,0.2,.500,0.1,0.8,0.9,0.8,0.6,0.0,0.9,1.6,1.4
https://www.sports-reference.com/cbb/players/paige-bradley-2.html,Paige Bradley,texas-christian,2021-22,G,19,0,6.7,0.3,1.9,.139,0.2,1.3,.120,0.1,0.6,.182,.181,0.2,0.3,.667,0.2,0.4,0.6,0.2,0.1,0.0,0.3,0.6,0.9
https://www.sports-reference.com/cbb/players/daija-turner-1.html,Daija Turner,texas-christian,2021-22,F,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
