player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/julie-pospisilova-1.html,Julie Pospisilova,wisconsin,2021-22,G,27,27,36.6,5.5,14.1,.391,1.8,5.8,.312,3.7,8.3,.446,.455,1.3,1.7,.739,0.9,3.1,4.0,3.0,1.4,0.6,2.9,2.5,14.1
https://www.sports-reference.com/cbb/players/sydney-hilliard-1.html,Sydney Hilliard,wisconsin,2021-22,G,18,18,33.7,5.4,9.8,.548,0.0,0.0,,5.4,9.8,.548,.548,2.1,3.3,.627,1.6,3.2,4.7,2.8,1.9,0.1,3.1,1.8,12.8
https://www.sports-reference.com/cbb/players/brooke-schramek-1.html,Brooke Schramek,wisconsin,2021-22,G,29,27,27.6,2.9,8.2,.359,0.7,2.4,.286,2.2,5.8,.389,.401,1.6,2.3,.691,1.3,2.9,4.1,1.8,0.4,0.8,2.8,3.2,8.2
https://www.sports-reference.com/cbb/players/katie-nelson-2.html,Katie Nelson,wisconsin,2021-22,G,29,29,38.3,2.7,6.9,.397,1.2,3.4,.350,1.5,3.4,.444,.485,1.5,1.9,.782,1.0,2.6,3.6,3.9,1.7,0.1,2.0,1.9,8.1
https://www.sports-reference.com/cbb/players/krystyna-ellew-1.html,Krystyna Ellew,wisconsin,2021-22,G,29,15,21.7,2.6,7.6,.344,1.2,3.5,.353,1.4,4.1,.336,.425,1.1,1.4,.800,0.8,2.3,3.1,0.4,0.4,0.0,1.4,1.6,7.6
https://www.sports-reference.com/cbb/players/halle-douglass-1.html,Halle Douglass,wisconsin,2021-22,G,26,18,26.8,2.4,5.6,.428,0.8,2.3,.356,1.6,3.3,.477,.500,0.9,1.3,.697,0.9,3.2,4.1,1.9,1.0,0.3,1.6,1.8,6.5
https://www.sports-reference.com/cbb/players/sara-stapleton-1.html,Sara Stapleton,wisconsin,2021-22,F-C,27,11,13.3,1.5,3.2,.471,0.0,0.0,,1.5,3.2,.471,.471,1.0,1.3,.722,0.8,1.4,2.1,0.2,0.2,0.7,1.4,2.0,4.0
https://www.sports-reference.com/cbb/players/alex-luehring-1.html,Alex Luehring,wisconsin,2021-22,G,7,0,14.0,1.4,4.7,.303,0.6,2.3,.250,0.9,2.4,.353,.364,0.0,0.0,,0.7,2.0,2.7,0.4,0.7,0.7,0.4,0.9,3.4
https://www.sports-reference.com/cbb/players/tara-stauffacher-1.html,Tara Stauffacher,wisconsin,2021-22,F,29,0,12.8,0.8,2.4,.314,0.3,1.4,.214,0.4,1.0,.464,.379,0.2,0.2,.833,0.6,1.1,1.7,0.4,0.3,0.0,0.6,1.1,2.0
https://www.sports-reference.com/cbb/players/lexi-duckett-1.html,Lexi Duckett,wisconsin,2021-22,G,14,0,5.9,0.3,1.1,.250,0.2,0.8,.273,0.1,0.4,.200,.344,0.1,0.2,.667,0.2,0.2,0.4,0.1,0.1,0.1,0.5,0.4,0.9
https://www.sports-reference.com/cbb/players/natalie-leuzinger-1.html,Natalie Leuzinger,wisconsin,2021-22,G,16,0,4.3,0.1,0.3,.200,0.1,0.3,.250,0.0,0.1,.000,.300,0.0,0.0,,0.0,0.1,0.1,0.1,0.1,0.0,0.2,0.6,0.2
https://www.sports-reference.com/cbb/players/lovisa-djurstrom-1.html,Lovisa Djurstrom,wisconsin,2021-22,F-C,4,0,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
