player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/callie-cavanaugh-1.html,Callie Cavanaugh,fairfield,2022-23,F,30,30,34.5,6.5,15.4,.420,0.1,0.2,.286,6.4,15.2,.422,.422,3.0,4.5,.672,2.6,2.9,5.5,1.5,0.7,0.2,3.1,2.1,16.0
https://www.sports-reference.com/cbb/players/janelle-brown-1.html,Janelle Brown,fairfield,2022-23,G,29,28,27.8,4.0,9.6,.415,1.2,3.2,.376,2.8,6.3,.435,.478,2.6,3.6,.724,1.2,4.9,6.2,2.7,2.3,0.2,3.9,3.7,11.8
https://www.sports-reference.com/cbb/players/izabela-nicoletti-leite-1.html,Izabela Nicoletti Leite,fairfield,2022-23,G,27,24,32.1,2.9,9.4,.307,1.5,5.3,.285,1.4,4.1,.336,.388,1.2,1.8,.667,0.4,4.6,5.0,2.9,1.4,0.1,2.8,1.9,8.5
https://www.sports-reference.com/cbb/players/mimi-rubino-1.html,Mimi Rubino,fairfield,2022-23,G,30,11,25.6,2.6,8.0,.331,1.0,3.7,.259,1.7,4.2,.394,.391,0.9,1.8,.509,0.9,1.7,2.6,1.5,0.7,0.0,2.1,1.8,7.1
https://www.sports-reference.com/cbb/players/andrea-hernangomez-1.html,Andrea Hernangomez,fairfield,2022-23,F,21,20,29.1,2.3,6.4,.356,0.7,2.0,.341,1.6,4.5,.362,.407,1.1,1.7,.686,1.9,4.6,6.5,2.6,2.0,0.0,3.3,2.1,6.4
https://www.sports-reference.com/cbb/players/kate-peek-1.html,Kate Peek,fairfield,2022-23,G,17,6,14.1,2.0,4.8,.415,1.9,4.7,.413,0.1,0.1,.500,.616,0.1,0.1,.500,0.1,0.4,0.5,0.4,0.6,0.1,0.4,1.2,6.0
https://www.sports-reference.com/cbb/players/lauren-beach-1.html,Lauren Beach,fairfield,2022-23,F,29,22,29.0,1.5,4.1,.361,0.4,2.0,.203,1.1,2.1,.517,.412,0.7,1.4,.512,1.4,2.9,4.3,1.0,1.0,0.3,1.5,2.3,4.1
https://www.sports-reference.com/cbb/players/mackenzie-daleba-1.html,Mackenzie Daleba,fairfield,2022-23,F,21,2,10.9,1.5,3.5,.438,0.0,0.0,,1.5,3.5,.438,.438,0.4,1.2,.346,1.8,1.9,3.7,0.8,0.1,0.1,1.2,1.2,3.5
https://www.sports-reference.com/cbb/players/brooke-tatarian-1.html,Brooke Tatarian,fairfield,2022-23,G,20,0,13.0,1.0,2.2,.455,0.2,0.5,.400,0.8,1.7,.471,.500,0.6,0.8,.688,0.7,1.2,1.9,0.4,0.2,0.0,0.5,1.2,2.8
https://www.sports-reference.com/cbb/players/mackenzie-martin-1.html,MacKenzie Martin,fairfield,2022-23,G,27,6,13.0,0.4,1.4,.324,0.1,0.5,.214,0.3,0.9,.391,.365,0.0,0.1,.500,0.5,0.8,1.3,0.8,0.3,0.0,0.6,0.8,1.0
https://www.sports-reference.com/cbb/players/jocelyn-polansky-1.html,Jocelyn Polansky,fairfield,2022-23,G,17,1,5.8,0.4,1.0,.353,0.1,0.6,.100,0.3,0.4,.714,.382,0.1,0.1,1.000,0.1,0.4,0.5,0.1,0.2,0.1,0.5,0.8,0.8
https://www.sports-reference.com/cbb/players/anna-eng-1.html,Anna Eng,fairfield,2022-23,G,13,0,3.8,0.2,0.5,.286,0.2,0.5,.333,0.0,0.1,.000,.429,0.2,0.2,1.000,0.2,0.5,0.7,0.2,0.2,0.1,0.4,0.2,0.6
https://www.sports-reference.com/cbb/players/dayna-tirado-1.html,Dayna Tirado,fairfield,2022-23,F,7,0,3.0,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.3,.000,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.4,0.0
