player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/sam-breen-1.html,Sam Breen,massachusetts,2022-23,F,34,34,37.0,6.9,14.6,.475,1.4,3.7,.368,5.6,10.9,.511,.521,2.1,2.6,.820,2.8,7.4,10.1,3.6,1.5,0.6,2.2,2.0,17.3
https://www.sports-reference.com/cbb/players/sydney-taylor-1.html,Sydney Taylor,massachusetts,2022-23,G,33,33,34.9,5.5,13.5,.410,3.2,8.2,.385,2.4,5.3,.448,.527,1.9,2.4,.810,1.0,4.0,5.0,2.3,0.9,0.2,2.5,2.5,16.1
https://www.sports-reference.com/cbb/players/bernyah-mayo-1.html,Ber'Nyah Mayo,massachusetts,2022-23,G,34,34,34.3,4.9,12.0,.408,0.8,2.9,.273,4.1,9.1,.452,.441,2.0,2.9,.704,1.3,2.7,4.0,4.0,2.5,0.1,1.9,2.1,12.6
https://www.sports-reference.com/cbb/players/destiney-philoxy-1.html,Destiney Philoxy,massachusetts,2022-23,G,34,34,33.9,3.6,8.9,.399,1.1,3.0,.373,2.4,5.9,.413,.462,2.4,3.4,.709,0.9,3.0,3.9,5.0,1.6,0.1,3.4,2.1,10.7
https://www.sports-reference.com/cbb/players/makennah-white-1.html,Makennah White,massachusetts,2022-23,F,28,2,23.0,4.0,8.6,.465,0.0,0.2,.200,4.0,8.4,.470,.467,1.5,1.8,.824,2.3,3.4,5.7,1.1,0.9,0.3,1.4,1.6,9.5
https://www.sports-reference.com/cbb/players/angelique-ngalakulondi-1.html,Angelique Ngalakulondi,massachusetts,2022-23,F,33,32,18.9,3.2,5.7,.566,0.0,0.0,,3.2,5.7,.566,.566,1.2,2.0,.612,3.1,2.6,5.7,0.9,0.4,0.9,1.1,2.5,7.7
https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,Stefanie Kulesza,massachusetts,2022-23,G,27,0,12.6,1.0,2.3,.435,0.4,1.4,.316,0.6,0.9,.625,.532,0.1,0.1,1.000,0.9,1.0,1.9,0.7,0.5,0.1,0.4,1.2,2.5
https://www.sports-reference.com/cbb/players/laila-fair-1.html,Laila Fair,massachusetts,2022-23,F,19,0,9.1,0.8,1.6,.516,0.0,0.0,,0.8,1.6,.516,.516,0.2,0.7,.231,0.4,1.3,1.7,0.3,0.2,0.6,0.6,1.2,1.8
https://www.sports-reference.com/cbb/players/piath-gabriel-1.html,Piath Gabriel,massachusetts,2022-23,F,12,0,3.9,0.5,1.2,.429,0.0,0.0,,0.5,1.2,.429,.429,0.3,0.3,1.000,0.3,0.8,1.1,0.3,0.0,0.1,0.1,0.8,1.3
https://www.sports-reference.com/cbb/players/kristin-williams-1.html,Kristin Williams,massachusetts,2022-23,G,20,0,4.7,0.4,1.2,.333,0.3,0.7,.429,0.1,0.5,.200,.458,0.1,0.2,.500,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.5,1.2
https://www.sports-reference.com/cbb/players/alexzeya-brooks-1.html,Alexzeya Brooks,massachusetts,2022-23,G,27,1,6.9,0.2,0.8,.286,0.0,0.3,.111,0.2,0.4,.417,.310,0.0,0.1,.500,0.1,0.6,0.7,0.5,0.1,0.0,0.4,0.4,0.5
https://www.sports-reference.com/cbb/players/lilly-ferguson-1.html,Lilly Ferguson,massachusetts,2022-23,G,9,0,1.4,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.1,0.0
