player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/sonia-citron-1.html,Sonia Citron,notre-dame,2022-23,G,33,33,33.5,5.2,10.9,.476,1.5,3.6,.400,3.7,7.2,.515,.543,2.8,3.7,.764,1.4,4.1,5.5,2.5,1.7,0.6,2.5,2.0,14.7
https://www.sports-reference.com/cbb/players/olivia-miles-1.html,Olivia Miles,notre-dame,2022-23,G,28,28,31.6,5.2,11.3,.460,0.6,2.8,.228,4.5,8.4,.538,.489,3.3,4.3,.767,0.4,6.8,7.3,6.9,2.1,0.2,3.3,1.7,14.3
https://www.sports-reference.com/cbb/players/maddy-westbeld-1.html,Maddy Westbeld,notre-dame,2022-23,F,33,33,27.5,4.5,10.1,.449,0.9,2.7,.344,3.6,7.4,.488,.496,1.1,1.8,.617,1.8,4.8,6.6,2.3,1.4,1.2,2.2,2.4,11.2
https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,Dara Mabrey,notre-dame,2022-23,G,18,18,29.3,3.2,9.6,.329,1.8,6.2,.295,1.3,3.4,.393,.425,1.2,1.4,.808,0.2,2.6,2.7,2.4,1.2,0.0,1.5,1.2,9.3
https://www.sports-reference.com/cbb/players/lauren-ebo-1.html,Lauren Ebo,notre-dame,2022-23,F-C,28,8,21.5,3.4,6.7,.503,0.0,0.0,.000,3.4,6.6,.505,.503,2.3,3.1,.739,2.5,4.4,7.0,1.0,0.9,1.0,1.7,2.8,9.0
https://www.sports-reference.com/cbb/players/kk-bransford-1.html,KK Bransford,notre-dame,2022-23,G,33,12,24.2,3.0,6.2,.478,0.0,0.3,.111,2.9,5.9,.495,.480,2.2,3.1,.723,1.6,1.3,2.9,1.5,0.9,0.1,1.6,1.7,8.2
https://www.sports-reference.com/cbb/players/kylee-watson-1.html,Kylee Watson,notre-dame,2022-23,F,33,33,23.5,2.9,4.8,.601,0.0,0.0,,2.9,4.8,.601,.601,1.1,2.2,.500,1.5,2.8,4.2,0.9,0.5,0.8,1.6,2.3,6.8
https://www.sports-reference.com/cbb/players/cassandre-prosper-1.html,Cassandre Prosper,notre-dame,2022-23,G,22,0,21.9,1.9,6.0,.321,0.5,2.1,.217,1.5,3.9,.376,.359,1.0,1.5,.636,1.7,2.1,3.9,0.7,0.8,0.9,1.6,1.6,5.2
https://www.sports-reference.com/cbb/players/natalija-marshall-1.html,Natalija Marshall,notre-dame,2022-23,F,28,0,10.4,1.3,2.4,.522,0.0,0.0,,1.3,2.4,.522,.522,1.0,1.5,.667,1.1,0.9,2.0,0.3,0.1,0.5,0.7,1.0,3.5
https://www.sports-reference.com/cbb/players/jenna-brown-2.html,Jenna Brown,notre-dame,2022-23,G,27,0,8.0,0.6,1.5,.390,0.1,0.3,.333,0.5,1.2,.406,.427,0.7,0.9,.783,0.5,0.9,1.3,0.7,0.2,0.1,0.8,0.7,2.0
https://www.sports-reference.com/cbb/players/sarah-cernugel-1.html,Sarah Cernugel,notre-dame,2022-23,G,12,0,1.8,0.1,0.6,.143,0.0,0.2,.000,0.1,0.4,.200,.143,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.3,0.2
https://www.sports-reference.com/cbb/players/trinity-cha-1.html,Trinity Cha,notre-dame,2022-23,G,5,0,1.2,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,.000,0.2,0.4,.500,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
