player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/kadi-sissoko-1.html,Kadi Sissoko,southern-california,2022-23,F,26,26,35.4,6.2,13.5,.455,0.3,1.2,.290,5.8,12.3,.470,.467,2.8,3.8,.720,2.3,3.8,6.2,1.9,1.2,0.6,3.4,2.3,15.4
https://www.sports-reference.com/cbb/players/destiny-littleton-1.html,Destiny Littleton,southern-california,2022-23,G,31,31,35.0,4.1,12.3,.330,1.8,6.4,.284,2.3,6.0,.378,.403,4.0,4.6,.880,0.4,2.9,3.3,3.7,1.2,0.1,2.6,2.0,14.0
https://www.sports-reference.com/cbb/players/rayah-marshall-1.html,Rayah Marshall,southern-california,2022-23,G-F,28,28,30.9,5.0,13.1,.381,0.1,0.4,.182,4.9,12.7,.388,.384,2.6,4.3,.622,3.1,8.4,11.5,1.4,1.5,3.5,1.8,2.5,12.7
https://www.sports-reference.com/cbb/players/okako-adika-1.html,Okako Adika,southern-california,2022-23,G-F,31,31,28.5,2.4,6.1,.386,1.4,3.6,.387,1.0,2.5,.385,.500,1.2,1.5,.809,2.3,2.6,4.9,1.5,1.0,0.3,1.7,2.9,7.3
https://www.sports-reference.com/cbb/players/kayla-williams-1.html,Kayla Williams,southern-california,2022-23,G,31,31,24.8,1.7,5.6,.305,0.7,2.5,.269,1.0,3.1,.333,.365,1.1,1.6,.700,0.7,1.6,2.4,2.4,1.5,0.1,1.5,1.5,5.2
https://www.sports-reference.com/cbb/players/taylor-bigby-1.html,Taylor Bigby,southern-california,2022-23,G,31,7,17.9,1.4,3.6,.384,0.7,1.9,.383,0.6,1.7,.385,.487,0.9,1.2,.778,0.5,1.2,1.6,0.8,0.6,0.4,1.0,1.0,4.4
https://www.sports-reference.com/cbb/players/alyson-miura-1.html,Alyson Miura,southern-california,2022-23,G,19,0,15.6,1.2,3.1,.390,1.1,2.5,.438,0.1,0.6,.182,.568,0.0,0.0,,0.3,0.5,0.8,1.4,0.7,0.1,0.7,0.8,3.5
https://www.sports-reference.com/cbb/players/bella-perkins-1.html,Bella Perkins,southern-california,2022-23,G,10,0,10.1,1.2,2.8,.429,0.8,2.0,.400,0.4,0.8,.500,.571,0.3,0.5,.600,0.0,0.3,0.3,0.4,0.3,0.2,0.4,0.9,3.5
https://www.sports-reference.com/cbb/players/koi-love-1.html,Koi Love,southern-california,2022-23,F,17,0,13.4,1.2,3.4,.345,0.1,0.4,.286,1.1,3.0,.353,.362,0.4,0.6,.545,0.8,2.3,3.1,0.8,1.4,0.2,1.8,0.8,2.8
https://www.sports-reference.com/cbb/players/rokia-doumbia-1.html,Rokia Doumbia,southern-california,2022-23,G,24,0,14.5,0.9,2.2,.415,0.2,0.9,.238,0.7,1.3,.531,.462,0.7,0.8,.800,0.5,0.9,1.4,1.1,0.8,0.1,0.9,1.3,2.7
https://www.sports-reference.com/cbb/players/clarice-akunwafo-1.html,Clarice Akunwafo,southern-california,2022-23,C,31,1,10.8,0.6,1.6,.380,0.0,0.0,.000,0.6,1.6,.388,.380,0.5,1.2,.444,1.3,1.6,2.9,0.3,0.2,0.9,0.9,1.4,1.7
https://www.sports-reference.com/cbb/players/india-otto-1.html,India Otto,southern-california,2022-23,G,7,0,2.1,0.3,0.7,.400,0.3,0.6,.500,0.0,0.1,.000,.600,0.0,0.0,,0.0,0.0,0.0,0.1,0.1,0.0,0.3,0.6,0.9
