player_sr_link,player_name,school,season,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm
https://www.sports-reference.com/cbb/players/trajata-colbert-1.html,Trajata Colbert,wichita-state,2022-23,F,33,33,1015,21.2,.545,.000,.426,375,9.9,17.5,13.7,4.4,1.6,2.6,13.9,20.1,3.0,1.5,4.5,.177,2.9,0.6,3.5
https://www.sports-reference.com/cbb/players/dj-mccarty-1.html,DJ McCarty,wichita-state,2022-23,G,33,32,944,16.0,.474,.252,.225,349,2.1,10.6,6.4,26.9,3.7,0.8,22.7,23.9,0.9,1.5,2.4,.102,0.1,2.0,2.2
https://www.sports-reference.com/cbb/players/jane-asinde-1.html,Jane Asinde,wichita-state,2022-23,F,31,31,924,26.4,.551,.033,.482,400,11.9,23.9,18.0,13.6,3.6,3.1,19.7,23.7,2.7,2.1,4.9,.210,4.2,2.9,7.1
https://www.sports-reference.com/cbb/players/shamaryah-duncan-1.html,Shamaryah Duncan,wichita-state,2022-23,G,30,28,913,8.5,.446,.366,.234,220,1.1,7.9,4.5,9.9,1.0,1.1,16.1,16.3,0.7,0.7,1.4,.061,-0.7,0.3,-0.5
https://www.sports-reference.com/cbb/players/curtessia-dean-1.html,Curtessia Dean,wichita-state,2022-23,G,29,26,719,16.1,.455,.201,.209,270,7.1,13.9,10.6,13.7,1.8,1.7,16.6,24.4,1.0,0.9,1.9,.106,1.6,0.2,1.8
https://www.sports-reference.com/cbb/players/nhug-bosch-duran-1.html,Nhug Bosch Duran,wichita-state,2022-23,G,33,9,628,5.1,.436,.673,.404,117,0.5,5.5,3.0,15.0,1.1,0.2,26.2,12.8,0.1,0.4,0.5,.031,-2.9,-0.1,-3.0
https://www.sports-reference.com/cbb/players/ornella-niankan-1.html,Ornella Niankan,wichita-state,2022-23,F,31,1,422,12.7,.480,.143,.371,95,9.7,10.7,10.2,13.5,1.6,1.6,19.5,11.6,0.6,0.5,1.1,.103,0.7,1.5,2.2
https://www.sports-reference.com/cbb/players/ambah-kowcun-1.html,Ambah Kowcun,wichita-state,2022-23,G,22,4,292,14.4,.583,.775,.175,89,1.9,6.2,4.1,10.6,1.7,0.4,17.2,17.1,0.7,0.2,0.9,.127,1.7,0.4,2.1
https://www.sports-reference.com/cbb/players/daniela-abies-1.html,Daniela Abies,wichita-state,2022-23,F,26,0,266,13.9,.362,.050,.513,81,12.5,22.6,17.7,10.5,3.4,2.1,17.4,21.7,0.0,0.6,0.6,.085,-0.9,1.6,0.6
https://www.sports-reference.com/cbb/players/jeniah-thompson-1.html,Jeniah Thompson,wichita-state,2022-23,G,23,1,221,10.7,.414,.220,.159,74,6.0,11.7,8.9,17.8,0.8,1.0,17.7,23.2,0.1,0.2,0.3,.055,-1.5,-0.7,-2.2
https://www.sports-reference.com/cbb/players/aniya-bell-1.html,Aniya Bell,wichita-state,2022-23,G,17,0,143,8.3,.396,.585,.151,42,3.1,13.5,8.4,10.1,0.4,0.0,13.7,22.0,0.0,0.1,0.2,.044,-1.1,-1.2,-2.3
https://www.sports-reference.com/cbb/players/ella-anciaux-1.html,Ella Anciaux,wichita-state,2022-23,C,15,0,89,12.7,.520,.000,.308,27,6.2,18.1,12.3,2.5,1.3,3.7,21.2,20.3,0.1,0.1,0.2,.097,-4.3,0.7,-3.6
https://www.sports-reference.com/cbb/players/raissa-nsabua-1.html,Raissa Nsabua,wichita-state,2022-23,G,13,0,74,2.4,.373,.250,2.125,13,1.5,13.1,7.4,11.9,0.8,3.0,35.9,16.2,-0.1,0.1,-0.1,-0.030,-5.9,0.1,-5.9
