player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/megan-mcconnell-1.html,Megan McConnell,duquesne,2023-24,G,34,34,38.5,4.4,9.7,.456,1.6,4.1,.400,2.8,5.6,.497,.541,2.7,4.1,.655,1.5,7.1,8.6,4.6,1.9,0.2,2.1,1.6,13.1
https://www.sports-reference.com/cbb/players/amaya-hamilton-1.html,Amaya Hamilton,duquesne,2023-24,G-F,34,34,29.6,3.3,8.5,.386,0.6,2.6,.233,2.7,5.9,.455,.422,2.2,2.7,.806,1.3,3.6,4.9,2.5,0.6,0.8,1.7,1.8,9.4
https://www.sports-reference.com/cbb/players/naelle-bernard-1.html,Naelle Bernard,duquesne,2023-24,G,34,33,24.3,3.3,8.3,.395,2.2,5.9,.375,1.1,2.4,.444,.528,0.5,1.0,.545,0.4,1.7,2.1,1.2,0.4,0.1,1.6,1.3,9.3
https://www.sports-reference.com/cbb/players/tess-myers-1.html,Tess Myers,duquesne,2023-24,G,33,32,30.3,2.8,7.5,.368,2.2,6.2,.361,0.5,1.3,.405,.518,0.2,0.2,.857,0.4,3.0,3.4,1.5,0.7,0.2,1.3,1.4,7.9
https://www.sports-reference.com/cbb/players/ayanna-townsend-1.html,Ayanna Townsend,duquesne,2023-24,F,34,30,18.7,3.2,6.6,.480,0.0,0.0,,3.2,6.6,.480,.480,1.4,2.4,.605,1.5,2.6,4.1,0.7,0.5,0.8,1.6,2.6,7.8
https://www.sports-reference.com/cbb/players/precious-johnson-1.html,Precious Johnson,duquesne,2023-24,C,34,1,16.1,2.9,5.3,.553,0.2,0.7,.304,2.7,4.6,.590,.573,1.1,1.5,.780,1.8,2.6,4.4,0.6,0.5,1.1,1.9,2.6,7.2
https://www.sports-reference.com/cbb/players/jerni-kiaku-1.html,Jerni Kiaku,duquesne,2023-24,G,34,0,19.0,2.5,5.6,.445,0.3,1.2,.214,2.2,4.4,.510,.469,1.4,2.0,.691,0.6,2.1,2.7,1.0,0.9,0.1,1.6,1.9,6.6
https://www.sports-reference.com/cbb/players/lauren-wasylson-1.html,Lauren Wasylson,duquesne,2023-24,G,21,1,15.7,1.5,4.0,.365,1.1,3.1,.369,0.3,1.0,.350,.506,0.6,0.6,.923,0.3,1.0,1.3,0.6,0.2,0.1,1.0,1.1,4.7
https://www.sports-reference.com/cbb/players/gabby-grantham-medley-1.html,Gabby Grantham-Medley,duquesne,2023-24,G,28,1,9.0,1.1,3.1,.341,0.1,1.1,.125,0.9,2.0,.464,.364,0.4,0.5,.769,0.1,0.9,1.0,0.6,0.2,0.2,0.6,1.1,2.6
https://www.sports-reference.com/cbb/players/kiandra-browne-1.html,Kiandra Browne,duquesne,2023-24,F,24,4,8.4,1.0,2.6,.381,0.1,0.5,.167,0.9,2.1,.431,.397,0.5,0.7,.813,0.5,1.1,1.6,0.3,0.2,0.3,1.0,1.4,2.6
https://www.sports-reference.com/cbb/players/kaitlyn-ammons-1.html,Kaitlyn Ammons,duquesne,2023-24,F,14,0,5.1,0.6,1.3,.444,0.3,0.6,.444,0.3,0.6,.444,.556,0.0,0.0,,0.4,0.8,1.1,0.3,0.1,0.4,0.2,0.9,1.4
https://www.sports-reference.com/cbb/players/raymi-coueta-1.html,Raymi Coueta,duquesne,2023-24,G,19,0,3.8,0.2,0.8,.267,0.0,0.2,.000,0.2,0.6,.364,.267,0.2,0.5,.444,0.2,0.3,0.4,0.1,0.0,0.2,0.7,0.3,0.6
