player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/kaitlyn-chen-1.html,Kaitlyn Chen,princeton,2023-24,G,30,30,34.9,6.3,13.0,.488,0.7,2.2,.328,5.6,10.7,.522,.517,2.4,3.1,.766,0.9,2.6,3.5,4.9,1.3,0.3,2.8,2.1,15.8
https://www.sports-reference.com/cbb/players/madison-st-rose-1.html,Madison St. Rose,princeton,2023-24,G,30,30,31.4,5.6,13.3,.423,1.6,4.8,.340,4.0,8.5,.469,.484,1.9,2.3,.812,0.7,1.9,2.6,1.3,1.7,0.3,1.8,1.9,14.8
https://www.sports-reference.com/cbb/players/skye-belker-1.html,Skye Belker,princeton,2023-24,G,30,30,25.6,3.0,7.5,.406,0.8,2.9,.291,2.2,4.6,.478,.462,1.6,1.8,.870,0.5,1.4,1.9,1.5,0.6,0.2,1.2,1.4,8.5
https://www.sports-reference.com/cbb/players/chet-nweke-1.html,Chet Nweke,princeton,2023-24,G,29,13,20.7,2.6,4.3,.600,0.0,0.0,,2.6,4.3,.600,.600,0.9,1.9,.500,2.5,2.3,4.8,0.4,0.5,0.4,1.1,1.5,6.1
https://www.sports-reference.com/cbb/players/ashley-chea-1.html,Ashley Chea,princeton,2023-24,G,30,0,15.4,2.2,5.8,.383,1.2,3.2,.379,1.0,2.7,.388,.486,0.3,0.5,.667,0.2,1.2,1.4,1.2,0.4,0.1,1.0,1.0,6.0
https://www.sports-reference.com/cbb/players/ellie-mitchell-1.html,Ellie Mitchell,princeton,2023-24,F,30,30,30.3,2.2,4.4,.504,0.0,0.0,,2.2,4.4,.504,.504,0.9,1.8,.519,4.1,6.1,10.2,2.1,1.4,0.7,1.4,2.9,5.4
https://www.sports-reference.com/cbb/players/parker-hill-1.html,Parker Hill,princeton,2023-24,F,30,10,11.7,1.5,3.2,.474,0.0,0.1,.000,1.5,3.2,.484,.474,0.4,0.5,.750,0.9,1.7,2.6,0.7,0.8,0.8,0.8,1.4,3.5
https://www.sports-reference.com/cbb/players/fadima-tall-1.html,Fadima Tall,princeton,2023-24,G,15,0,5.9,1.1,2.2,.485,0.2,0.8,.250,0.9,1.4,.619,.530,0.7,0.8,.833,0.6,1.3,1.9,0.2,0.4,0.1,0.4,0.7,3.0
https://www.sports-reference.com/cbb/players/tabitha-amanze-1.html,Tabitha Amanze,princeton,2023-24,F,15,1,6.0,1.3,2.1,.613,0.0,0.0,,1.3,2.1,.613,.613,0.2,0.4,.500,0.5,1.0,1.5,0.3,0.3,0.5,0.9,0.7,2.7
https://www.sports-reference.com/cbb/players/mari-bickley-1.html,Mari Bickley,princeton,2023-24,G,25,0,8.7,1.1,2.7,.403,0.3,0.8,.368,0.8,1.9,.417,.455,0.2,0.3,.625,0.2,0.4,0.6,0.6,0.2,0.1,0.8,0.7,2.6
https://www.sports-reference.com/cbb/players/paige-morton-1.html,Paige Morton,princeton,2023-24,F,24,6,8.1,0.9,2.3,.393,0.0,0.0,.000,0.9,2.3,.400,.393,0.3,0.5,.667,0.8,1.1,1.9,0.3,0.3,0.3,0.5,1.3,2.2
https://www.sports-reference.com/cbb/players/katie-thiers-1.html,Katie Thiers,princeton,2023-24,F,19,0,7.3,0.9,1.7,.545,0.1,0.2,.333,0.9,1.6,.567,.561,0.1,0.2,.250,0.9,1.1,1.9,0.3,0.3,0.2,0.4,0.9,2.0
https://www.sports-reference.com/cbb/players/amelia-osgood-1.html,Amelia Osgood,princeton,2023-24,G,17,0,7.4,0.3,1.5,.192,0.2,1.2,.190,0.1,0.3,.200,.269,0.1,0.1,1.000,0.2,0.4,0.6,0.5,0.1,0.0,0.6,0.2,0.9
https://www.sports-reference.com/cbb/players/taylor-charles-1.html,Taylor Charles,princeton,2023-24,F,14,0,4.1,0.3,0.6,.500,0.1,0.1,1.000,0.2,0.5,.429,.563,0.1,0.1,1.000,0.2,0.4,0.6,0.3,0.1,0.1,0.1,0.3,0.8
https://www.sports-reference.com/cbb/players/margo-mattes-1.html,Margo Mattes,princeton,2023-24,G,12,0,3.3,0.3,0.5,.500,0.2,0.3,.500,0.1,0.2,.500,.667,0.0,0.0,,0.1,0.0,0.1,0.0,0.3,0.0,0.2,0.4,0.7
https://www.sports-reference.com/cbb/players/olivia-hutcherson-1.html,Olivia Hutcherson,princeton,2023-24,G,9,0,2.3,0.2,0.3,.667,0.0,0.0,,0.2,0.3,.667,.667,0.0,0.0,,0.2,0.0,0.2,0.0,0.1,0.0,0.1,0.2,0.4
