player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/catherine-alben-1.html,Catherine Alben,charleston-southern,2024-25,G,29,28,28.9,6.0,14.4,.420,1.9,5.9,.324,4.1,8.5,.486,.486,2.7,3.3,.802,1.3,2.5,3.8,1.6,1.4,0.1,2.7,1.8,16.6
https://www.sports-reference.com/cbb/players/keshumti-nichols-1.html,Keshumti Nichols,charleston-southern,2024-25,F,26,13,23.5,3.8,8.0,.478,0.1,0.5,.231,3.7,7.5,.495,.486,1.3,2.0,.635,2.1,2.5,4.6,1.2,0.9,0.8,2.6,2.2,9.0
https://www.sports-reference.com/cbb/players/tyonna-bailey-1.html,Tyonna Bailey,charleston-southern,2024-25,G,18,1,21.3,3.1,8.6,.357,1.1,3.2,.333,2.0,5.4,.371,.419,1.8,2.7,.653,0.8,1.9,2.7,0.6,0.4,0.2,1.6,1.1,8.9
https://www.sports-reference.com/cbb/players/madison-adamson-1.html,Madison Adamson,charleston-southern,2024-25,G-F,30,30,30.1,2.2,6.5,.342,0.6,2.5,.257,1.6,4.1,.393,.390,1.7,2.5,.689,2.0,5.5,7.5,2.5,0.6,0.4,2.5,1.9,6.8
https://www.sports-reference.com/cbb/players/saniya-jones-1.html,Saniya Jones,charleston-southern,2024-25,F,30,17,17.3,2.4,4.3,.550,0.0,0.0,.000,2.4,4.3,.555,.550,0.6,1.2,.514,1.5,2.3,3.8,0.3,0.3,0.9,2.0,2.1,5.3
https://www.sports-reference.com/cbb/players/caelan-ellis-1.html,Caelan Ellis,charleston-southern,2024-25,G,20,3,15.1,1.7,6.3,.270,1.4,5.1,.267,0.4,1.3,.280,.377,0.1,0.2,.500,0.2,0.5,0.7,0.6,0.2,0.0,1.5,0.9,4.9
https://www.sports-reference.com/cbb/players/shimei-muhammad-1.html,Shimei Muhammad,charleston-southern,2024-25,G,29,17,22.0,1.8,6.1,.294,0.9,3.9,.239,0.9,2.2,.391,.370,0.2,0.3,.750,0.3,2.8,3.1,1.2,1.1,0.3,2.0,1.9,4.7
https://www.sports-reference.com/cbb/players/alaina-nettles-1.html,Alaina Nettles,charleston-southern,2024-25,G,30,24,29.1,1.2,3.8,.322,0.0,0.2,.000,1.2,3.7,.336,.322,1.1,1.4,.810,2.5,3.2,5.7,2.8,1.1,0.1,2.2,1.6,3.6
https://www.sports-reference.com/cbb/players/mya-dotson-1.html,Mya Dotson,charleston-southern,2024-25,G,10,3,10.8,0.7,2.5,.280,0.4,1.3,.308,0.3,1.2,.250,.360,0.6,0.8,.750,0.3,1.1,1.4,0.1,1.1,0.1,0.9,0.7,2.4
https://www.sports-reference.com/cbb/players/alba-garcia-valcarcel-bezos-1.html,Alba Garcia-Valcarcel Bezos,charleston-southern,2024-25,G,18,0,5.6,0.6,2.8,.216,0.4,2.1,.189,0.2,0.8,.286,.284,0.1,0.1,1.000,0.2,0.2,0.4,0.2,0.2,0.0,0.2,0.2,1.7
https://www.sports-reference.com/cbb/players/maya-robinson-1.html,Maya Robinson,charleston-southern,2024-25,G,19,0,8.9,0.7,2.4,.283,0.1,0.8,.125,0.6,1.6,.367,.304,0.2,0.4,.500,0.2,0.7,0.9,0.4,0.3,0.2,0.9,1.1,1.7
https://www.sports-reference.com/cbb/players/courtney-davis-2.html,Courtney Davis,charleston-southern,2024-25,G,19,4,7.4,0.4,1.2,.364,0.0,0.2,.000,0.4,1.0,.421,.364,0.2,0.2,.750,0.2,0.8,0.9,0.6,0.2,0.0,0.9,0.6,1.0
https://www.sports-reference.com/cbb/players/taylor-caldwell-2.html,Taylor Caldwell,charleston-southern,2024-25,G,29,9,13.1,0.3,1.7,.180,0.2,1.2,.176,0.1,0.6,.188,.240,0.1,0.4,.250,0.1,1.0,1.1,0.6,0.3,0.0,0.8,1.3,0.9
https://www.sports-reference.com/cbb/players/hailee-brennen-1.html,Hailee Brennen,charleston-southern,2024-25,F,3,0,6.3,0.0,2.0,.000,0.0,1.7,.000,0.0,0.3,.000,.000,0.7,0.7,1.000,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.0,0.7
https://www.sports-reference.com/cbb/players/laura-ortega-mora-1.html,Laura Ortega-Mora,charleston-southern,2024-25,G,6,1,2.8,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.2,0.3,.500,0.2,0.7,0.8,0.2,0.0,0.0,0.2,0.0,0.2
