player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/erica-lafayette-1.html,Erica Lafayette,louisiana-lafayette,2024-25,G-F,29,23,29.8,5.2,12.3,.425,1.7,4.2,.398,3.6,8.1,.438,.493,2.3,2.8,.838,1.0,3.4,4.5,0.5,0.9,0.1,1.6,1.8,14.5
https://www.sports-reference.com/cbb/players/tamiah-robinson-1.html,Tamiah Robinson,louisiana-lafayette,2024-25,G,28,28,34.4,3.5,9.2,.381,0.8,2.3,.323,2.8,6.9,.401,.422,1.8,2.4,.761,0.7,4.3,5.0,2.3,1.6,0.3,3.0,1.6,9.6
https://www.sports-reference.com/cbb/players/jaylyn-james-1.html,Jaylyn James,louisiana-lafayette,2024-25,G,9,6,20.8,2.7,6.2,.429,1.0,2.9,.346,1.7,3.3,.500,.509,2.8,3.8,.735,0.2,3.6,3.8,0.4,0.6,0.6,0.9,3.0,9.1
https://www.sports-reference.com/cbb/players/nubia-benedith-1.html,Nubia Benedith,louisiana-lafayette,2024-25,G,28,16,26.0,3.2,7.5,.426,0.5,1.3,.378,2.7,6.1,.436,.459,2.3,3.1,.744,0.5,1.8,2.4,1.2,0.9,0.0,2.6,1.8,9.1
https://www.sports-reference.com/cbb/players/kamryn-jones-1.html,Kamryn Jones,louisiana-lafayette,2024-25,F,22,22,23.8,3.2,6.4,.500,0.0,0.1,.333,3.1,6.2,.504,.504,1.3,1.9,.683,2.4,2.4,4.8,0.7,1.7,0.4,2.2,3.1,7.7
https://www.sports-reference.com/cbb/players/lanay-wheaton-1.html,Lanay Wheaton,louisiana-lafayette,2024-25,G,27,4,23.0,2.5,8.1,.312,0.3,1.4,.205,2.2,6.6,.335,.330,1.1,1.9,.569,0.5,1.7,2.1,1.5,0.9,0.0,2.5,1.7,6.4
https://www.sports-reference.com/cbb/players/ashlyn-jones-1.html,Ashlyn Jones,louisiana-lafayette,2024-25,F,29,29,25.3,2.0,5.2,.375,0.0,0.1,.000,2.0,5.2,.380,.375,1.8,2.5,.699,1.7,2.1,3.8,0.8,0.8,0.2,1.4,2.6,5.7
https://www.sports-reference.com/cbb/players/skylah-travis-1.html,Skylah Travis,louisiana-lafayette,2024-25,F,18,1,14.8,2.4,4.1,.603,0.0,0.1,.000,2.4,4.0,.611,.603,0.7,1.0,.667,2.7,3.8,6.6,0.1,0.7,0.8,0.7,1.7,5.6
https://www.sports-reference.com/cbb/players/aasia-sam-1.html,Aasia Sam,louisiana-lafayette,2024-25,G,23,13,16.1,1.3,3.7,.360,0.1,0.5,.182,1.3,3.3,.387,.372,0.7,1.2,.593,0.3,1.4,1.7,0.4,0.3,0.1,0.9,1.8,3.5
https://www.sports-reference.com/cbb/players/uniyah-franklin-1.html,Uniyah Franklin,louisiana-lafayette,2024-25,F,17,3,15.9,1.1,3.3,.339,0.0,0.0,,1.1,3.3,.339,.339,0.6,0.9,.667,1.1,1.5,2.6,0.5,0.5,0.1,1.2,1.5,2.8
https://www.sports-reference.com/cbb/players/jasmine-matthews-2.html,Jasmine Matthews,louisiana-lafayette,2024-25,G,14,0,8.7,1.1,2.9,.375,0.1,0.4,.167,1.0,2.4,.412,.388,0.4,0.4,.833,0.6,1.1,1.7,0.1,0.1,0.0,0.4,0.9,2.6
https://www.sports-reference.com/cbb/players/dacia-jones-1.html,Dacia Jones,louisiana-lafayette,2024-25,G,25,0,7.8,0.1,0.8,.095,0.0,0.2,.000,0.1,0.6,.133,.095,0.4,0.7,.611,0.1,0.3,0.4,0.2,0.4,0.0,0.8,0.8,0.6
https://www.sports-reference.com/cbb/players/ryanne-walters-1.html,RyAnne Walters,louisiana-lafayette,2024-25,G,3,0,11.7,0.0,1.3,.000,0.0,0.7,.000,0.0,0.7,.000,.000,0.3,0.7,.500,0.0,1.3,1.3,1.3,0.7,0.0,1.3,0.3,0.3
