player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/kacee-baumhower-1.html,Kacee Baumhower,milwaukee,2024-25,G,32,31,29.3,3.8,10.5,.360,1.7,5.1,.340,2.1,5.4,.379,.442,2.5,3.1,.827,0.3,3.2,3.4,2.3,1.1,0.1,2.2,1.6,11.8
https://www.sports-reference.com/cbb/players/anna-lutz-1.html,Anna Lutz,milwaukee,2024-25,F,32,32,25.7,4.3,10.1,.432,1.0,3.6,.267,3.4,6.4,.524,.480,1.3,1.8,.737,1.6,3.7,5.3,1.3,0.7,1.0,2.1,2.1,11.0
https://www.sports-reference.com/cbb/players/kamy-peppler-1.html,Kamy Peppler,milwaukee,2024-25,G,32,31,30.7,3.1,8.9,.343,1.4,4.8,.296,1.7,4.2,.396,.421,1.8,2.3,.781,0.7,3.0,3.7,4.7,1.4,0.2,3.7,2.8,9.3
https://www.sports-reference.com/cbb/players/jorey-buwalda-1.html,Jorey Buwalda,milwaukee,2024-25,F,30,8,18.8,2.8,6.8,.409,0.5,1.8,.273,2.3,4.9,.459,.446,1.5,2.3,.652,1.3,3.7,4.9,1.0,0.3,0.4,2.0,1.7,7.5
https://www.sports-reference.com/cbb/players/jada-donaldson-1.html,Jada Donaldson,milwaukee,2024-25,G,32,32,30.9,2.3,5.5,.415,1.1,2.6,.410,1.2,2.9,.419,.511,0.6,0.9,.667,1.2,2.8,3.9,1.6,0.7,0.0,1.3,1.6,6.3
https://www.sports-reference.com/cbb/players/payton-rechlicz-1.html,Payton Rechlicz,milwaukee,2024-25,G,32,23,23.5,1.5,3.3,.457,0.4,1.3,.326,1.1,1.9,.548,.524,0.8,1.2,.658,0.9,2.1,3.0,0.8,0.5,0.2,0.9,2.0,4.2
https://www.sports-reference.com/cbb/players/izzy-pugh-1.html,Izzy Pugh,milwaukee,2024-25,F,30,1,9.4,1.6,3.4,.476,0.0,0.3,.000,1.6,3.1,.521,.476,0.7,1.1,.688,0.7,1.6,2.3,0.3,0.1,0.7,0.8,1.5,4.0
https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,Kallie Peppler,milwaukee,2024-25,G,32,0,13.5,1.3,2.9,.430,0.2,0.5,.353,1.1,2.4,.447,.462,0.4,0.6,.700,0.1,1.2,1.3,0.5,0.3,0.1,0.8,1.3,3.1
https://www.sports-reference.com/cbb/players/jada-williams-3.html,Jada Williams,milwaukee,2024-25,G,26,0,14.6,0.7,2.2,.316,0.2,0.6,.375,0.5,1.6,.293,.368,0.4,0.8,.500,0.5,1.7,2.2,0.4,0.4,0.3,0.6,1.0,2.0
https://www.sports-reference.com/cbb/players/sophia-rampulla-1.html,Sophia Rampulla,milwaukee,2024-25,G,14,0,5.1,0.4,1.6,.261,0.3,1.1,.267,0.1,0.6,.250,.348,0.2,0.3,.750,0.2,0.6,0.8,0.3,0.3,0.2,0.6,0.8,1.4
https://www.sports-reference.com/cbb/players/grace-lomen-1.html,Grace Lomen,milwaukee,2024-25,F,22,0,6.6,0.4,1.4,.300,0.0,0.6,.077,0.4,0.8,.471,.317,0.4,0.7,.600,0.2,0.9,1.1,0.1,0.2,0.0,0.4,0.5,1.3
https://www.sports-reference.com/cbb/players/justina-hernandez-1.html,Justina Hernandez,milwaukee,2024-25,G,16,1,4.4,0.4,1.1,.412,0.1,0.1,1.000,0.4,1.0,.375,.441,0.3,0.7,.455,0.2,0.4,0.6,0.3,0.4,0.0,0.6,0.5,1.3
https://www.sports-reference.com/cbb/players/hallie-majoros-1.html,Hallie Majoros,milwaukee,2024-25,G,18,1,4.0,0.4,1.3,.292,0.4,1.3,.304,0.0,0.1,.000,.438,0.0,0.0,,0.0,0.3,0.3,0.1,0.1,0.0,0.1,0.2,1.2
