player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/somah-kamara-1.html,Somah Kamara,tennessee-state,2024-25,G,30,27,27.8,4.9,12.5,.396,1.2,4.6,.259,3.7,7.8,.477,.444,2.6,4.3,.605,0.6,2.3,2.9,1.2,1.5,0.2,3.3,2.8,13.7
https://www.sports-reference.com/cbb/players/aaniya-webb-1.html,Aaniya Webb,tennessee-state,2024-25,G,19,19,29.9,4.1,12.3,.330,1.7,5.7,.296,2.4,6.6,.360,.399,2.5,3.8,.667,1.4,3.7,5.1,0.7,1.6,0.4,3.1,2.5,12.3
https://www.sports-reference.com/cbb/players/saniah-parker-1.html,Saniah Parker,tennessee-state,2024-25,G,31,30,32.3,4.5,11.7,.384,1.6,6.3,.256,2.9,5.4,.533,.453,1.3,1.6,.804,1.2,3.0,4.2,2.8,1.9,0.7,2.6,2.9,11.9
https://www.sports-reference.com/cbb/players/sanaa-st.-andre-1.html,Sanaa' St. Andre,tennessee-state,2024-25,G,11,8,26.8,4.4,13.1,.333,0.7,3.3,.222,3.6,9.8,.370,.361,1.7,2.4,.731,0.9,2.0,2.9,3.0,1.9,0.2,2.8,3.0,11.2
https://www.sports-reference.com/cbb/players/lyric-cole-1.html,Lyric Cole,tennessee-state,2024-25,F,29,26,29.0,2.9,5.7,.503,0.0,0.1,.000,2.9,5.6,.509,.503,1.8,3.0,.591,3.0,5.2,8.2,0.9,1.7,0.4,1.2,3.2,7.5
https://www.sports-reference.com/cbb/players/xaionna-whitfield-1.html,XaiOnna Whitfield,tennessee-state,2024-25,G,30,1,18.1,2.3,6.4,.352,0.3,1.1,.303,1.9,5.3,.363,.378,1.1,1.7,.627,0.5,1.6,2.0,1.7,0.8,0.1,1.8,0.8,5.9
https://www.sports-reference.com/cbb/players/angel-hill-1.html,Angel Hill,tennessee-state,2024-25,G,15,0,14.9,1.6,4.5,.353,0.7,2.6,.282,0.9,1.9,.448,.434,1.7,2.7,.650,0.5,1.3,1.8,0.6,0.4,0.1,1.8,1.7,5.7
https://www.sports-reference.com/cbb/players/erin-martin-2.html,Erin Martin,tennessee-state,2024-25,G,31,13,16.3,1.9,4.1,.469,0.3,1.0,.313,1.6,3.1,.521,.508,0.9,1.4,.651,1.2,1.5,2.7,0.4,1.1,0.6,1.5,2.1,5.1
https://www.sports-reference.com/cbb/players/kiki-roberts-1.html,Kiki Roberts,tennessee-state,2024-25,F,30,11,23.0,1.6,4.0,.405,0.1,0.4,.167,1.6,3.6,.431,.413,0.9,2.0,.459,2.7,3.1,5.8,0.3,0.7,0.3,1.6,2.8,4.3
https://www.sports-reference.com/cbb/players/krystal-haddock-1.html,Krystal Haddock,tennessee-state,2024-25,G,29,17,17.6,0.8,3.1,.270,0.2,1.1,.152,0.7,1.9,.339,.298,0.6,1.4,.450,0.4,1.1,1.5,0.6,0.9,0.2,1.1,2.0,2.4
https://www.sports-reference.com/cbb/players/jada-collins-1.html,Jada Collins,tennessee-state,2024-25,F,22,2,9.6,0.5,1.6,.286,0.1,0.6,.214,0.3,1.0,.333,.329,0.3,0.5,.636,0.5,1.3,1.8,0.1,0.4,0.8,0.7,2.0,1.4
https://www.sports-reference.com/cbb/players/genisis-harris-1.html,Genisis Harris,tennessee-state,2024-25,G,9,1,3.0,0.0,0.7,.000,0.0,0.6,.000,0.0,0.1,.000,.000,0.1,0.2,.500,0.1,0.0,0.1,0.2,0.2,0.0,0.1,0.0,0.1
