player_sr_link,player_name,school,season,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
https://www.sports-reference.com/cbb/players/rori-cox-2.html,Rori Cox,north-carolina-wilmington,2025-26,G,18,16,28.8,4.8,10.9,.439,1.1,3.1,.357,3.7,7.8,.471,.490,3.1,4.1,.767,1.2,4.1,5.2,2.6,2.7,0.1,5.2,2.5,13.8
https://www.sports-reference.com/cbb/players/kylah-silver-1.html,Kylah Silver,north-carolina-wilmington,2025-26,G,18,18,31.2,4.0,10.2,.393,0.6,2.1,.297,3.4,8.1,.418,.423,2.9,4.4,.658,1.7,3.8,5.6,1.3,1.2,0.6,2.7,2.4,11.5
https://www.sports-reference.com/cbb/players/paige-smith-3.html,Paige Smith,north-carolina-wilmington,2025-26,G,18,0,19.2,3.4,10.2,.337,1.5,5.1,.297,1.9,5.2,.376,.410,0.3,0.6,.600,0.7,2.1,2.8,1.2,0.7,0.0,2.3,1.3,8.7
https://www.sports-reference.com/cbb/players/torin-rogers-1.html,Torin Rogers,north-carolina-wilmington,2025-26,G,16,15,27.4,2.8,6.6,.425,0.9,2.8,.311,1.9,3.8,.508,.491,1.2,2.0,.594,1.1,3.7,4.8,0.8,1.0,0.5,1.1,1.9,7.7
https://www.sports-reference.com/cbb/players/icyss-storm-1.html,Icyss Storm,north-carolina-wilmington,2025-26,F,17,17,23.8,2.7,5.2,.517,0.1,0.5,.250,2.6,4.8,.543,.528,0.9,1.5,.640,2.2,2.8,5.0,1.1,0.9,0.6,1.6,2.5,6.5
https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,Kate Hollifield,north-carolina-wilmington,2025-26,G,8,8,24.6,2.0,5.3,.381,1.1,4.0,.281,0.9,1.3,.700,.488,0.9,1.4,.636,1.0,1.5,2.5,2.1,1.4,0.0,1.3,1.8,6.0
https://www.sports-reference.com/cbb/players/tia-dobson-1.html,Tia Dobson,north-carolina-wilmington,2025-26,G,2,2,11.5,2.0,4.0,.500,0.5,1.0,.500,1.5,3.0,.500,.563,1.0,1.0,1.000,0.5,1.0,1.5,2.5,1.5,0.0,2.5,2.5,5.5
https://www.sports-reference.com/cbb/players/angelina-pelayo-1.html,Angelina Pelayo,north-carolina-wilmington,2025-26,C,13,2,15.4,2.2,4.1,.528,0.0,0.0,,2.2,4.1,.528,.528,1.1,1.6,.667,1.6,2.8,4.5,0.8,0.8,1.1,1.7,1.7,5.4
https://www.sports-reference.com/cbb/players/mary-ferrito-1.html,Mary Ferrito,north-carolina-wilmington,2025-26,G,17,9,24.0,1.1,3.2,.352,0.2,1.1,.158,0.9,2.1,.457,.380,1.4,2.0,.676,0.2,1.4,1.6,1.5,0.7,0.2,2.4,1.9,3.8
https://www.sports-reference.com/cbb/players/corrie-mclauglin-1.html,Corrie McLauglin,north-carolina-wilmington,2025-26,F,10,0,15.0,1.2,2.1,.571,0.0,0.0,,1.2,2.1,.571,.571,0.2,0.6,.333,0.4,1.0,1.4,0.3,0.5,0.7,1.9,2.0,2.6
https://www.sports-reference.com/cbb/players/mccall-king-1.html,McCall King,north-carolina-wilmington,2025-26,G,18,3,17.1,0.8,2.2,.385,0.5,1.6,.321,0.3,0.6,.545,.500,0.0,0.1,.000,0.4,0.9,1.3,0.5,0.1,0.1,1.1,0.9,2.2
https://www.sports-reference.com/cbb/players/ebbony-wilson-1.html,Ebbony Wilson,north-carolina-wilmington,2025-26,G,7,0,6.9,0.3,1.7,.167,0.0,0.4,.000,0.3,1.3,.222,.167,0.3,0.4,.667,0.3,0.4,0.7,0.3,0.1,0.0,0.4,1.0,0.9
