player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/mariah-forde-1.html,Mariah Forde,33,FR,G,5-10,air-force,2017
https://www.sports-reference.com/cbb/players/kailin-davis-1.html,Kailin Davis,12,FR,G-F,5-11,air-force,2017
https://www.sports-reference.com/cbb/players/cortney-porter-1.html,Cortney Porter,11,JR,G,5-9,air-force,2017
https://www.sports-reference.com/cbb/players/dee-bennett-1.html,Dee Bennett,0,JR,F,6-0,air-force,2017
https://www.sports-reference.com/cbb/players/erika-chapman-1.html,Erika Chapman,25,JR,G,5-10,air-force,2017
https://www.sports-reference.com/cbb/players/kassady-huffman-1.html,Kassady Huffman,55,FR,F,6-2,air-force,2017
https://www.sports-reference.com/cbb/players/venessannah-itugbu-1.html,Venessannah Itugbu,10,SO,G,5-9,air-force,2017
https://www.sports-reference.com/cbb/players/darby-glaab-1.html,Darby Glaab,32,SO,F,5-11,air-force,2017
https://www.sports-reference.com/cbb/players/ifeoma-emeka-1.html,Ifeoma Emeka,15,FR,G,5-10,air-force,2017
https://www.sports-reference.com/cbb/players/sarah-pierce-1.html,Sarah Pierce,22,FR,G,5-7,air-force,2017
https://www.sports-reference.com/cbb/players/cheyenne-wall-1.html,Cheyenne Wall,20,SO,F,6-1,air-force,2017
https://www.sports-reference.com/cbb/players/sarah-falvey-1.html,Sarah Falvey,5,SR,G,5-6,air-force,2017
https://www.sports-reference.com/cbb/players/patricia-rosich-1.html,Patricia Rosich,34,FR,G,5-10,air-force,2017
https://www.sports-reference.com/cbb/players/stefawn-perrin-1.html,Stefawn Perrin,30,FR,G,5-6,air-force,2017
