player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/taylor-mccarley-1.html,Taylor McCarley,4,SR,G,5-10,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/laura-castaldo-1.html,Laura Castaldo,25,JR,G,5-8,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/tyler-moore-1.html,Tyler Moore,42,FR,G,5-10,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/pandora-wilson-1.html,Pandora Wilson,13,SR,F,6-1,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/teyjah-oliver-1.html,Te'yJah Oliver,3,FR,G,5-8,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/lakiah-sims-1.html,Lakiah Sims,45,JR,F,6-1,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/allison-mcgrath-1.html,Allison McGrath,35,FR,F,5-10,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/lucrezia-costa-1.html,Lucrezia Costa,24,FR,F-C,6-2,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/amanda-hagaman-1.html,Amanda Hagaman,15,SR,F-C,6-2,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/emily-russo-1.html,Emily Russo,23,SR,G,5-6,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/brittani-burgess-1.html,Brittani Burgess,31,SR,G,6-0,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/carly-harris-1.html,Carly Harris,21,JR,G,5-6,maryland-baltimore-county,2017
https://www.sports-reference.com/cbb/players/kayla-hinderlie-1.html,Kayla Hinderlie,44,FR,F,6-2,maryland-baltimore-county,2017
