player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/kamila-hoskova-1.html,Kamila Hoskova,3,JR,G,5-9,rider,2017
https://www.sports-reference.com/cbb/players/julia-duggan-1.html,Julia Duggan,45,SR,C,6-1,rider,2017
https://www.sports-reference.com/cbb/players/robin-perkins-1.html,Robin Perkins,25,SR,G,5-10,rider,2017
https://www.sports-reference.com/cbb/players/stella-johnson-1.html,Stella Johnson,4,FR,G,5-10,rider,2017
https://www.sports-reference.com/cbb/players/lexi-posset-1.html,Lexi Posset,21,SO,G,5-7,rider,2017
https://www.sports-reference.com/cbb/players/taylor-wentzel-1.html,Taylor Wentzel,5,SR,G,5-6,rider,2017
https://www.sports-reference.com/cbb/players/safie-tolusso-1.html,Safie Tolusso,44,FR,G,5-10,rider,2017
https://www.sports-reference.com/cbb/players/yeliz-dogan-1.html,Yeliz Dogan,12,SR,F,6-1,rider,2017
https://www.sports-reference.com/cbb/players/johnnah-johnson-1.html,Johnnah Johnson,33,SO,F,6-1,rider,2017
https://www.sports-reference.com/cbb/players/tracey-goodman-1.html,Tracey Goodman,42,FR,F,6-4,rider,2017
https://www.sports-reference.com/cbb/players/asyanae-muwwakkil-1.html,Asyana'e Muwwakkil,34,JR,F-C,6-3,rider,2017
https://www.sports-reference.com/cbb/players/kristina-olikhver-1.html,Kristina Olikhver,32,SO,G,5-9,rider,2017
https://www.sports-reference.com/cbb/players/lexi-stover-1.html,Lexi Stover,22,SO,G,5-10,rider,2017
