player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/kristian-hudson-1.html,Kristian Hudson,15,JR,G,5-5,florida-international,2018
https://www.sports-reference.com/cbb/players/kiandrea-pound-1.html,Kiandre'a Pound,1,JR,F,6-0,florida-international,2018
https://www.sports-reference.com/cbb/players/kayla-rogers-1.html,Kayla Rogers,5,SO,G,5-8,florida-international,2018
https://www.sports-reference.com/cbb/players/alexis-gordon-1.html,Alexis Gordon,21,SO,G,5-8,florida-international,2018
https://www.sports-reference.com/cbb/players/shante-walker-1.html,Shante Walker,34,FR,F,5-11,florida-international,2018
https://www.sports-reference.com/cbb/players/callie-cavanaugh-1.html,Callie Cavanaugh,23,FR,F,6-1,florida-international,2018
https://www.sports-reference.com/cbb/players/lauryn-snipes-1.html,Lauryn Snipes,3,FR,G-F,6-0,florida-international,2018
https://www.sports-reference.com/cbb/players/tamiracle-taylor-1.html,TaMiracle Taylor,10,FR,G,5-8,florida-international,2018
https://www.sports-reference.com/cbb/players/cabria-lee-1.html,Cabria Lee,2,FR,G,5-8,florida-international,2018
https://www.sports-reference.com/cbb/players/quira-demery-1.html,Quira Demery,12,SR,F,5-9,florida-international,2018
https://www.sports-reference.com/cbb/players/elizabeth-toye-1.html,Elizabeth Toye,0,SO,F,6-0,florida-international,2018
