player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/keshunan-james-1.html,Ke'Shunan James,2,SR,G-F,6-1,murray-state,2018
https://www.sports-reference.com/cbb/players/bria-bethea-1.html,Bria Bethea,13,SR,G-F,5-11,murray-state,2018
https://www.sports-reference.com/cbb/players/abria-gulledge-1.html,Abria Gulledge,34,JR,F,6-0,murray-state,2018
https://www.sports-reference.com/cbb/players/jasmine-borders-1.html,Jasmine Borders,5,SR,G,5-8,murray-state,2018
https://www.sports-reference.com/cbb/players/brianna-crane-1.html,Brianna Crane,31,FR,F,6-0,murray-state,2018
https://www.sports-reference.com/cbb/players/janika-griffith-wallace-1.html,Janika Griffith-Wallace,0,FR,G,5-8,murray-state,2018
https://www.sports-reference.com/cbb/players/leah-richardson-1.html,Leah Richardson,1,FR,G,5-9,murray-state,2018
https://www.sports-reference.com/cbb/players/paige-barrett-1.html,Paige Barrett,11,FR,G-F,5-10,murray-state,2018
https://www.sports-reference.com/cbb/players/emma-johnson-1.html,Emma Johnson,22,FR,F,5-11,murray-state,2018
https://www.sports-reference.com/cbb/players/mary-jones-1.html,Mary Jones,25,SR,G,5-7,murray-state,2018
https://www.sports-reference.com/cbb/players/michaela-manley-1.html,Michaela Manley,33,JR,G,5-10,murray-state,2018
https://www.sports-reference.com/cbb/players/jessica-organ-1.html,Jessica Organ,12,SO,G,5-6,murray-state,2018
https://www.sports-reference.com/cbb/players/taylor-reese-1.html,Taylor Reese,4,JR,F,6-2,murray-state,2018
