player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/bronaza-fitzgerald-1.html,Bronaza Fitzgerald,34,SR,C,6-0,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/khaila-webb-1.html,Khaila Webb,11,SR,G,5-7,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/jessica-wall-1.html,Jessica Wall,10,JR,G,5-6,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/zip-scott-1.html,Zip Scott,3,SO,G,5-4,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/ali-trani-1.html,Ali Trani,32,JR,G,5-7,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/nadiria-evans-1.html,Nadiria Evans,0,FR,G,5-8,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/amaryah-corpening-1.html,Amaryah Corpening,1,FR,G,5-7,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/tiffany-wilson-2.html,Tiffany Wilson,23,JR,F,6-1,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/onome-juliet-esadah-1.html,Onome-Juliet Esadah,12,SO,F,6-2,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/brooke-jordan-brown-1.html,Brooke Jordan-Brown,14,SO,C,6-1,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/alexis-toney-1.html,Alexis Toney,5,JR,F,6-0,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/kelli-fisher-1.html,Kelli Fisher,20,JR,C,6-3,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/tamiah-lewis-1.html,Tamiah Lewis,2,FR,G,5-7,north-carolina-asheville,2018
https://www.sports-reference.com/cbb/players/sonora-dengokl-1.html,Sonora Dengokl,15,JR,G,5-9,north-carolina-asheville,2018
