player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/jen-berkowitz-1.html,Jen Berkowitz,12,SR,F,6-2,yale,2018
https://www.sports-reference.com/cbb/players/roxy-barahman-1.html,Roxy Barahman,21,SO,G,5-8,yale,2018
https://www.sports-reference.com/cbb/players/tamara-simpson-1.html,Tamara Simpson,23,SR,G,5-10,yale,2018
https://www.sports-reference.com/cbb/players/ellen-margaret-andrews-1.html,Ellen Margaret Andrews,24,FR,G,5-10,yale,2018
https://www.sports-reference.com/cbb/players/tori-andrew-1.html,Tori Andrew,33,FR,G,5-10,yale,2018
https://www.sports-reference.com/cbb/players/megan-gorman-1.html,Megan Gorman,4,SO,G-F,6-1,yale,2018
https://www.sports-reference.com/cbb/players/mary-ann-santucci-1.html,Mary Ann Santucci,14,SR,G,5-9,yale,2018
https://www.sports-reference.com/cbb/players/alexandra-maund-1.html,Alexandra Maund,25,JR,F,5-11,yale,2018
https://www.sports-reference.com/cbb/players/alex-cade-1.html,Alex Cade,15,FR,F,6-1,yale,2018
https://www.sports-reference.com/cbb/players/gabby-nelson-1.html,Gabby Nelson,10,JR,G-F,6-0,yale,2018
https://www.sports-reference.com/cbb/players/bronwyn-davies-1.html,Bronwyn Davies,40,SO,F,5-11,yale,2018
https://www.sports-reference.com/cbb/players/aerial-chavarin-1.html,Aerial Chavarin,22,SO,G-F,5-10,yale,2018
https://www.sports-reference.com/cbb/players/ale-aguirre-1.html,Ale Aguirre,11,FR,G,5-8,yale,2018
https://www.sports-reference.com/cbb/players/jessica-steffen-1.html,Jessica Steffen,1,SO,G,5-9,yale,2018
