player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/chelsea-dungee-1.html,Chelsea Dungee,33,JR,G,5-11,arkansas,2019
https://www.sports-reference.com/cbb/players/malica-monk-1.html,Malica Monk,3,SR,G,5-5,arkansas,2019
https://www.sports-reference.com/cbb/players/alexis-tolefree-1.html,Alexis Tolefree,2,JR,G,5-8,arkansas,2019
https://www.sports-reference.com/cbb/players/jailyn-mason-1.html,Jailyn Mason,14,JR,G,5-9,arkansas,2019
https://www.sports-reference.com/cbb/players/kiara-williams-1.html,Kiara Williams,10,JR,F-C,6-1,arkansas,2019
https://www.sports-reference.com/cbb/players/atyanna-gaulden-1.html,A'Tyanna Gaulden,0,JR,G,5-7,arkansas,2019
https://www.sports-reference.com/cbb/players/taylah-thomas-1.html,Taylah Thomas,24,SO,F,6-1,arkansas,2019
https://www.sports-reference.com/cbb/players/bailey-zimmerman-1.html,Bailey Zimmerman,22,SR,G-F,6-0,arkansas,2019
https://www.sports-reference.com/cbb/players/raven-northcross-baker-1.html,Raven Northcross-Baker,1,SR,G,5-9,arkansas,2019
https://www.sports-reference.com/cbb/players/rokia-doumbia-1.html,Rokia Doumbia,52,FR,G,5-9,arkansas,2019
https://www.sports-reference.com/cbb/players/grayce-spangler-1.html,Grayce Spangler,13,SO,G,5-11,arkansas,2019
https://www.sports-reference.com/cbb/players/macy-weaver-1.html,Macy Weaver,30,SO,F,6-3,arkansas,2019
https://www.sports-reference.com/cbb/players/sydney-stout-1.html,Sydney Stout,20,JR,F,6-0,arkansas,2019
