player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/keasia-jackson-1.html,Ke'Asia Jackson,3,SR,G,5-8,charleston-southern,2019
https://www.sports-reference.com/cbb/players/shelby-wilbanks-1.html,Shelby Wilbanks,14,SR,F,6-0,charleston-southern,2019
https://www.sports-reference.com/cbb/players/rachel-burns-1.html,Rachel Burns,20,SR,G,5-6,charleston-southern,2019
https://www.sports-reference.com/cbb/players/breannah-bretches-1.html,Breannah Bretches,22,SR,G,5-6,charleston-southern,2019
https://www.sports-reference.com/cbb/players/weknyne-dumorne-1.html,Weknyne Dumorne,23,SR,F,6-0,charleston-southern,2019
https://www.sports-reference.com/cbb/players/tierra-steede-1.html,Tierra Steede,25,JR,F,6-2,charleston-southern,2019
https://www.sports-reference.com/cbb/players/ahlea-myers-1.html,Ahlea Myers,2,FR,G,5-4,charleston-southern,2019
https://www.sports-reference.com/cbb/players/jasmine-blackmon-1.html,Jasmine Blackmon,44,JR,C,6-2,charleston-southern,2019
https://www.sports-reference.com/cbb/players/kelsie-ruff-mills-1.html,Kelsie Ruff,11,SO,G,5-6,charleston-southern,2019
https://www.sports-reference.com/cbb/players/anna-webster-1.html,Anna Webster,12,SO,G,5-9,charleston-southern,2019
https://www.sports-reference.com/cbb/players/lexii-cassell-1.html,Lexii Cassell,33,SR,F,6-2,charleston-southern,2019
https://www.sports-reference.com/cbb/players/sharita-godfrey-1.html,Sharita Godfrey,13,FR,G-F,5-11,charleston-southern,2019
https://www.sports-reference.com/cbb/players/cailah-hicklin-1.html,Cailah Hicklin,24,SO,F,5-11,charleston-southern,2019
