player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/brooke-fields-1.html,Brooke Fields,4,JR,G,5-6,coppin-state,2019
https://www.sports-reference.com/cbb/players/chance-graham-1.html,Chance Graham,23,JR,F,6-1,coppin-state,2019
https://www.sports-reference.com/cbb/players/jalynda-salley-1.html,Jalynda Salley,45,FR,F-C,6-4,coppin-state,2019
https://www.sports-reference.com/cbb/players/kaiya-coleman-1.html,Kaiya Coleman,3,SR,G,5-5,coppin-state,2019
https://www.sports-reference.com/cbb/players/maraiyah-smith-1.html,Maraiyah Smith,2,SO,G,5-5,coppin-state,2019
https://www.sports-reference.com/cbb/players/tsahai-corbie-1.html,Tsahai Corbie,0,FR,G,5-7,coppin-state,2019
https://www.sports-reference.com/cbb/players/oluwadamilola-oloyede-1.html,Oluwadamilola Oloyede,12,JR,F,6-0,coppin-state,2019
https://www.sports-reference.com/cbb/players/emya-price-1.html,E'Mya Price,10,FR,G-F,5-10,coppin-state,2019
https://www.sports-reference.com/cbb/players/diamond-adams-1.html,Diamond Adams,1,FR,G,5-1,coppin-state,2019
https://www.sports-reference.com/cbb/players/adrienne-darden-1.html,Adrienne Darden,25,JR,C,6-5,coppin-state,2019
https://www.sports-reference.com/cbb/players/elan-wali-1.html,Elan Wali,15,FR,G,5-8,coppin-state,2019
